synset_id	sense_id	sense_term	synset_id_no_pos
109860-V	109860-V-144349	обсыпать	109860
5177-V	5177-V-166039	реанимировать	5177
5177-V	5177-V-750099	реанимировать пострадавший	5177
137794-V	137794-V-744874	голова раскалываться	137794
137794-V	137794-V-208215	голова трещать	137794
137794-V	137794-V-208214	голова болеть	137794
118812-V	118812-V-149744	прогрессировать	118812
124454-V	124454-V-135701	высыпать	124454
128285-V	128285-V-195933	впадать в беспамятство	128285
128285-V	128285-V-759355	вырубиться	128285
128285-V	128285-V-698385	помутиться	128285
128285-V	128285-V-195934	впасть в беспамятство	128285
128285-V	128285-V-195931	впасть в забытье	128285
128285-V	128285-V-176143	терять сознание	128285
128285-V	128285-V-211567	провалиться в беспамятство	128285
128285-V	128285-V-176145	потерять сознание	128285
128285-V	128285-V-195932	впадать в забытье	128285
128285-V	128285-V-749538	помутиться в голова	128285
128285-V	128285-V-749536	голова помутиться	128285
128285-V	128285-V-749537	помутиться сознание	128285
9767-V	9767-V-673648	делать рентген	9767
9767-V	9767-V-673649	сделать рентген	9767
6962-V	6962-V-182490	пониженный острота слух	6962
7000-V	7000-V-209449	работать сверхурочно	7000
140415-V	140415-V-725654	болезнь осложняться	140415
140415-V	140415-V-719780	осложняться	140415
140415-V	140415-V-719781	осложниться	140415
151774-V	151774-V-745428	привязать к постель	151774
151774-V	151774-V-745429	приковать к постель	151774
136951-V	136951-V-722313	эвтаназировать	136951
4521-V	4521-V-134133	вакцинировать	4521
4521-V	4521-V-189399	привиться	4521
4521-V	4521-V-149056	привить	4521
4521-V	4521-V-149049	прививать	4521
4521-V	4521-V-189400	прививаться	4521
6961-V	6961-V-182491	пониженный острота зрение	6961
116668-V	116668-V-119544	кашлять	116668
116668-V	116668-V-707673	кашлянуть	116668
116668-V	116668-V-137999	закашлять	116668
111388-V	111388-V-151669	резать	111388
9457-N	9457-N-121613	кожный заболевание	9457
9457-N	9457-N-133774	болезнь кожа	9457
9457-N	9457-N-119820	кожный болезнь	9457
9457-N	9457-N-167629	дерматоз	9457
9457-N	9457-N-200031	заболевание кожа	9457
145293-N	145293-N-691501	инфекция дыхательный путь	145293
145293-N	145293-N-691500	респираторный инфекция	145293
110638-N	110638-N-141561	лихорадка	110638
110638-N	110638-N-729064	лихорадочный состояние	110638
110638-N	110638-N-181311	горячка	110638
150611-N	150611-N-732885	ринопластика	150611
150611-N	150611-N-732886	пластика нос	150611
136540-N	136540-N-197032	химиотерапия	136540
154946-N	154946-N-732928	расстройство сон	154946
154946-N	154946-N-735222	нарушение сон	154946
9670-N	9670-N-120668	грибковый заболевание	9670
9670-N	9670-N-678052	грибковый инфекция	9670
9670-N	9670-N-120670	микоз	9670
125041-N	125041-N-120980	местный анестезия	125041
125041-N	125041-N-165820	замораживание	125041
125041-N	125041-N-120981	местный обезболивание	125041
125041-N	125041-N-120979	местный анестетика	125041
125041-N	125041-N-182719	заморозка	125041
2635-N	2635-N-753521	употребление наркотик	2635
2635-N	2635-N-125353	потребление наркотик	2635
2635-N	2635-N-125365	наркотоксикомания	2635
2635-N	2635-N-182531	злоупотребление наркотик	2635
2635-N	2635-N-125332	наркозависимость	2635
2635-N	2635-N-202717	наркоманизация	2635
2635-N	2635-N-125361	наркотический зависимость	2635
2635-N	2635-N-107204	наркомания	2635
2635-N	2635-N-756702	зависимость от наркотик	2635
2635-N	2635-N-119091	злоупотребление наркотический средство	2635
144833-N	144833-N-716081	нейроциркуляторный дистония	144833
144833-N	144833-N-119732	дистония	144833
144833-N	144833-N-686857	вегето-сосудистый дистония	144833
126757-N	126757-N-119846	цирроз	126757
126757-N	126757-N-173882	цирроз печень	126757
129454-N	129454-N-178819	фистула	129454
129454-N	129454-N-160289	свищ	129454
6481-N	6481-N-124780	врожденный аномалия	6481
6481-N	6481-N-215146	врожденный нарушение	6481
6481-N	6481-N-123570	врожденный патология	6481
118096-N	118096-N-734877	рубцевание рана	118096
118096-N	118096-N-151999	рубцевание	118096
131335-N	131335-N-182692	заикание	131335
136989-N	136989-N-199355	климатолечение	136989
136989-N	136989-N-199354	климатотерапия	136989
140415-N	140415-N-719788	осложненный течение	140415
140415-N	140415-N-162543	осложнение	140415
140415-N	140415-N-719782	осложнение заболевание	140415
140415-N	140415-N-209744	осложнение болезнь	140415
4955-N	4955-N-108264	острый кишечный инфекция	4955
4955-N	4955-N-115808	острый кишечный заболевание	4955
4955-N	4955-N-104872	кишечный инфекционный заболевание	4955
4955-N	4955-N-104871	кишечный инфекция	4955
116668-N	116668-N-119542	кашель	116668
5414-N	5414-N-117532	профилактика беременность	5414
5414-N	5414-N-105277	контрацепция	5414
5414-N	5414-N-109611	предупреждение беременность	5414
120814-N	120814-N-753408	самолечение	120814
9862-N	9862-N-121666	аденома	9862
9491-N	9491-N-119965	шизофрения	9491
9491-N	9491-N-217331	шизофренический психоз	9491
10085-N	10085-N-197155	хиропрактика	10085
10085-N	10085-N-122190	мануальный терапия	10085
109069-N	109069-N-140838	крапивница	109069
9767-N	9767-N-704546	рентгеновский просвечивание	9767
9767-N	9767-N-704539	рентгеновский диагностика	9767
9767-N	9767-N-704547	радиография	9767
9767-N	9767-N-191031	рентген	9767
9767-N	9767-N-704542	радиодиагностика	9767
9767-N	9767-N-704543	рентгенографирование	9767
9767-N	9767-N-121423	рентгенография	9767
9767-N	9767-N-121422	рентгенодиагностика	9767
9767-N	9767-N-704541	рентгенологический диагностика	9767
9767-N	9767-N-124282	рентгенологический исследование	9767
9767-N	9767-N-121424	рентгеноскопия	9767
9767-N	9767-N-704545	радиографический исследование	9767
9767-N	9767-N-121785	лучевой диагностика	9767
9767-N	9767-N-704544	рентгеносъемка	9767
112643-N	112643-N-139869	катар желудок	112643
112643-N	112643-N-135895	гастрит	112643
7391-N	7391-N-104370	инфаркт миокард	7391
9414-N	9414-N-119742	киста	9414
130761-N	130761-N-181508	олигофрен	130761
130761-N	130761-N-690912	имбецил	130761
130761-N	130761-N-181509	даун	130761
130761-N	130761-N-181510	дебил	130761
130761-N	130761-N-191268	дебилка	130761
10199-N	10199-N-123831	болезнь печень	10199
10199-N	10199-N-206195	гепатопатия	10199
10199-N	10199-N-123036	заболевание печень	10199
10199-N	10199-N-121352	печеночный недостаточность	10199
144031-N	144031-N-680298	аутизм	144031
144031-N	144031-N-714685	аутистический мышление	144031
3949-N	3949-N-188706	психический нездоровье	3949
3949-N	3949-N-188703	психический нарушение	3949
3949-N	3949-N-110238	психический заболевание	3949
3949-N	3949-N-188707	психический недуг	3949
3949-N	3949-N-188704	психический недостаток	3949
3949-N	3949-N-188709	психический отклонение	3949
3949-N	3949-N-122221	психический болезнь	3949
3949-N	3949-N-165265	психзаболевание	3949
3949-N	3949-N-679012	отклонение в психика	3949
3949-N	3949-N-107564	нервно-психический расстройство	3949
3949-N	3949-N-118804	нервно-психический отклонение	3949
3949-N	3949-N-118991	нервный расстройство	3949
3949-N	3949-N-760473	душевный расстройство	3949
3949-N	3949-N-103477	душевный заболевание	3949
3949-N	3949-N-103475	душевный болезнь	3949
3949-N	3949-N-688926	психопатология	3949
3949-N	3949-N-669629	расстройство психика	3949
3949-N	3949-N-105825	психоневрологический расстройство	3949
3949-N	3949-N-110256	психоневрологический заболевание	3949
3949-N	3949-N-115532	психологический расстройство	3949
3949-N	3949-N-110241	психический расстройство	3949
110168-N	110168-N-101156	брюшной тиф	110168
137523-N	137523-N-201499	энтерит	137523
4688-N	4688-N-112120	стерилизация	4688
5801-N	5801-N-113380	умственный расстройство	5801
5801-N	5801-N-122690	нарушение психика	5801
5801-N	5801-N-118414	нарушение интеллект	5801
8950-N	8950-N-117229	антибиотикотерапия	8950
8706-N	8706-N-116269	глаукома	8706
127565-N	127565-N-175293	остеопороз	127565
5802-N	5802-N-213471	проблема в развитие	5802
5802-N	5802-N-213472	отклонение в развитие	5802
5802-N	5802-N-115581	нарушение умственный развитие	5802
5802-N	5802-N-213470	нарушение интеллектуальный развитие	5802
5802-N	5802-N-108061	олигофрения	5802
5802-N	5802-N-213983	малоумие	5802
5802-N	5802-N-217540	умственный неполноценность	5802
5802-N	5802-N-201826	имбецильность	5802
5802-N	5802-N-113379	умственный отсталость	5802
5802-N	5802-N-217552	идиотия	5802
5802-N	5802-N-213982	задержка умственный развитие	5802
5802-N	5802-N-756031	задержка в развитие	5802
5802-N	5802-N-119859	дебильность	5802
108863-N	108863-N-120976	гайморит	108863
7394-N	7394-N-700683	полиартрит	7394
7394-N	7394-N-100552	артрит	7394
9598-N	9598-N-120440	бронхит	9598
5390-N	5390-N-144786	операция	5390
5390-N	5390-N-689871	оперативный лечение	5390
5390-N	5390-N-113988	хирургический операция	5390
5390-N	5390-N-113990	хирургический лечение	5390
5390-N	5390-N-120132	хирургический вмешательство	5390
5390-N	5390-N-749313	оперирование	5390
5390-N	5390-N-120094	хирургический метод	5390
5390-N	5390-N-170749	оперативный вмешательство	5390
5390-N	5390-N-122245	хирургический коррекция	5390
5390-N	5390-N-120121	хирургический помощь	5390
9278-N	9278-N-119598	ампутация	9278
9406-N	9406-N-119745	колит	9406
9406-N	9406-N-714277	воспаление толстый кишка	9406
7506-N	7506-N-114743	энцефалит	7506
7506-N	7506-N-102018	воспаление мозг	7506
10134-N	10134-N-123628	припадок	10134
110392-N	110392-N-188705	психический неполноценность	110392
110392-N	110392-N-119950	психоз	110392
110392-N	110392-N-188708	психический невменяемость	110392
109936-N	109936-N-140601	конъюнктивит	109936
153162-N	153162-N-115814	гипсование	153162
153162-N	153162-N-747058	наложение гипсовый повязка	153162
147153-N	147153-N-711954	нервный анорексия	147153
147153-N	147153-N-711953	анорексия	147153
111388-N	111388-N-712020	режущий боль	111388
111388-N	111388-N-692196	резкий боль	111388
111388-N	111388-N-151703	резь	111388
109961-N	109961-N-152991	сколиоз	109961
142786-N	142786-N-699417	травматический синдром	142786
142786-N	142786-N-699416	травматический невроз	142786
142786-N	142786-N-669633	посттравматический невроз	142786
142786-N	142786-N-669634	посттравматический синдром	142786
142786-N	142786-N-683869	посттравматический расстройство	142786
112399-N	112399-N-155134	тонзиллит	112399
109688-N	109688-N-135921	геморрой	109688
142973-N	142973-N-714593	дренаж рана	142973
142973-N	142973-N-103452	дренаж	142973
142973-N	142973-N-670595	медицинский дренаж	142973
137794-N	137794-N-202517	боль в голова	137794
137794-N	137794-N-202516	головной боль	137794
108134-N	108134-N-157785	шок	108134
108134-N	108134-N-721406	шоковый состояние	108134
108134-N	108134-N-721408	нервный шок	108134
108134-N	108134-N-153775	состояние шок	108134
8802-N	8802-N-116593	почечный недостаточность	8802
8802-N	8802-N-119723	почечный колика	8802
136951-N	136951-N-199195	эвтаназия	136951
5137-N	5137-N-100006	аборт	5137
5137-N	5137-N-714427	производство аборт	5137
5137-N	5137-N-109653	искусственный прерывание беременность	5137
5137-N	5137-N-119712	прерывание беременность	5137
111256-N	111256-N-121272	невротический состояние	111256
111256-N	111256-N-739142	психоневроз	111256
111256-N	111256-N-107452	невроз	111256
111256-N	111256-N-118805	невротический срыв	111256
111256-N	111256-N-120096	невротический расстройство	111256
121135-N	121135-N-163591	клептомания	121135
9808-N	9808-N-158081	эндоскопия	9808
9808-N	9808-N-121608	лапароскопия	9808
137126-N	137126-N-714224	установка катетер	137126
137126-N	137126-N-199923	введение катетер	137126
137126-N	137126-N-199922	катетеризация	137126
6004-N	6004-N-206091	детский паралич	6004
6004-N	6004-N-109153	полиомиелит	6004
141542-N	141542-N-213980	старческий маразм	141542
141542-N	141542-N-676759	сенильный деменция	141542
141542-N	141542-N-213979	старческий слабоумие	141542
141542-N	141542-N-676760	старческий деменция	141542
4277-N	4277-N-120817	лучевой травма	4277
4277-N	4277-N-108266	острый облучение	4277
4277-N	4277-N-106042	лучевой болезнь	4277
7393-N	7393-N-119840	артеросклероз	7393
7393-N	7393-N-124857	артериосклероз	7393
7393-N	7393-N-124858	атеросклероз	7393
6041-N	6041-N-215714	воспаление мозговой оболочка	6041
6041-N	6041-N-106503	менингит	6041
4684-N	4684-N-105390	корь	4684
135771-N	135771-N-732523	провал в память	135771
135771-N	135771-N-732524	провал память	135771
135771-N	135771-N-196630	потеря память	135771
135771-N	135771-N-732525	расстройство память	135771
135771-N	135771-N-196631	нарушение память	135771
135771-N	135771-N-194696	амнезия	135771
7860-N	7860-N-104790	кесарев сечение	7860
7860-N	7860-N-124960	чревосечение	7860
8187-N	8187-N-138926	иглоукалывание	8187
8187-N	8187-N-167945	иглорефлексотерапия	8187
8187-N	8187-N-104081	иглотерапия	8187
8187-N	8187-N-100343	акупунктура	8187
143084-N	143084-N-671701	искривление спина	143084
143084-N	143084-N-139382	искривление позвоночник	143084
7390-N	7390-N-101079	болезнь сердце	7390
7390-N	7390-N-724936	кардиологический заболевание	7390
7390-N	7390-N-707709	заболевание сердце	7390
7390-N	7390-N-709292	сердечный болезнь	7390
7390-N	7390-N-709293	сердечный заболевание	7390
9337-N	9337-N-199564	заболевание желудочно-кишечный тракт	9337
9337-N	9337-N-118923	желудочно-кишечный заболевание	9337
9337-N	9337-N-209644	заболевание орган пищеварение	9337
9337-N	9337-N-182524	болезнь орган пищеварение	9337
9337-N	9337-N-125007	желудочный заболевание	9337
