sentences,EF,INF,ADR,DI,others,annotation,review_id,sentence_id,sent_start,sent_end
"Нашла решение в донормиле, выпиваешь - засыпаешь!",1,0,0,0,0,EF[1],108315,4,220,269
"И, если честно, мне не помогло.",0,1,0,0,0,INF[1],2445928,7,390,421
"Результат - по речи у нас ни каких сдвигов так и не произошло, а вот моргать глазками малой перестал.",1,1,0,0,0,INF[3]|EF[1],2414724,3,278,379
знаю препарат Лавомакс давно.,0,0,0,0,0,NEUTRAL,2553831,1,0,29
"Стоит недешево, а эффекта - ноль.",0,1,0,0,0,INF[2],815444,13,744,777
"Температура правда спала, но после приема третей таблетки начал закашливаться аш до рвоты, мондраш волнами, давление 130(хотя с давлением вообще проблем не было), жуткая головная боль.",1,0,0,0,0,EF[1],1325273,2,44,228
Это универсальные свечи.,0,0,0,0,0,NEUTRAL,882854,15,520,544
Постоянные внутренние переживания и чувство тревоги действительно очень сильно осложняли мне жизнь.,0,0,0,0,0,NEUTRAL,792635,1,0,99
Глаза теперь меньше устают.,1,0,0,0,0,EF[2],2436921,6,346,373
Горло у ребенка через несколько дней пришло в норму.,1,0,0,0,0,EF[4],643275,9,462,514
Это довольно увесистый бутыль объёмом 100 мл.,0,0,0,0,0,NEUTRAL,2465822,4,212,257
Идти больницу времени на это не было.,0,0,0,0,0,NEUTRAL,2538754,2,74,111
"В первые дни приема не замечала никаких изменений, результатов.",0,1,0,0,0,INF[1],2424525,3,291,354
Давненько не болели серьёзно с температурой.,1,0,0,0,0,EF[1],2436411,4,211,255
"После первой недели сразу заметила, он стал более внимательным, начал отвечать на вопросы как ""разговаривают животные"", до этого, добиться от него хоть слова было очень трудно, только если хорошее настроение.",1,0,0,0,0,EF[1],2407197,3,159,367
Общее впечатление : Часа 4 нормального сна,0,0,0,0,0,NEUTRAL,1071769,4,416,458
Из огня так в полымя.,0,0,0,0,0,NEUTRAL,594103,5,106,127
"В состав входит римантадин-иммуномодулятор, что помогает по сравнению с остальными порошками от простуды на много эффективнее.",1,0,0,0,0,EF[2],587207,3,97,223
Уже после первой таблетки зуб прошел.,1,0,0,0,0,EF[1],1086939,11,714,751
Прекрасное эффективное средство.,1,0,0,0,0,EF[3],2663253,10,340,372
Пока что помогает.,1,0,0,0,0,EF[1],2451820,8,464,482
"Лечение было комплексным: иглоукалывание, массаж, Мой отзыв о нейромультивит Упаковка имеет дополнительную защиту с голограммой Таблетки овальной формы не совсем крупные Моему ребенку назначен для восстановления кровообращения (что бы конечности не были холодными) Препарат просто очень дорогостоящий на сегодня нужно было пропить курс три упаковки, пропили уже две, но пока особого эффекта не заметили.",0,1,0,0,0,INF[2],2543301,3,310,713
стало только хуже.,0,0,0,0,0,NEUTRAL,2491980,6,156,174
"Результат тоже был как и от ацикловира, чего-то сверхъестественного не заметила, герпес длился, как обычно, четыре дня, потом попустило.",1,1,0,0,0,EF[2]|INF[1],2493805,6,548,684
"Она нам прописала лекарственное средство Пантогам, сказала просто пропить для лучшей мозговой деятельности.",0,0,0,1,0,DI[1],1105026,2,34,141
очередная бессонная ночь.,0,1,0,0,0,INF[1],929986,12,535,560
"Примерно через 2 недели после курса лечения стал пытаться разговаривать, но все равно именно говорить у малыша не получается, больше мычит.",1,0,0,0,0,EF[3],609740,3,166,305
Вот и я решила в очередной раз попробовать крем для наружного применения Фенистил Пенцивир.,0,0,0,0,0,NEUTRAL,2493805,3,240,331
Действующее вещество в нём ксилометазолина гидрохлорид.,0,0,0,0,0,NEUTRAL,2430254,2,46,101
Общее впечатление : Хорошее средство для нормализации нервишек.,1,0,0,0,0,EF[3],832096,13,814,877
Иммунитет поднимает хорошо.,1,0,0,0,0,EF[2],953794,6,407,434
Отличное средство при борьбе с герпесом.,1,0,0,0,0,EF[1],832817,11,895,935
Пьешь -эффекта никакого нет вообще.,0,1,0,0,0,INF[1],2519044,5,446,481
"Решилась выпить амексин, тк осталась одна в другом городе с 3х летней дочерью, муж уехал в командировку и некому было помоч.",0,0,0,0,0,NEUTRAL,901487,3,164,288
"Общее впечатление : Дорого, ребенку больно - эффекта ноль!",0,1,0,0,0,INF[2],886355,13,768,826
Перехожу на ацитилку.,0,0,0,0,0,NEUTRAL,2696309,4,122,143
RATING 2 NOTE,0,0,0,0,0,NEUTRAL,886355,14,827,840
"Хотя ребенок перестал жаловаться на то, что иногда сводит ногу.",1,0,0,0,0,EF[1],2543301,5,813,876
Иногда казалось что вирусы привыкли к лекарству и попросту на него не реагируют.,0,1,0,0,0,INF[2],2457636,6,496,576
Новый друг хуже старых полюбому!,0,0,0,0,0,NEUTRAL,2439190,2,95,127
"В общем это хорошее средство от герпеса, но его нужно принимать курсом.",1,0,0,0,0,EF[2],609507,22,926,997
"Поняла что эффект от таблеток ноль и принимать дальше их не стала, перешла на привычное средство, которое еще ни разу меня не подводило, а стоит в пять раз дешевле.",0,1,0,0,0,INF[2],806166,8,705,869
Я оценила лечебные свойства этого препарата.,0,0,0,0,0,NEUTRAL,643275,8,417,461
"Принимать его надо как написано в инструкции, а не устраивать самодеятельность.",0,0,0,0,0,NEUTRAL,635587,5,260,339
Фактически вместо успокоения я получил усиление стресса.,0,0,0,0,0,NEUTRAL,2653333,6,560,616
Так что советую немного сэкономить и сделать своему ребенку эту прививку - не пожалеете.,0,0,0,0,0,NEUTRAL,2453106,5,619,707
"горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.",1,0,0,0,0,EF[1],826379,7,252,334
Пропив одну коробку(10 флаконов) мы перестали болеть и ребёнок отходил в сад два месяца.,1,0,0,0,0,EF[1],885404,7,412,500
"Единственное преимущество - это приемлемая цена, по сравнению с другими снотворными препаратами "" Сондокс"" очень дешевый, но качество не очень уж.",0,0,0,0,0,NEUTRAL,2671902,4,294,440
"Получив его ""по наследству"" и имея свои проблемы со сном и нервами, пропив остаток, сказала бы, что он мне помог снять нервное напряжение, немного успокоится.",1,0,0,0,0,EF[1],2439706,8,521,679
"Но нельзя, пока все инфекции не вылечить.",0,0,0,0,1,Other[2],882854,3,70,111
"Стало не то, что лучше и спокойней, а наоборот все бесило.",0,1,0,0,0,INF[1],76765,5,264,322
"Теперь я думаю, что препарат Кагоцел лишь только маленько поддержал мой организм, но с болезнью не справился.",0,0,0,0,0,NEUTRAL,2673128,9,710,819
А так препарат очень хороший и что немаловажно не очень дорогой.,1,0,0,0,0,EF[5],609507,17,725,789
"Жене помогло, воспаление было связано с гинекологией.",1,0,0,0,0,EF[2],591673,2,195,248
"Подумать только - абсолютно неэффективный препарат (основанный исключительно на эффекте плацебо и на том, что вирусные инфекции дыхательных путей проходят сами по себе, с течением времени - а больные связывают это с действием амизона) стал самым продаваемым на территории Российской Федерации за 2014 и 2013 года!",0,1,0,0,0,INF[1],2421119,5,441,754
"Может в других ситуациях лекарство работает, но мне не помогло и советовать его я никому не могу.",0,1,0,0,0,INF[1],2733948,10,819,916
"Сразу же отмечу, что цена этой чудо- мази около 300 рублей, в отличии от привычного мне ацикловира, который стоит чуть ли не в 10 раз дешевле.",0,0,0,0,0,NEUTRAL,2523468,2,238,380
"Вот сколько не пробовала пить на ночь таблетки валерианы, всегда на утро результат один и тот же тяжелая как после похмелья голова и уже к обеду хорошая мигрень.",0,0,0,0,0,NEUTRAL,87095,1,0,161
"Эх, беда-беда.",0,0,0,0,0,NEUTRAL,2519044,9,693,707
На нем есть вся аннотация.,0,0,0,0,0,NEUTRAL,2489974,4,164,190
"Я начинала с 15 капель, а потом пришлось пить уже 20 и больше... Мне такой эффект совсем не по душе.",0,0,0,0,0,NEUTRAL,2399213,9,712,812
"ребенок стал лучше намного разговаривать, повторять все что слышит.",1,0,0,0,0,EF[2],1111461,3,80,147
"В нашем случае Амизончик, не только не помог как противовирусное средство, но и подпортил ЖКТ.",0,1,0,0,0,INF[1],2633533,6,639,733
"Уже после недели, может чуть больше, я почувствовала явные улучшения в самочувствии.",1,0,0,0,0,EF[1],655424,5,247,331
"Детишкам моим нравится когда промываем, а мне нравится что они не пытаются сбежать от этой процедуры.",0,0,0,0,0,NEUTRAL,794482,9,683,784
"Тем самым болезнь проходит легче и быстрее, главное не проморгать тот момент первых симптом заболевания.",1,0,0,0,0,EF[1],950351,4,234,338
"Пропили курс, но пока никакого результата не увидела, сопли и кашель как были, так и есть.",0,1,0,0,0,INF[2],2501951,3,242,332
"Может быть его надо периодически употреблять, не знаю, но это наводит на мысль о его бесполезности.",0,0,0,0,0,NEUTRAL,2501951,4,333,432
Нам не помогал.,0,1,0,0,0,INF[2],2418508,3,39,54
Вообще никакого улучшения.,0,1,0,0,0,INF[1],2439190,3,128,154
"Делаем профилактику в течении трех лет всей семьей, но в последнее время он не помогает.",0,1,0,0,0,INF[1],2553831,2,30,118
"Однажды очень хороший врач, к которой мы обращаемся в экстренных случаях, посоветовала купить ИРС 19 и пшикать дочке перед садиком и вечером в течении 2 недель.",0,0,0,0,0,NEUTRAL,1730783,1,0,160
Вот и решилась на покупку этого недешевого препарата.,0,0,0,0,0,NEUTRAL,806166,3,158,211
Нам он помогает.,1,0,0,0,0,EF[1],2718592,14,989,1005
"На вкус приятный, правда чувствуеся что туда добавлена лимонная кислота, хотя вкус должен быть черной смородины.",0,0,0,0,0,NEUTRAL,811884,5,408,520
"Настроился режим сна, стала легче засыпать.",1,0,0,0,0,EF[2],940903,4,351,394
Какого же было мое удивление когда в анализах вирус снова был обнаружен!,0,1,0,0,0,INF[2],2733948,8,519,591
"Приём детям назначают, лишь с года.",0,0,0,0,0,NEUTRAL,603416,3,200,235
"После курса уколов сдвигов не наблюдалось, да и желание разговаривать опять куда-то пропало.",0,1,0,0,0,INF[2],2424557,6,474,566
"Пил день, пил два… Толку по нолям, только ОРВИ мой без лечения превратился в серьезную проблему, температура всползла вверх, а сопли забили нос, как сажа – нечищеный дымоход.",0,1,0,0,0,INF[1],2385506,5,255,429
Например тот же Амизон или Ацц.,0,0,0,0,0,NEUTRAL,2395998,6,580,611
"Часто назначали препарат во время заболевания, необходимо было следовать только схеме, но она тоже не срабатывала.",0,0,0,0,0,NEUTRAL,273783,8,461,575
"Рекомендую эти свечи, только желательно проходить курс полностью, т. е. использовать все 10 штук-это всего 5 дней.",1,0,0,0,0,EF[1],2509783,6,384,498
"На утро, ребёнок проснулся весь горячий, кричал, температура была 38.",0,0,0,0,0,NEUTRAL,1263039,3,189,258
Общее впечатление : при сильной боли не будет эффективно RATING 4 NOTE,0,0,0,0,0,NEUTRAL,824400,5,607,677
Не значительно снять чувство тревоги.,1,0,0,0,0,EF[2],2738039,13,625,662
"Однако, ни профилактического, ни лечебного эффекта я совершенно не заметила.",0,1,0,0,0,INF[1],1484511,2,195,271
"Инфлюцид это гомеопатический препарат, который содержит шесть активных компонентов.",0,0,0,0,0,NEUTRAL,646265,3,183,266
"Просто если ее употреблять в дневное время суток, как я сначала признаться и делал то накатывает сонливость и при накопительном эффекте окутывает слабость и апатия.",0,0,0,0,0,NEUTRAL,2822501,4,276,440
"Итог ужасный: переболели всеми видами ОРВИ, но самое страшное за полгода два раза обструктивным бронхитом и теперь нам почти подтвердили бронхиальную астму.",0,1,0,0,0,INF[1],2500038,3,156,312
Данный препарат меня очень спасает.,1,0,0,0,0,EF[1],2705356,9,564,599
"у маленкий ребенок, 1 год, простыли кашель сопли рекой, температура 38,5 ну и сразу вызвали детского педиатора на дом, нам прописал и свечи Генферон лайт.",0,0,0,0,0,NEUTRAL,2688660,2,14,168
"Заметила, что дети стали меньше болеть, а если всё таки заболевают болезнь протекает легче и порою ограничевается только насморком.",1,0,0,0,0,EF[2],2436411,3,79,210
"Лучше уж использовать проверенные народные средства: мед, шиповник, малина, ... Может это индивидуально, но нам сироп не подошел, больше брать не будем и не рекомендую.",0,1,0,0,0,INF[1],2389422,9,601,769
Всего чего я добилась от этого препарата принимаего 3 дня - это нормализовалась температура и естественно прошёл озноб.,1,0,0,0,0,EF[1],886201,9,549,668
"Вот тебе и разница, дороже не значит лучше.",0,0,0,0,0,NEUTRAL,2390747,5,270,313
Принимаю и отдельно при скачках давления.,0,0,0,0,0,NEUTRAL,818395,2,77,118
"Да сейчас засыпаю с него быстро и хорошо, но сплю 4-5 часов крепко потом начинаю так же просыпаться, как и раньше в 4-5 утра подъем и уговариваю себя поспать еще пару часиков.",1,1,0,0,0,EF[3]|INF[4],1071769,2,50,225
"Купила я ""Тенотен детский"" в аптеке, так как повелась на рекламу (как и все люди).",0,0,0,0,0,NEUTRAL,2403676,1,0,82
"Поэтому я решил попробовать Противовирусное средство ""Арбидол Максимум"" Принимать нужно по 2 капсулы два раза в день ( утром и вечером).",0,0,0,0,0,NEUTRAL,2510045,7,337,473
Время использования: 1 раз,0,0,0,0,0,NEUTRAL,2516885,12,842,868
Общее впечатление : При первых признаках простуды -эффективен.,1,0,0,0,0,EF[1],656261,8,802,864
"Поэтому на данный момент, от этих таблеток я решила отказаться, хотя знаю людей которым они очень помогают успокиться и быстро заснуть, среди таких людей и моя родная тетя, она эти таблетки принимает на ночь по три-четыре штуки за один раз и на утро свеженькая и бодрая как огурчик, я же выпиваю одну и следующий день хожу как варенная, наверное этот препарат мне просто не подходит.",1,0,0,0,0,EF[1],87095,2,162,545
""", даже посмеивались что ребенок ""под шафэ"", но конечно же препарат активно детям назначают и беспокоиться о каплях спирта не стоит.",0,0,0,0,0,NEUTRAL,894083,5,483,615
