sentences,EF,INF,ADR,DI,Finding
Constant pain!,0,0,1,0,0
"This pill stopped my pain, but cause me more pain.",0,0,1,0,0
"Не знаю как вам, но в моем случае помог, поэтому пока я ему доверяю.",1,0,0,0,0
"Первая реакция соответствовала инструкции: недомогание, мышечная боль, боль в суставах, озноб, повышение температуры.",0,0,1,0,0
"Severe Hip pain in both hips, calves are sore and tender to the touch, dramatically decreased libdo, eye sight changes.",0,0,1,0,0
I also have neurally mediated hypotension and since I have been taking lipitor I have had recurring fainting spells.,0,0,1,1,0
"I started getting some pain in ankles from time to time, I work out so attributed the pain to ""old age"" (45).",0,0,1,0,0
"Как то я заметила, что мне помогает настойка валерианы.",1,0,0,0,0
"From one pill : Heavy menstrual bleeding even though my periods ended a week before, cramps, nausea.",0,0,1,0,0
!,0,0,0,0,0
"Depression, severe and persistent musclo-skeletal pain, insomnia, gas, severe rectal bleeding, nausea, stomach pain, syncope and more.",0,0,1,0,0
"Loss of memory, aphasia, tremor, violent anger, tearfulness, insomnia, muscle weakness, easy bruising, and nosebleeds.",0,0,1,0,0
I even went to a podiatrist because my toes ached and my feet hurt.,0,0,1,0,0
"Да-да, лучше именно на травках, потому как химические вещества могут вызвать зависимость.",0,0,0,0,1
Have recommended to two others who have had similar exceptional results for chronic arthritic type issues.,0,0,0,1,0
Вызвали скорую.,0,0,0,0,0
I took Lipitor for 6 weeks and noticed extreme dehydration and extremely dry eyes.,0,0,1,0,0
"Стала спокойной даже чересчур, на работе стала тупить, коллеги сказали что я какая то заторможенная, все время клонит в сон.",0,0,1,1,0
"Extreme back pain, nerve damage, breathing problems to the point of hospitalization stiffness all over body, muscle damage, hugh black and blue marks 6 in., hair loss, dizzyness, vision problems, close to blackouts, sinus problems,temperature, heart palputations, abdominal problems, bleeding, gas.",0,0,1,0,0
have cold sweats and dizzyness.,0,0,1,0,0
"Но при этом, никто не отменяет применение других лекарств для устранения насморка и боли в горле.",0,0,0,1,0
"So, I really believe in this drug, but must consider what it may be doing to my body and my degree of pain.",0,0,1,0,0
"Выпив таблеточк, у я очень хорошо почувствовала на себе угнетенное подавленное состояние.",0,0,1,0,0
Насморк не прошел.,0,1,0,1,0
very tender to the touch.,0,0,1,0,0
Totally cured the pain in my foot from tendonitis and plantar fasciitis.,0,0,0,1,0
"Exhaustion, malaise, upset stomach/constant hunger.",0,0,1,0,0
"I developed constipation and flatulence, which I had rarely suffered from before taking Lipitor.",0,0,1,0,0
My doctor has me get a blood test every six months to make sure my liver and kidneys are ok.,0,0,0,0,0
My mother and I are both recipients of high cholesterol.,0,0,0,0,1
Headache.,0,0,1,0,0
Всем доброго времени суток.,0,0,0,0,0
"right hand tremor, affected gait--small steps, hunched over position, slowness in movement,.",0,0,1,0,0
"On day 8, starting wheezing at night.",0,0,1,0,0
I started feeling an odd sensation in the center back of my calves.,0,0,1,0,0
"Может быть, вирус не поддался воздействию циклоферона, может быть поддался, но я этого не заметила.",0,1,0,0,0
"I landed up having to have a muscle biopsy to the right leg which showed no muscle damage, but elevated CPK levels still were present.",0,0,1,0,0
"Хотя я и могу делать сама себе укольчики, но все же купила Циклоферон в таблетках - он дешевле, да и попа целее будет)).",0,0,0,0,0
"Medical personnel dismissed the symptoms as not being related to taking this drug, but once I stopped taking, my cramping and bleeding stopped.",0,0,1,0,0
"I have had unexplained fatigue (sleeping 11-12 hours a night, and still having no energy all day)since starting Lipitor 2 years ago; my new doctor did a new test and said my SED rate is high- he suspects it is the Lipitor and told me to go off it immediately.",0,0,1,0,0
"stomack pains, vomited all night about 6 times, abdominal pain, then i got severe vaginal bleeding , horrible.",0,0,1,0,0
"Pain or cramping in both quads (above knee, back of leg).",0,0,1,0,0
"I do not look forward to the extra pains I will llkely experience in a couple weeks, but I am sure I can find something else to deal with them.",0,0,0,0,0
Ничуть он не помогал.,0,1,0,0,0
Also depression (on second try).,0,0,1,0,0
I was on 10 mg and complained about discomfort in my legs but my cardiologist just said it was old age and even upped my dose to 20 mg. That really made things a lot worst and now I just stopped it and within 24 hours could see an improvement.,0,0,1,0,0
within 2 hours started having heart attack symptoms.,0,0,1,0,0
I thought it was just me till I saw the notes here about tiredeness.,0,0,1,0,0
Врач сразу же выписала Тонзилгон.,0,0,0,0,0
"ни слова сказать не мог, даже пошевелиться.",0,0,1,0,0
nausea.,0,0,1,0,0
The pain has since radiated to wrists and hips.,0,0,1,0,0
Started experiencing joint pain approx 6 months in.,0,0,1,0,0
"Пить нужно было по пол ампулы 2 раза в день, строго до 2-х часов дня, врач предупредил что на фоне приема может быть эмоциональное возбуждение, поэтому пить только в первой половине дня.",0,0,0,0,1
"legs feel leaden, initially, lower back pain (but I've had that before), cramps in thighs, achy legs, lack of energy.",0,0,1,0,0
Depression.,0,0,1,0,0
"so i dont recommend it if you suffer from High blood pressure, IBS, are prone to stomache ulcers, prone to reflux, heart burn or are an asthmatic.",0,0,0,1,0
"средство действительно действует, да вы заснете, но когда проснетесь поймете, что лучше бы не засыпали под действием этого препарата!",1,0,0,0,0
"headache, insomnia,sore hip(tightIT band), depression.",0,0,1,0,0
"В данном случае этот шаг оправдан, так как необходимо обезопасить себя от неврологический нарушений, которые способны возникнуть вследствие этой болезни",0,0,0,1,0
If pain disappears will try another statin.,0,0,1,0,0
"После приема действительно становилось легче, и горло меньше болело и нос не так закладывало.",1,0,0,1,0
MY MUSCLES ACHED AND I DEVELOPED DIFFICULTY IN WALKING.,0,0,1,0,0
Joint and muscle pain; leg and foot cramping.,0,0,1,0,0
"For all of you who now have extremely low LDL and a bad case of joint pain to the extent that it is very arthritic or having bad muscle cramps that you never got prior to the drug, it is from the statins.",0,0,1,0,0
"Unfortunately, I have also never been so sick from a prescription.",0,0,1,0,0
"Within 7 days I had such severe myopathy (muscle pain) and cramping I could not walk, my CPK was elevated to that of a person having a heart attack and my liver enzymes were very elevated.",0,0,1,1,0
other for severe gastritis.,0,0,0,1,0
depression was awful!!!!,0,0,1,0,0
"Я попросила посмотреть, бегло прочитала инструкцию: от гриппа и ОРВИ, принимать всего лишь раз в сутки.",0,0,0,0,1
Within half hour of taking this drug I suffered from excessive cramping.,0,0,1,0,0
Stupid doctor says learn to deal with pain.,0,0,1,0,0
I experienced weight gain because my level of activity has dropped.,0,0,1,0,0
Arthritic type pain in all joints.,0,0,1,0,0
"I also feel like I may need to go to the restroom, but when I do I can't.",0,0,1,0,0
Suffered from depression after taking lipitor but did not realize connection.,0,0,1,0,0
И температуры не стало!,1,0,0,1,0
I kept telling my doctor about the body aches but he always blamed it on something else.,0,0,1,0,0
"Если он сильный, то тебе ничего не страшно.",0,0,0,0,0
It was like Restless Leg Syndrome.,0,0,1,0,0
"Very little side effects,some gas.",0,0,1,0,0
"I have had a Myocardial Infarction in '98, have 2 stents implants, and need the med to keep my chol at least within reason, although obviously its NOT doing its job, or med would not have been increased.",0,0,0,1,0
"While this medicine did help with my pain, the side affects out-weigh the benefits.",0,0,0,0,0
"pain in upper right arm, could not sleep on it or move it behind my back.",0,0,1,0,0
Muscles feel like a wet dish rag.,0,0,0,0,1
Не знали бед мы пока нам в 3 месяца не вкололи прувывошку от пневмакоковой инфекции.,0,0,0,1,0
Lipitor has recently started causing pain in back and behind the knee.,0,0,1,0,0
I ran five miles last Saturday and expected to be sore for a day.,0,0,0,0,1
Not sure of how tight the correlation is between low chlosterol numbers and low risk of coronary problems.,0,0,0,1,0
"Невролог назначил ребенку 3.7 лет пропить энцефабол, 1ч.",0,0,0,0,0
I want to know if lipitor is connected to als.,0,0,1,0,0
"Alopecia, nausea, vomiting, severe back and hip pain, depression, dark thoughts, overwhelming exhaustion and muscle fatigue, sleeplessness, facial paralysis, loss of quality of life.",0,0,1,0,0
joint pain.,0,0,1,0,0
This drug works by messing w/ your hormones and can be used as a mood stabilizer.,0,0,0,0,1
"Первые три дня всё было хорошо, почти исчезло головокружение и давление было в норме.",1,0,0,1,0
"Extremely heavy menstral cycles, fatigue, slow healing & clotting.",0,0,1,0,0
I could not get up from my desk without holding onto the desk and walking up the stairs was intolerable.,0,0,0,0,0
"Лучше уж использовать проверенные народные средства: мед, шиповник, малина, ... Может это индивидуально, но нам сироп не подошел, больше брать не будем и не рекомендую.",0,1,0,0,0
I highly recommend it to anyone that suffers from arthritis.,0,0,0,0,1
"Over that time I've gradually become weaker, stiff, and low in energy and over the past few weeks I've developed flu like syptoms and muscle spasms.",0,0,1,0,0
"Can now take shirts off over my head without wincing; not great, but better.",0,0,1,0,0
"I have asthma anyway, but it was the worse case I've had in 13 years.",0,0,0,0,1
I do experience leg weakness and cramping.,0,0,1,0,0
Все они использовали и используют Оксолиновую мазь.,0,0,0,0,0
Many muscle cramps in legs and left arm.,0,0,1,0,0
"My Dr can't seem to find out why My feet hurt in the morning and unexplained Joint Pain, I get even after just sitting for an hour watching TV in the evening.",0,0,1,0,0
At about the same time as I started taking lipitor I began experiencing chest muscle soreness and spazms which have persisted.,0,0,1,0,0
"Детишкам моим нравится когда промываем, а мне нравится что они не пытаются сбежать от этой процедуры.",0,0,0,0,0
"Принимала и плакала, волосы стали выпадать.",0,0,1,0,0
"Unlike previously taking just one tablet of Aleve, which immediately took away my pain symptoms, this drug had absolutely no effect at all.",0,0,0,0,0
Fatigued and worse pain by end of day.,0,0,1,0,0
With this one it just makes me a little drowsy!.,0,0,1,0,0
"I HAVE MUSCLE SORENESS IN MY LEFT LEG ALSO MY HIP, PINS AND NEEDLES, INSOMNIA, NECK PAIN, NOW A SPUR IN MY RIGHT HEEL PAD, WEIGHT GAIN, TRUBLE REMEMBERING SOMETIMES, WHEN I WRITE MY HAND FEELS LIKE IT'S NOT MINE LIKE I'M WATCHING SMEONE ELSES HAND, ODD FEELING THAT.",0,0,1,0,0
"Я тоже пострадала от укусов комаров летом, тоже мазалась и тоже как чесалась так и чесалась.",0,1,0,0,0
I'd rather die from a heart attack than die a slow painful death on Lipitor.,0,0,0,0,1
No amount of sleep makes me feel rested.,0,0,1,0,0
"Делюсь своим мнением о эффективности препарата Трентал 400 мг, 20 таблеток Данный препарат был назначен моему взрослому ребенку, который получил травму руки, по этой причине функциональность была нарушена, задеты нервные окончания, кисти и стопы часто были холодными.",0,0,0,1,0
Because of blockage issues I need to move on to another drug like Crestor or Zocar but after reading some of the comments I am concerned.,0,0,0,0,0
Had another EEG 6months ago with Frontal Lobe abnormalities which I suspect is due to Lipitor.,0,0,1,0,0
"I had spent the day there already for my shoulder pain, was given a prescription and never told of these side effects.",0,0,0,0,0
It has been three weeks and it is still hard to walk and go to work.,0,0,1,0,0
сна не в одном глазу.,0,1,0,0,0
"горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.",1,0,1,0,0
I took one dose and 15 minutes later i felt dizzy and had chest pain and felt like my life was gonna slip away and die.,0,0,1,0,0
"A few years after the dosage was raised to 40 mg, I began to have a sharp pain in the ball of my right foot, diagnosed as a neuroma.",0,0,1,0,1
"У нас ребенок очень часто болеет, и наступил момент когда мы начали гнойной ангиной болеть 2 раза в 3 месяца!",0,0,0,1,0
Was warned about possibility of constipation but think doctor underestimated how severe it would get.,0,0,1,0,0
"I am 70 years old, weigh 167 lbs, exercise daily, don't smoke, and eat fruits and vegetables.",0,0,0,0,1
"stomach pain,dizzy spells,hairloss,fatigue,dry eyes, joint pain.",0,0,1,0,0
"Left foot has a numbness feeling to it,tingling in lower leg when walking,which I have to use a cane now.",0,0,1,0,0
"У моей младшей дочки слабое горло... Причем, оно и в нормальном состоянии, когда не болит, всегда рыхлое и красное.",0,0,0,1,0
Так же как профилактику в период эпидемий.,0,0,0,1,0
"А в остальном очень удобная штука, которая действительно помогает.",1,0,0,0,0
went from very active to severe leg muscle and buttocks cramps as well as aches and pains.,0,0,1,0,0
Если появились признаки крапивницы прекращайте применение и обращайтесь к своему лечащему врачу.,0,0,1,0,0
Major sorness in knees and elbows.,0,0,1,0,0
"fingers twitching, making my mouse click on things I didnt want to click on.",0,0,1,0,0
Циклоферон мне посоветовал врач в комплексной терапии для лечения герпеса.,0,0,0,1,0
"It does help the pain in my knee, which is a strained meniscus, but I'm afraid that the drug is masking the pain which enables me to overexert my joints and cause more injury.",0,0,0,1,0
"The tingling in the neck has stopped, but the leg and shoulder pain has not abated.",0,0,1,0,0
very tired and sometimes legs are restless during the night.,0,0,1,0,0
"Oh, and vision close up is still blurry.",0,0,1,0,0
"Теперь про аллергию- моя мама страдает хроническим аллергическим ринитом, уже много лет, пробовала все известные медикаменты и спреи в нос для снятия симптомов.",0,0,0,1,1
I have been experiencing pain in my right hip and right calf muscle for about 3 years.,0,0,1,0,0
Could not figure out why I was so sick.,0,0,1,0,0
Problems sleeping and concentrating.,0,0,1,0,0
Донормил - это как утверждает сайт википедия седативное средство и средство для лечения от бессоницы.,0,0,0,1,0
Flatulance.,0,0,1,0,0
По возвращению врач порекомендовал настойку пустырника(тогда еще - без спирта).,0,0,0,0,0
"Так и валяются остатки этих капсул в аптечке, нужно будет выкинуть.",0,0,0,0,0
was a big lipitor fan before started on studies showed helped alzheimers now would never reccomend and have talked to numerous people who had problems.,0,0,0,1,0
Extreme fatigue.,0,0,1,0,0
"I thought I had MS,Lupus,Fibromyalgia or some other illness that has the symptoms I was experiencing.",0,0,0,1,0
Both have flu like symtoms.,0,0,1,0,0
"Now I had no ideas at the time about Statin drugs until I found this website, I had been on Simcor for 1 Month & stopped it immediately when I realized that it was perpetuating my Foot/ankle pain.",0,0,1,0,0
"lasted for years, told it was a pinched nerve in my back.",0,0,0,0,1
I still had the urge to urinate constantly but it would come and go and I would have no symptoms for a day then it would return again.,0,0,1,0,0
"Unfortunately, it didn't work at all on my migraines, so I'll continue to look for something else as a backup.",0,0,0,1,0
"i have heard from people who think their amyotrophic lateral sclerosis is due to statins, and from people who think their parkinson/s is due to statins.",0,0,0,0,1
"В общем пока допил всю упаковку, я думала, что помощь невролога нужна уже больше мне чем сыну.",0,0,0,0,0
"DO NOT TRY TO EXERCISE MUS UNTILL PAIN IS GONE,THREE DAYS AFTER QUITTING LIP GOT STRONG RELIEF FOR 3 WEEKS THEN A RELAPSE WITH SLIGHTLY CHANGED SYMPTONS,MORE VERTIGO,CRAMPS SYMPTONS LESSENING AFTER 12 WEEKS.",0,0,1,0,0
"It became progressively worse, and by the end of the first month had created a massive triangular rash on my forehead, as well as a patch on one cheek.",0,0,1,0,0
Makes me very tired.,0,0,1,0,0
"Congestion, cough, elbows burning, right heel pain, loss of concentration.",0,0,1,0,0
"Начали мучить сердцебиения, раздражительность, плаксивость, бессонница.",0,0,0,1,0
После его приема у меня возникало желание поскорее лечь под теплое одеяло и уснуть.,0,0,1,0,0
Crippling cramps.,0,0,1,0,0
"I currently am on Relefen for inflamation, Prednisone 5mg, every other day and Enbrel injections once a week.",0,0,0,0,0
Ох уж эти стрессы!,0,0,0,1,0
"I think since being on this drug, my arms are always falling asleep while I'm sleeping.",0,0,1,0,0
The first day I took Lipitor I couldn't sleep at night because I couldn't relax.,0,0,1,0,0
"weight gain, confusion, depression.",0,0,1,0,0
After 4+ years I've now begun to experience joint pain and muscle weakness.,0,0,1,0,0
"Like a vast majority of those contributing, a lightheadedness, tingling in the scalp, visual deficits (not double vision or blurriness but a sense of my right eye drooping though it is not).",0,0,1,0,1
"Этот препарат прописали моему малышу, ему 10 месяцев.",0,0,0,0,0
"After taking pill with food, feels like menstrual cramps, lower back pain & nausea within 45 minutes.",0,0,1,0,0
"Его ничего нерадовало и взгляд в одну точку... Жуткая рвота, слезы истерика.",0,0,1,0,0
"no sleep, emotional, just plain want to give up.",0,0,1,0,0
headache.,0,0,1,0,0
I fear stopping the lipitor because I fear a heart attack.,0,0,0,0,1
"Seems to me we always have to choose lesser of the 2 evils, I can't deal with Charlie Horses, so I am stopping this med.",0,0,0,0,0
"My husband was on it for less than 6 months and he noticed leg pains, neck glands hurt, trouble swallowing and more.",0,0,1,0,0
"Elevated my blood glucose levels because I am also on Vasotec, Glyburide, Avandia.",0,0,1,0,0
What else could I attribute this pain to?,0,0,1,0,0
"Двадцать три года прожила и ничего подобного никогда не появлялось, а однажды переболела, иммунитет ослабел и выскочила эта ерунда на губах.",0,0,0,1,0
I had acute shoulder tendonitis and was in absolute agony.,0,0,0,1,0
The worst is muscle stiffness and not being able to walk at times.,0,0,1,0,0
"mobility has DECREASED rapidly, especially when trying to go down stairs.",0,0,1,0,0
trembling.,0,0,1,0,0
"So I did and the next day, after taking only one pill, I was eighty years old again.",0,0,1,0,0
"Никакого эффекта Тенотена я не заметила - может он появляется со временем, не знаю.",0,1,0,0,0
The pain has gradually subsided but it has not disappeared over a period of several months.,0,0,1,0,0
"Had acid reflux-type symptoms for a few days, though I have never had reflux.",0,0,1,0,0
Деньги выкинутые на ветер.,0,0,0,0,0
Утром не было сонливости.,0,0,0,1,0
"Recently, the pain in my my left leg is so bad that I can't sleep on that side at night.",0,0,1,0,0
"Да, действительно корочки стали образовываться быстрее, но появился странный зуд в области шеи и груди.",1,0,1,0,0
"Ater getting up and moving around, pain would subside.",0,0,1,0,0
mussel twitches every where mussel spasms and cramps.,0,0,1,0,0
"Lethargy, fuzzy thinking, blurry vision, dull muscle pains constantly.",0,0,1,0,0
After 6 weeks of taking lipitor and constant pain and twitching I took myself off of the medication.,0,0,1,0,0
Так я и сделала.,0,0,0,0,0
"small amounts of gas, but almost constantly.",0,0,1,0,0
I've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.,0,0,0,0,0
"Read the drug company studies, they even say it may help prevent a heart attack when you have 3 of the aforementioned risk factors.",0,0,0,1,0
DR KEPT TELLING ME I WAS DEPRESSED.,0,0,0,0,1
I crawled up and down stairs and could barely walk;had to use a cane.,0,0,1,0,0
Severe back and neck pains that led to severe headaches.,0,0,1,0,0
"About a week ago, in the middle of the night after taking my usual Lipitor dose, while making my nightly trip to the toilet, a severe muscle back cramp almost sent me to the floor.",0,0,1,0,0
"headaches, extreme tiredness, worse heartburn in back of throat, hunger pangs, dry mouth, severe lower abdominal pain/cramping, very irritable.",0,0,1,0,0
"Полегшало, забылись тревоги и вроде бы все хорошо.",1,0,0,1,0
I experienced permanent nerve damage to my feet & severe leg cramping.,0,0,1,0,0
They suggested it could be tendonitis or avascular necrosis and recommended anti-inflammatories.,0,0,0,0,1
Эту валерьянку я начал пить когда был студентом.,0,0,0,0,0
"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst.",0,0,1,0,0
After taking Lipitor for a number of years my muscles and joints in my legs and shoulders gradually became very painful.,0,0,1,0,0
"Свечи мне понравились, время болезни сокращяют, симптомы облегчают, помогают справиться с соплями и предотвратить присоединение вирусной инфекции и избежать приём антибиотиков.",1,0,0,1,1
"Тут такого вкуса нет, но зато есть эффект.",0,0,0,0,0
Время использования: 1 неделю,0,0,0,0,0
I had been unable to get relief from my pain for 2 months following a bone marrow biopsy.,0,0,0,1,0
Но мне ингавирин смог помочь за 3 дня.,1,0,0,0,0
Memory fog.,0,0,1,0,0
"Also, hot/cold fever-like sensations in the skin, but no fever.",0,0,1,0,0
"Так как в этот раз антибиотика не было, больше всех под сомнение попал Амизончик, как только я перестала его давать ребёнку, диарея прекратилась.",0,0,1,0,0
"Пропили август, сентябрь, а 5 октября мы попадаем в больницу (пневмония с обструкцией).",0,0,0,0,1
"In just two weeks, I feel achy, muscle fatigue, memory loss.",0,0,0,0,1
Had chills till I went to bed.,0,0,1,0,0
"С сыном стали заниматься дома развитием речи, а поскольку он у меня очень беспокойный, на месте практически не сидит, то стали принимать этот препарат, в надежде, что он станет поспокойнее.",0,0,0,1,0
"Became unable to walk without a cane, unable to sleep, kidney problems (urine like root beer).",0,0,1,0,0
I was on a very high dose (80mg)as I had two heart attacks attributable to blockages.,0,0,0,0,1
"I've been on the drug 7 or 8 years, and have gone off before when leg pain began.",0,0,1,0,0
"Также капаю всей своей семье для профилактики, в холодное время года.",0,0,0,1,0
"прошло полтора месяца, колени побаливают до сих пор, загарать из-за поражения суставов нельзя год.",0,0,1,0,0
Very drowsy and tired and no pain relief at all.,0,0,1,0,0
"Даже процесс адаптации в начальной школе прошел благополучно, даже в эпидемии ребенок не болел.",1,0,0,0,0
"Было красное горло, и температура.",0,0,0,1,0
"Но, если заболеть посерьезнее, лично я как-то сомневаюсь в действенном лечении этим препаратом.",0,0,0,0,0
"severe muscle pain in hips, legs and ankles.",0,0,1,0,0
Palpatations .,0,0,1,0,0
"Weak legs, lack of concentration, slurred speach, loss of balance and loss of short term memory.",0,0,1,0,0
Horrific medication - Suffered an acute pancreatic attack with critical blood levels that almost caused my death.,0,0,1,0,0
Horrible leg pain.,0,0,1,0,0
"Stomach cramps, diarrhea, fatigue.",0,0,1,0,0
"Через какое то время, где то месяца через 2-3, ребенку надо было делать прививку, и часто болеющим детям прописываю свечи Виферона для укрепления иммунитета, и что бы прививочный период прошел хорошо.",0,0,0,1,0
"Но не забывайте, что в составе парацетамол, принимайте его с осторожность у кого есть гастрит или очень чувствительный желудок, запивайте его большим количеством воды!",0,0,0,0,1
"I would not risk taking this drug any longer, I feel like it changed my personality, from happy to a grouch, it is scary it did this so fast.",0,0,1,0,0
"I have low blood pressure, I do not have coronary artery disease, I am not a diabetic.",0,0,0,1,0
"feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt.",0,0,1,0,0
"Muscle pain in feet, shoulders, chest muscle, arms.",0,0,1,0,0
"Не могу сказать, что препарат помог нам, годовалой дочке пыталась дать и с водичкой, и просто, сразу воротило и рвало.",0,0,1,0,0
I went to my GP and the results of my blood test showed there was something wrong with my liver and I am a non-drinker.,0,0,1,0,0
Have stopped taking and immediatedly muscle/joint pain eased and sleeping much better.,0,0,1,0,0
My ordeal began with leg problems long before my bypass and any drugs were taken.,0,0,0,0,1
Unbelievable pain.,0,0,1,0,0
I'm convinced this drug will kill me before any possible heart disease!.,0,0,0,0,1
"У меня нос весь красный стал и шелушащийся, теперь обильно мажу жирным кремом.",0,0,0,1,0
"migraine almost daily, tintinitus,.",0,0,1,0,0
The aggitation is one of my biggest concerns.,0,0,1,0,0
Severe numbness in hand such that it wakes me out of my sleep.,0,0,1,0,0
"I am a medical transcriptionist and do a lot of typing, but my hands are so painful, I can hardly sleep at night.",0,0,1,0,0
My feet are now simultaneously numb and painful.,0,0,1,0,0
My left hip hurts and I can no longer sit crosslegged on the floor.,0,0,1,0,0
"Заболевание протекает менее выраженно, ребенок чувствует себя хорошо, не лежит весь день от усталости.",1,0,0,0,1
"Experienced severe muscle pains, cramps, sore leg joints which increased with raising of dose, walking more than a few hundred yards became difficult.",0,0,1,0,0
"Heavy, extended bleeding during menstruation.",0,0,1,0,0
"мало того, что не вылечила простуду, еще теперь от амизона лечиться надо Общее впечатление : ужас RATING 1 NOTE",0,0,0,1,0
"После 3-го укола сын начал проявлять интерес к повторению звуков, новые звуки появлялись, старые мог повторять по несколько раз, слов как таковых новых не произносил.",1,0,0,0,0
"I went off Lipitor and knees are fine, muscle pain dissapeared.",0,0,1,0,0
Also couldn't eat or drink for over a week which isn't pretty.,0,0,1,0,0
"Memory lapses, hip pains, skin itching sensations all over body,hair loss, depression and anxiety.",0,0,1,0,0
"И не было привыкания организма к постоянной иммунной ""подпитке"", иначе сам будет меньше бороться с инфекциями, свой собственный иммунитет развиваться не будет.",0,0,0,1,0
"То что рядовой обыватель именует ""герпесом"" - является вирусом второго типа.",0,0,0,1,0
"Muscle weakness,lack of concentration,joint pain,abnormal liver function, ( ? )",0,0,1,0,0
"Единственное преимущество - это приемлемая цена, по сравнению с другими снотворными препаратами "" Сондокс"" очень дешевый, но качество не очень уж.",0,0,0,0,0
Blood sugar and blood pressure both now elevated.,0,0,1,0,0
"within 24 hrs i was having direar, severe muscle aces, headace, collapades in the floor on the third day, called the dr, went back he did a liver test and took me off the medicane, but was still having symptoms, in 5 days i had blisters on my finger and palms of my hands, and on the soles of my feet, the blisters lasted 1 and a half years, my hands and feet would bleed, i saw another dr and he did tell me it was because of the lipitor, till this day i am still having problems, i still have muscle aces, memory loss, i don,t think my kidney,s are as good, i fell like my body is being attacked in different places in seems to come and go about every three weeks, i will have severe headaces, this has been 3 years ago, i think it did perment damage to me, some times i wonder when i am going to die, i forget things all the time, and even forgot how to get to the dr,s office once, i even forget my grandaughter name from time, im only 52 years of age, to young to have all this problems, iam so.",0,0,1,0,0
Из побочных действий у меня были головная боль и сонливость.,0,0,1,0,0
Покупал я этот препарат без рецепта в АПТЕКЕ за 250 руб(средняя цена на припараты такого рода).,0,0,0,0,0
"И главное, для нас, они не вызвали аллергию у дочки.",0,0,0,0,1
"muscle weakness in ankle, plantar muscle, back.",0,0,1,0,0
"Sudden, very severe urinary tract infections.",0,0,1,0,0
Still felt somewhat dizzy and sick the next day.,0,0,1,0,0
"walking was the worst,some weird toe tingling at times.",0,0,1,0,0
"Achilles peritendonitis and sore ankles, knees and fingers.",0,0,1,0,0
"Foggy, out-of-touch feelings and unable to concentrate.",0,0,1,0,0
"Полазила в интернете, у многих аллергия на них, поскольку в свечах содержится масло какао.",0,0,0,0,1
"Severe headache, joint and muscle pain, anorexia, extreme gas, memory loss, mood swings.",0,0,1,0,0
Но в отчаинии прочла побочки и вот она родная аллергическая реакция которая типа редко!,0,0,1,0,0
