human_label	predicted_label	class_confidence	doc_id	sent_id	text
INF	NEUTRAL	0.9966961	578508	4	Пробовала давать отдельно, как профилактику, съедают целую пачку, а толка никакого, а стоят не дёшево.
EF	INF	0.8081732	2443835	6	Не знаю, может быть, это было просто самовнушение, что я пила профилактический препарат, а может, действительно, "Эхинацея" сработала.
INF	NEUTRAL	0.97469294	2658215	2	Он то да, притупил основные симптомы гриппа, но бороться с ним мне пришлось все-таки с помощью антибиотика.
NEUTRAL	INF	0.99828076	591856	18	Выкинутые деньги и всё.
NEUTRAL	INF	0.98795843	653736	7	Результатов никаких!
NEUTRAL	EF	0.46179947	978728	1	Были проблемы со сном, как в последствии выяснилось причиной тому стал высокий холестерин, Скинув до нормы бесоницы больше нет.
EF	INF	0.99736303	656118	6	Не знаю совпадение это или препарат помог, пока ребенок его принимал в течение месяца вообще не болел.
INF	EF	0.8433279	592814	5	Начала его принимать совершенно здоровой, через 1,5 недели после приема заболела.
INF	EF	0.9966382	592814	6	Вот и вывод препарат по идее должен был уже начать действовать так как минимальный курс его приема составляет 1 неделю, а заболела я на 11 день после начала приема.
INF	EF	0.51095134	592814	7	Пропив 5 упаковок это примерно 500-600 рублей пять лет назад, я как болела, так и продолжала болеть.
EF	NEUTRAL	0.9949614	2516885	7	Выпив одну таблетку сон долго не заставляет себя ждать.
NEUTRAL	INF	0.59922785	2716232	3	С тех пор простуду лечу только им.
NEUTRAL	EF	0.99808145	2509783	1	У ребенка начался сильный насморк(нам было 2 месяца), спросила у подружки чем лечились, сказала что прописали свечи Виферон 500000 и промывание.
INF	NEUTRAL	0.9103407	2698684	14	Горло как было красное так и осталось.
NEUTRAL	EF	0.99632484	2385125	13	Вызывает сонливость в течении дня.
EF	INF	0.9940645	1097205	7	В целом, если хотите заснуть, то донор мил поможет, но последствия того не стоят!
EF	INF	0.99751955	2500754	2	Его посоветовала моя мама, мол хорошая вещь, и не вредит, и помогает.
EF	NEUTRAL	0.99816567	2500754	6	Тот случай, когда лечим, но не калечим.
EF	NEUTRAL	0.98807275	2489974	9	Перед сном просто отличное средство.
NEUTRAL	EF	0.9940795	650293	4	Ребенка так измучаем, что он уже боится всех процедур, связанных с носом.
NEUTRAL	INF	0.9949057	1058674	2	Конечно волшебного эффекта я от данного препарата не ждала, прочитала отзывы и инструкцию в интернете, в том числе и о побочных эффектах, но все-таки решила купить, тем более ранее у ребенка аллергии на лекарственные препараты не было.
EF	NEUTRAL	0.9147213	883078	2	Раньше довольно часто использовала данный препарат Положительное действие свечки видно сразу же.
NEUTRAL	EF	0.996336	883078	10	Это необходимо, чтобы такой явный положительный эффект сохранялся.
NEUTRAL	EF	0.98618615	2407176	1	В три года ребенок начал подхватывать инфекции очень часто.
EF	NEUTRAL	0.8031248	2446305	15	А как хороший эффективный препарат- "Гриппферон" советую применять.
NEUTRAL	EF	0.9398422	2446305	2	Конечно лучше его использовать как только почувствовали первые признаки недомогания.
INF	EF	0.99489415	806166	6	После принятия первой таблетки, мне показалось что какой то эффект есть, (наверное, сработало самовнушение), проснувшись на второй день поняла что мне стало еще хуже и болезнь продолжает набирать обороты.
NEUTRAL	EF	0.9922995	806166	2	Заболела достаточно сильно, а выздороветь хотелось как можно быстрее.
EF	NEUTRAL	0.9052343	2428518	10	Это средство дополняет основное лечение.
NEUTRAL	EF	0.5913547	2428518	2	Здесь нас выручает крем Evergetikon.
INF	EF	0.9963736	1263039	7	Пока проводилось лечение Вифероном, результата не ощущалось, как только врач назначил другое лекарство, улучшение наступило очень быстро.
NEUTRAL	EF	0.99796605	1263039	6	Но температура не спадала, сделали укол, стало лучше.
INF	EF	0.97071284	649988	7	Общее впечатление : Плохой препарат!
NEUTRAL	INF	0.99663097	815444	6	Ведь сейчас найти информацию и исследования препаратов не проблема, спасибо мед.
NEUTRAL	EF	0.9679378	811523	1	В последние годы простудные заболевания всё чаще и чаще проникают в мой организм.
NEUTRAL	EF	0.99819547	2465822	2	Так как это средство облегчает первые признаки боли в горле.
EF	INF	0.9958884	2546207	6	Нам отлично он подошел, никаких аллергических реакций(в побочых действиях написано, возможно ), прием через час после еды, или за час до еды.
NEUTRAL	INF	0.9961902	632718	1	Покупал при простуде - результатом не доволен.
EF	INF	0.98832184	655424	6	И температуры не стало!
EF	NEUTRAL	0.9967333	2424679	11	Нос конечно, еще мучает, но для него есть и другие лекарства, а то, что нет ломоты и температуры, я все могу делать-это плюс!
NEUTRAL	INF	0.9370831	1049528	8	Общее впечатление : не вызывает сонливости
INF	NEUTRAL	0.82038605	2502303	10	Цена приемлемая, ухудшений нет.
NEUTRAL	INF	0.9976331	2502303	4	Меня, почему-то эта ситуация сразу не насторожила, и я пошла таки в аптеку.
INF	NEUTRAL	0.9974438	252735	6	Когда мы в последний раз лежали в больнице, заведующий отделением сказал: "Анаферон- убогое средство, попробуй Назаферон."
EF	INF	0.6342445	252735	8	К моему удивлению уже 9 месяцев не болеем.
EF	INF	0.5230629	874652	7	На утро была как огурчик, но ослаблена.
EF	INF	0.99804497	874652	8	Ведь Антигриппин снимает только симптоматику, лечение ни кто не отменял.
NEUTRAL	EF	0.9980648	874652	6	Затем следующую таблетку выпила перед сном на ночь и тоже потела всю ночь.
NEUTRAL	INF	0.9975817	942403	2	Так как переплачивать за бренд (типа Зовиракс) не вижу смысла, при первых признаках "простуды" на губах беру крем ацикловир.
EF	NEUTRAL	0.9556765	2439506	2	Во время приёма препарата ребёнок не болел.
NEUTRAL	EF	0.9615506	2463217	3	С сыном стали заниматься дома развитием речи, а поскольку он у меня очень беспокойный, на месте практически не сидит, то стали принимать этот препарат, в надежде, что он станет поспокойнее.
EF	INF	0.99840194	609191	7	Сначала - эффекта никакого, на пятый день я действительно вроде поуспокоилась, но стала кружить голова, да так что в стороны заносило, с давлением появились проблемы.
INF	NEUTRAL	0.99833655	2502253	7	Вроде как по описаниям и действующему веществу эффект должен был быть, но увы... В инструкции так все расписано об эффективности препарата, вот она.
INF	EF	0.84424514	2502253	8	В общем эффект от приема таблеток- НУЛЕВОЙ.
EF	INF	0.9311563	2522797	6	Тут такого вкуса нет, но зато есть эффект.
NEUTRAL	EF	0.98663074	2522797	3	Прописал мне их врач, скачал принимать по 3 раза день после еды, со словами, что данный препарат весьма эффективен против больного горла.
EF	INF	0.55564976	875711	8	Через несколько дней от простуды не осталось и следа.
EF	INF	0.97557473	2657172	1	По своему личному опыту могу сказать, что препарат лишь купирует проявления простудного заболевания, избавляет от симптомов, но не вылечивает полностью.
NEUTRAL	EF	0.8294492	2412180	1	Я очень боюсь сквозняков, в результате которых у меня очень часто появляется простуда на губах и глазах.
INF	EF	0.9894359	588478	8	А вот муж, на 5 день заболел и заразил меня.
EF	INF	0.9912417	2436411	4	Давненько не болели серьёзно с температурой.
NEUTRAL	EF	0.9907815	2700413	3	Как и любой другой препарат он может хорошо подходить одним и совершенно не подходить другим.
INF	EF	0.9867873	273783	10	Может быть препарат действительно помогает, но я этого не поняла.
EF	NEUTRAL	0.9912354	2436921	5	Плюс капель, что они действуют комплексно, борются с причинами и устраняют симптомы.
NEUTRAL	EF	0.6423828	2445928	6	Цена кусается.
EF	NEUTRAL	0.99033177	624086	12	Общее впечатление : Помогает не хуже других лекарственных средств.
NEUTRAL	EF	0.99127567	624086	7	Конечно здоровье ребёнка важнее, но честно говоря, Анаферон ни чуть не хуже Кипферона.
EF	NEUTRAL	0.97966	610650	6	А если вовремя начать использовать Виферон, можно и совсем остановить болезнь.
INF	NEUTRAL	0.60010993	2403676	5	И вообще ничего не произошло.
INF	NEUTRAL	0.9728756	2460904	2	Сама бы я ему эту разрекламированную пустышку никогда не дала, но не догадалась спросить, чем именно его лечат, когда сообщил, что простыл, понадеялась на квалифицированный персонал, а зря.
INF	NEUTRAL	0.99256223	834566	4	На следующий день на неделю сел на больничный.
INF	NEUTRAL	0.99332315	834566	12	Снова сел на неделю на больничный.
INF	EF	0.9909304	2541096	4	Сколько уже даем его при каждой простуде, эффекта я от него не вижу, всегда болеем дней 5-7, а иногда и того больше!
INF	EF	0.98373634	944009	11	Общее впечатление : Курс прошёл,а горло так и болит...
INF	EF	0.5489232	818785	1	С этими таблетками знакома не понаслышке, ,моя родственница болеет психическим заболеванием, может по 3 дня не спать и по ночам ходить., перепробовав много снотворных помогло это., донормил не помогает при психическом расстройстве.
EF	INF	0.96366704	2670555	8	На вторые сутки уже ощущался эффект.
EF	INF	0.9769512	2670555	9	Я не сказала бы, что это было спокойствие, скорее собранность и более холодная рассудительность.
INF	EF	0.9790126	2696309	2	Второй день принимаю, легче не становится.
INF	EF	0.9502804	2660532	4	Курс приема всего 2 недели, сейчас ребенок послушный, больше стали с ним разговаривать, появилась усидчивость, больше стишков стал запоминать, и в садике стали хвалить.
NEUTRAL	EF	0.9450822	2660532	6	Всем подругам советую, если есть проблемы в воспитании детей.
EF	NEUTRAL	0.99255216	2734640	9	Ну и 3 месяца высыпаний не было.
INF	NEUTRAL	0.9809933	2734640	11	Но после сильного стресса в начале декабря герпес снова дал о себе знать.
INF	EF	0.990435	2734640	14	Вроди прекрасно, но через неделю опять рецидив.
NEUTRAL	EF	0.9619732	2734640	1	Подхватила генитальный герпес весной 2015.
EF	NEUTRAL	0.85085434	910944	5	Уже после пары иньекций сын начал с удовольствием заниматься, слушать стихи, раньше его было не заставить.
EF	NEUTRAL	0.905353	910944	7	Не развернутыми предложениями, конечно, но с каждым днем все лучше и лучше.
INF	NEUTRAL	0.9924608	2491980	6	стало только хуже.
EF	NEUTRAL	0.9072499	822853	2	Валтрекс мне понравился больше.
EF	INF	0.8045508	886333	4	Да, эффект был, кисты рассосались.
NEUTRAL	EF	0.9818379	2555494	10	Кроме того, во время и после его применения у ребенка резко снизился аппетит.
NEUTRAL	INF	0.9879467	265385	4	В общем сижу полный нос соплей в горле говня и смотрит на меня этот баллончик злощастный ( Общее впечатление : а меня не впечатлил
NEUTRAL	INF	0.9888958	2430254	6	Какие-либо неприятные ощущения при использовании отсутствуют, нет привычного чувства горечи.
EF	NEUTRAL	0.9729119	882854	23	Это обычная цена на такие свечи, но очень эффективные.
EF	NEUTRAL	0.9342185	2738039	13	Не значительно снять чувство тревоги.
EF	INF	0.8668586	824290	4	К моему удивлению он оказался нашим спасением!
INF	NEUTRAL	0.89631265	2438387	6	Так вот, после того, как одна свечка была использована, я почувствовала общее недомогание, еще хуже, чем было.
NEUTRAL	EF	0.9724147	2438387	7	Затем голова стала тяжелой, в животе было вздутие.
INF	EF	0.9919689	2388099	7	Когда к третьему дню я уже с дивана встать не мог, мама сильно удивилась, что мне не легче.
NEUTRAL	EF	0.7118015	2388099	5	Мол пей, дитя мое, по две таблетки три раза в день два дня, а потом еще два по таблетке тоже три раза в день.
NEUTRAL	INF	0.5977685	2399213	9	Я начинала с 15 капель, а потом пришлось пить уже 20 и больше... Мне такой эффект совсем не по душе.
INF	EF	0.9295733	589250	4	После первого брызга произошло чудо-наши сопельки исчезли, я подумала-надо же, какой чудо спрей, за одно применение сопли прошли... НО не тут то было... после второго брызга и последующих сопли начали литься в двойном обьеме, я в шоке, вместо того чтоб сопли прошли они начали течь еще намного больше... Ерунда в общем дорогая, и бестолковая... Больше никогда не куплюэтот препарат.
NEUTRAL	EF	0.9476882	589250	1	Дочка (1.2года) заболела, кашель, сопли желто-зеленые ручьем текут, только вытру, а они опять до рта дотекли... Вызвали врача, та там помимо кучи лекарств выписала ИРС 19... Пошла купила, дорогой, 450 рублей за него отдала, думала что раз такой дорогой, то точно должен вылечить мне дочку.
INF	EF	0.9907566	655105	6	Пришел ребенок со школы с вирусными признаками, а вскоре и заболел, заразил и младшего, но позвольте, где же результат лечения и профилактики препаратом Анаферон?!
EF	INF	0.9631697	2542614	6	действие правда через недельку видно, но нам понравилось!
EF	NEUTRAL	0.99340457	2451285	7	Благодаря кагоцелу ходим в садик не болеем.
INF	EF	0.9910682	593383	4	Пила я из пила, и что ого сказать, на вкус приятно, быстро растворяются, но делают ли что то, я так и не заметила.
INF	NEUTRAL	0.982556	593383	6	Пила пила и ничего опять.
NEUTRAL	EF	0.9980477	593383	5	Второй раз я пробовала их во время сессии, надеялась что помогут справится с волнением, ну и конечно что на улучшение деятельности мозга, во время экзаменов, это как никогда кстати.
EF	NEUTRAL	0.9981901	618967	11	Покрейней мере свечи считаются безопасными и ими можно лечить орви у грудничков.
NEUTRAL	EF	0.9309921	618967	4	Это был кошмар и мучение.
NEUTRAL	EF	0.60088676	2695134	3	Ребенка я тогда из простуды вытянула буквально за неделю, но списала все на вовремя и грамотно начатое лечение.
EF	NEUTRAL	0.9843172	594103	2	Не дает подняться температуре.
NEUTRAL	EF	0.9975032	594103	3	Но на второй день- сыпь по всему телу.
NEUTRAL	INF	0.8833597	652119	11	Я 3 дня не могла особо ничего делать.
NEUTRAL	INF	0.92171293	884467	9	Уже месяц всей семьей мажутся, и пока никто из них не болел.
NEUTRAL	EF	0.88273436	2491250	3	Начали мучить сердцебиения, раздражительность, плаксивость, бессонница.
INF	EF	0.99756926	2537356	5	И каково было мое разочарование, когда лечила я герпес около 10 дней.
NEUTRAL	EF	0.998398	2671902	1	Ну что я могу сказать, хорошее но слабоватое средство.
NEUTRAL	EF	0.9980636	108315	5	Но сон ужасный, утром просыпаешься, а состояние у тебя как будто ты не только ночь не спала, а еще усиленно работала.
NEUTRAL	EF	0.98086345	2408295	1	"Назаваль ПЛЮС" - это хорошо разрекламированный способ защиты от ОРВИ, барьерный.
INF	EF	0.9981724	609507	16	Наверно пошло привыкание к препарату и он мне перестал помогать.
INF	EF	0.7438644	800450	4	мне так плохо было от них голова просто взрывалось, недомогание, усиление головокружение я думала умру!
EF	INF	0.9968714	800450	5	( Вечером выпила но-шпа как все прошло, пью два дня у меня не кружится голова и не болит)))если бы не но-шпа я не знаю что было со мной!
INF	EF	0.9920746	2384638	2	Но на ход болезни это никак не влияло, болезнь шла своим чередом вначале обострение, потом улучшение и в целом проходило недели полторы пока дочка выздоровит.
NEUTRAL	INF	0.9959175	2384638	5	Когда ребенок пошел в садик и начал часто болеть дали афлубину еще один шанс, но результата так и не увидели.
NEUTRAL	INF	0.99688596	2497493	6	На вкус она не противная, ребёнок его съедает спокойно не морщится.
INF	EF	0.9980445	2653333	5	Толком не расслабляет, сплю плохо, но при этом появилась дикая раздражительность, агрессия, и такое чувство, как будто я выпил несколько банок энергетика и меня "прет", то есть чрезмерная активность, раздражает каждый звук.
NEUTRAL	EF	0.9980336	2653333	4	А вот в следующий раз (прошло примерно полгода или чуть больше) во время обострения гастродуоденита препарат действует совсем по-другому.
EF	INF	0.99676585	2673128	6	На протяжении трех дней мне стало заметно легче, но простудные признаки не отсупали.
INF	NEUTRAL	0.99799806	2673128	11	Поэтому рекомендовать его не буду.
INF	EF	0.5810733	2534526	3	Что ж, я купила и оказалась разочарованной.
INF	NEUTRAL	0.99785835	2534526	9	Если учитывать, что это не самое бюджетное решение, то я не готова рекомендовать препарат своим друзьям и знакомым.
NEUTRAL	INF	0.9979518	2534526	7	А вот в плане успокоения - не скажу, что не было эффекта.
EF	NEUTRAL	0.9949315	2543301	5	Хотя ребенок перестал жаловаться на то, что иногда сводит ногу.
NEUTRAL	EF	0.6966761	2543301	2	Делюсь своим мнением о эффективности препарата Трентал 400 мг, 20 таблеток Данный препарат был назначен моему взрослому ребенку, который получил травму руки, по этой причине функциональность была нарушена, задеты нервные окончания, кисти и стопы часто были холодными.
EF	INF	0.9134861	916237	2	Я уже точно знаю, что если успеть при первых признаках заболевания принять порошочек, то с большей вероятностью заболеть не получиться!
NEUTRAL	EF	0.9981431	1111461	6	Общее впечатление : Помог с речью,но потом побочный эффект был!
EF	NEUTRAL	0.99815315	916205	13	Домой приехал даже почти здоровым.
NEUTRAL	INF	0.99767905	916205	12	Больше ничего и не надо было.
INF	EF	0.9982766	3188437	6	Что ж, врачам, наверно, стоит верить, в особенности докторам наук ) Но, ситуация отечности носа усугублялась и чувствовала себя мелким гнусавым слоненком.
INF	EF	0.9969982	942554	3	Температура сохраняется, сопли ручьем, горло режет ножами, голова раскалывается.
NEUTRAL	INF	0.9976768	942554	1	Начала пить с первых симптомов заболевания строго по инструкции, но толку ни какого!!!
NEUTRAL	INF	0.9977214	1068061	7	Больше экспериментировать я не стала.
INF	EF	0.9980394	2427129	3	Не очень приятные на вкус, но, на следующий вечер процедуру повторила, тот же эффект.
EF	NEUTRAL	0.9904303	2818054	4	А именно грип и ангина (ОРЗ) прошли после приёма Лавомакса, но потом ВЫСЫПАЛО сыпь, о которой я написала выше .
NEUTRAL	EF	0.9909504	2818054	7	Лавомакс опасен для жизни!!
EF	NEUTRAL	0.947169	271761	5	При простуде очень действенно, особенно на её начальной стадии.
NEUTRAL	EF	0.95054907	2390747	5	Вот тебе и разница, дороже не значит лучше.
EF	INF	0.9951846	2407197	5	Но все же, даже не смотря на то, что мы не закончили курс лечения (8 недель), хочу отметить, что изменения к лучшему произошли, это точно.
NEUTRAL	EF	0.9975926	64509	8	А вообще, конечно, при любых расстройствах лучше обратиться к врачу, вот он и назначит то, что наверняка поможет.
EF	NEUTRAL	0.9973246	2527424	3	В результае вылечили ребенку сильную заложенность носа синупретом и пришлось антибиотик давать т. к. насморк оказался бактериальный.
NEUTRAL	EF	0.9979031	2527424	2	слишком сильный муколитический эффект, препарат всасывается в кровь, не травите детей и не тратьте деньги.
INF	EF	0.99560106	828556	4	Выпила вторую таблетку, как прописано через сутки-На меня сразу напали все болезни мира-Глаза изнутри выдавливало, кашель сорвал всё горло, я себя буквально по частям отрывала от дивана, что бы подняться, лицо отекло, слабость ужасная.
NEUTRAL	INF	0.99599993	643275	5	Мы уже измучились с этими болезнями!
NEUTRAL	EF	0.9948376	2710914	5	Очень сильно пахнет спиртом.
INF	NEUTRAL	0.9979207	2410173	7	Потом все таки озноб, боли в горле и носовых пазухах возвращаются.
EF	INF	0.99448884	953794	11	Общее впечатление : Отличный иммуномодулятор!
NEUTRAL	EF	0.9557408	953794	4	Остались очень довольны.
NEUTRAL	EF	0.9346297	2533836	4	Препарат Анаферон нужно давать как можно раньше, когда ребенок только начал болеть.
INF	NEUTRAL	0.99582005	810713	12	Поэтому я решила что пользы он него нет.
EF	NEUTRAL	0.9867932	1086939	13	Выделения прекратились.
NEUTRAL	INF	0.97850204	1086939	4	Видимо, в такой степени не было.
EF	NEUTRAL	0.98032516	2653511	2	Первым было Аллокин проколола 3 укола и на 6 месяцев про герпес забыла.
NEUTRAL	INF	0.994941	87095	3	Кстати, от пустырника такого побочного действия я не наблюдала, поэтому иногда принимаю на ночь его.
EF	INF	0.96151215	877405	6	Через три дня, когда насморк усилился, аквалор уже не стал справляться с вымыванием сопелек.
NEUTRAL	EF	0.99680126	877405	10	Общее впечатление : хорошее средство для ежедневного использования RATING 3 NOTE
EF	NEUTRAL	0.9887277	2689254	5	Невролог отметил улучшения после лечения.
NEUTRAL	INF	0.99762964	792635	3	И мои руки не успевали заживать.
INF	EF	0.98830146	641485	6	Препарат только на один раз, организму он поможет, но дальше смысла нет деньги палить впустую.
EF	NEUTRAL	0.99235535	594839	1	Добрый день, начали у меня проблемы со сном, около месяца мучилась не могла долго заснуть, если с трудом засыпала то проснувшись часа в 3-4 ночи уже не засыпала., решила сходить к врачу, порекомендовал вот это лекарство, в аптеке строго потребовали рецепт, прочитав нотацию, там столько было написано побочных явлений, как и в любом другом препарате, Ну вот при наступление ночи, выпила я свою назначенную дозу препарата, и уснула, впервые за месяц я уснула в течение как мне показалось 10-18 минут.
NEUTRAL	EF	0.9380455	594839	4	пришлось их бросить, хоть с начало все так хорошо начиналось.
INF	NEUTRAL	0.98171943	2440528	7	Очень удобны, всегда под рукой, не нужно воды для их приёма, но результата нет.
NEUTRAL	EF	0.99683136	2685800	5	Если примешь корвалол, запах сразу распространяется по всему помещению.
EF	INF	0.9105229	2547762	8	к счастью, никаких клещевых инфекций у нас не было обнаружено.
NEUTRAL	EF	0.9984658	2414358	2	В начале приёма препарат вызвал резкое повышение температуры, видимо произошла активизация организма на борьбу с вирусом.
EF	INF	0.96083504	2523468	3	Так вот матирующего эффекта я не заметила, и сам герпес у меня прошел примерно за неделю.
EF	NEUTRAL	0.9983677	612471	2	Эффект положительный, принимали по схеме указанной в инструкции.
EF	NEUTRAL	0.9952128	2671137	6	Попробовала и поняла, что по эффективности Грипоцетрон Хот Лимон абсолютно не уступает дорогим аналогам.
INF	NEUTRAL	0.9983083	929986	11	сна не в одном глазу.
INF	NEUTRAL	0.9968389	929986	12	очередная бессонная ночь.
INF	NEUTRAL	0.96212286	929986	16	бесполезно!!!
NEUTRAL	EF	0.9955721	907319	10	Таблетки выпил и пошел.
NEUTRAL	EF	0.99799997	811769	1	Являясь ноотропным средством, Пирацетам, оказывает положительное влияние на обменные процессы мозга.
INF	EF	0.99850094	2733509	11	Оно еще больше стало раздраженным.
INF	NEUTRAL	0.9981863	2522205	7	Возможно препарат накопительный, буду ожидать действия, но пока только выброшенные деньги.
NEUTRAL	INF	0.9946485	2522205	8	Рекомендовать не могу, так как не получила желаемого результата.
INF	EF	0.99819607	644737	10	Капали мы 3 дня по 5 раз на день, а уже на четвертый день у нас появилась температура и кашель.
NEUTRAL	EF	0.99527586	644737	1	В холодную пору года противовирусные препараты являются большой необходимостью.
INF	EF	0.99828464	151880	7	У ОБЕИХ: до 3х ни в одном глазу, примерно в 2 ночи началось сильное сердцебиение и лихорадка, к 5 ночи удалось заснуть, но было ощущение, что в полусне и были жуткие кошмары.
