human_label	predicted_label	class_confidence	doc_id	sent_id	text
EF	NEUTRAL	0.9777892	2445498	16	А так очень замечательное средство, которое назначают и маленьким деткам.
INF	NEUTRAL	0.99285674	936675	9	Я говорю, что не действует, а они все равно выписывают.
NEUTRAL	EF	0.9989053	936675	2	К тому же, за то время, что средство в продаже, цена его медленно, но уверенно ползла вверх и выросла в 3 раза (с 7 грн.
NEUTRAL	EF	0.9970548	590646	6	Общее впечатление : Не особо хорош препарат, слабый для часто болеющих детей RATING 4 NOTE
NEUTRAL	EF	0.99796283	246591	2	Для облегчения симптомов принимала пакетики Антигриппина.
EF	NEUTRAL	0.999258	656346	5	Незаменимый препарат, когда болеть некогда, необходимо идти на работу, если у тебя нет права на больничный.
INF	NEUTRAL	0.78498155	591900	6	Я тоже пострадала от укусов комаров летом, тоже мазалась и тоже как чесалась так и чесалась.
EF	INF	0.9985347	832817	8	Правда, осталась еще маленькая ранка, но зато губу не раздуло, не разнесло, дальше герпес не пошел.
NEUTRAL	INF	0.8235068	832817	4	А вот однажды у меня опять появился герпес и снова тогда когда я переболела респираторной вирусной инфекцией.
INF	NEUTRAL	0.99348927	905423	7	Общее впечатление : И лечились и профилактика фигня!
NEUTRAL	INF	0.99821717	905423	1	Нам первый раз прописывала его врач при ОРВИ, давала его неделю, результата никакого, потом пошли в больницу и нам выписали другие препараты.
NEUTRAL	INF	0.958678	578508	9	Общее впечатление : никакое RATING 3 NOTE
NEUTRAL	EF	0.99852645	2443835	3	Они, конечно дороже, чем отечественные аналоги, но, я думаю, качество немного лучше.
NEUTRAL	EF	0.9987424	264987	13	Общее впечатление : Единственное,что мне помогает
NEUTRAL	INF	0.997678	618094	1	Первый раз столкнулся с препаратом когда лечили бабушку, уже довольно пожилая и возможно по-старости ее последнее время беспокоила гипертония.
INF	EF	0.98260814	2385506	7	Удручен настолько, что решил вот даже написать комментарий, потому что между помогает медленно и не помогает вообще – пропасть, включившая в себя испорченные выходные, в которые я планировал никак не валяться, обсиженным вирусами, а вовсе даже прекрасно проводить время.
INF	EF	0.9892351	2658215	2	Он то да, притупил основные симптомы гриппа, но бороться с ним мне пришлось все-таки с помощью антибиотика.
NEUTRAL	EF	0.998235	591856	8	Врач сказал, что это "чудо лекарство" поможет от всего.
NEUTRAL	EF	0.9985507	653736	1	Когда старшая дочка ходила в детский сад, то болела очень часто и поэтому после лета, в преддверии осенних простуд решила пропоить ее Анафероном, в качестве профилактики, так как на тот момент еще не успела она заболеть.
INF	EF	0.9905696	978728	3	непроизвольно, процесс засыпания с лекарством, то уснуть не смогу вообще!
INF	NEUTRAL	0.99882	2428403	5	Теперь это псевдолекарство обхожу стороной, толку ноль от него.
INF	EF	0.61486846	2537351	5	Как были проблемы со сном так и остались.
INF	EF	0.997577	592814	5	Начала его принимать совершенно здоровой, через 1,5 недели после приема заболела.
INF	EF	0.9979074	592814	6	Вот и вывод препарат по идее должен был уже начать действовать так как минимальный курс его приема составляет 1 неделю, а заболела я на 11 день после начала приема.
INF	EF	0.99696964	592814	7	Пропив 5 упаковок это примерно 500-600 рублей пять лет назад, я как болела, так и продолжала болеть.
NEUTRAL	EF	0.99832827	592814	3	В месяц по нескольку раз причем со всеми вытекающими симптомами : кашель, боль горле, насморк.
EF	INF	0.996323	2516885	7	Выпив одну таблетку сон долго не заставляет себя ждать.
NEUTRAL	EF	0.9984693	2516885	5	Мне иногда бывает трудно уснуть после тяжелого дня или стресса.
NEUTRAL	EF	0.9987519	2659756	4	Горло болит, температура выше 38.
EF	NEUTRAL	0.99869764	2716232	3	С тех пор простуду лечу только им.
NEUTRAL	EF	0.9983981	2716232	8	Вот только беременным и кормящим мамам он противопоказан и этот факт меня очень расстроил когда я заболела в период кормления грудью, пришлось подбирать другой препарат.
EF	INF	0.96002036	2551970	4	где-то, уже точно не помню даже, но помогает хорошо.
NEUTRAL	EF	0.90063316	2551970	2	Хочу поделиться своим впечатлением валерианы, которую не так давно мне пришлось пить каждый день на работе, нервы настолько мне сорвали, что только валерьянку пить и оставалось.
NEUTRAL	INF	0.9972006	2503806	1	Если высокая температура не сбивается, то как правило скорая колет литическую смесь.
EF	NEUTRAL	0.9989905	2509783	6	Рекомендую эти свечи, только желательно проходить курс полностью, т. е. использовать все 10 штук-это всего 5 дней.
NEUTRAL	INF	0.998125	2509783	2	Никогда до этого ни чем подобным не пользовалась.
INF	EF	0.967443	2698684	12	Насморк не прошел.
INF	EF	0.99877506	2698684	14	Горло как было красное так и осталось.
EF	INF	0.99803907	1097205	7	В целом, если хотите заснуть, то донор мил поможет, но последствия того не стоят!
EF	INF	0.9982843	1400882	7	Третью я пить не стала - помогла вторая.
NEUTRAL	EF	0.9929803	934850	5	Но потом педиатр уточнила, что принимать его нужно строго по схеме.
NEUTRAL	EF	0.9986212	883078	10	Это необходимо, чтобы такой явный положительный эффект сохранялся.
INF	EF	0.9987929	806166	6	После принятия первой таблетки, мне показалось что какой то эффект есть, (наверное, сработало самовнушение), проснувшись на второй день поняла что мне стало еще хуже и болезнь продолжает набирать обороты.
NEUTRAL	EF	0.9970119	806166	7	То же самое было и на следующий день и через день.
EF	INF	0.99794763	1263039	6	Но температура не спадала, сделали укол, стало лучше.
NEUTRAL	EF	0.9987463	1263039	3	На утро, ребёнок проснулся весь горячий, кричал, температура была 38.
INF	EF	0.99805355	815444	13	Стоит недешево, а эффекта - ноль.
NEUTRAL	EF	0.9983199	814053	9	Общее впечатление : Даже удивительно, что растения могут так помогать RATING 4 NOTE
NEUTRAL	EF	0.9986369	910656	2	Очень хороша во время эпидемий, если использовать перед выходом из дома, нанося защитный слой в пазухах носа.
NEUTRAL	INF	0.9977303	2465822	7	Но прочитав инструкцию я ужаснулась, столько побочек!
EF	INF	0.99440324	655424	6	И температуры не стало!
NEUTRAL	INF	0.99767774	2424679	3	Вечером почувствовала недомогание:нос потек, знобило, тело ломило.
NEUTRAL	EF	0.99805164	1049528	2	После рождения ребенка, от постоянного недосыпа и переутомляемости, я начала постоянно срываться и кричать на своих близких.
EF	INF	0.99819666	874652	8	Ведь Антигриппин снимает только симптоматику, лечение ни кто не отменял.
EF	INF	0.99823546	609191	7	Сначала - эффекта никакого, на пятый день я действительно вроде поуспокоилась, но стала кружить голова, да так что в стороны заносило, с давлением появились проблемы.
EF	NEUTRAL	0.6660799	2450361	9	Я эту мазь наношу как только почувствую небольшую слабость, и на утро мне намного лучше.
NEUTRAL	INF	0.9969453	2684706	2	В общем то у сына эффект получился противоположный, он стал активный, возбужденный, беспокойный, плаксивый, ну или это опять таки сработало мое самовнушение.
INF	EF	0.9977106	755139	9	Помог ли от бессоницы - Нет!
NEUTRAL	EF	0.998176	2522797	3	Прописал мне их врач, скачал принимать по 3 раза день после еды, со словами, что данный препарат весьма эффективен против больного горла.
NEUTRAL	EF	0.9984642	255563	10	Советую попробовать всем родителям, чьи детки часто болеют.
NEUTRAL	EF	0.99488384	613806	3	Раньше покупала Интэрферон, но очень не удобно разводить, потом с пепеткой бегать, а тут удобный дозатор, да и срок годности дольше.
EF	INF	0.9928907	875711	8	Через несколько дней от простуды не осталось и следа.
NEUTRAL	EF	0.99421424	875711	9	Важно отметить, что как и прочие лекарства, нужно пропить весь курс целиком.
NEUTRAL	EF	0.7085327	2657172	2	У меня развился затяжной бронхит, так как я считал, что поправился, а на деле лишь сбил симптомы и заболел сильнее по новой спустя лишь пару дней после казавшегося излечения.
EF	INF	0.7965056	2412180	5	Мне хватает при появлении болячек попринимать таблетки 2 дня как от герпеса не остается и следа.
NEUTRAL	EF	0.9576701	2412180	3	Поэтому пролечившись курс можно следующих 7-8 месяцев жить нормально не переживая за сквозняки и вирусы.
EF	INF	0.9833815	2436411	4	Давненько не болели серьёзно с температурой.
NEUTRAL	EF	0.9851246	2700413	6	Специфический запах как у всех капель конечно же присутствует, если не разбавить немного водой можно обжечь слизистые, с этим надо осторожно.
INF	EF	0.9485068	273783	7	Но ребенок заболевал не зависимо от того принимали мы Анаферон или нет.
INF	EF	0.61805254	273783	10	Может быть препарат действительно помогает, но я этого не поняла.
NEUTRAL	EF	0.88794345	2436921	2	Уже два курса прошел, в том числе методом электрофореза.
EF	INF	0.5955349	822352	4	Засыпал лучше, чем обычно, истерики постепенно сошли на нет.
INF	NEUTRAL	0.99412125	2460904	2	Сама бы я ему эту разрекламированную пустышку никогда не дала, но не догадалась спросить, чем именно его лечат, когда сообщил, что простыл, понадеялась на квалифицированный персонал, а зря.
INF	EF	0.98570806	944009	11	Общее впечатление : Курс прошёл,а горло так и болит...
INF	NEUTRAL	0.9835324	588785	6	В серии препаратов Фенистил Пенцивир довольно много препаратов, но крем-совсем бездейственный.
NEUTRAL	EF	0.9958859	588785	2	Мне его так преподнесли, что думал реально крутой крем, рассказала мне, что куча людей его берут и всем помогает.
EF	NEUTRAL	0.9886154	818785	6	Общее впечатление : Азалептин, хорошое снатворное для людей страдающих бессоницей,и психическими заболеваниями.
EF	NEUTRAL	0.99275935	2670555	9	Я не сказала бы, что это было спокойствие, скорее собранность и более холодная рассудительность.
NEUTRAL	EF	0.7474764	2670555	8	На вторые сутки уже ощущался эффект.
INF	EF	0.95893675	2696309	2	Второй день принимаю, легче не становится.
EF	NEUTRAL	0.58015865	2734640	9	Ну и 3 месяца высыпаний не было.
INF	EF	0.87376547	2734640	14	Вроди прекрасно, но через неделю опять рецидив.
NEUTRAL	EF	0.96374613	2734640	5	Рецыдив появился в начале и в конце месяца (это 2разы уже при приёме).
NEUTRAL	EF	0.9941671	2491980	6	стало только хуже.
NEUTRAL	INF	0.9826769	2395998	3	Хотя в состав препарата входит парацетамол с кофеином, вроде неплохое средство... Но всё зависит от конкретного случая.
INF	NEUTRAL	0.9841669	2533930	4	И как и ожидалось толку от него ни какого.
NEUTRAL	EF	0.9952231	2533930	7	Зато сладкий и дочке нравиться, бегает и просит амизон.
EF	INF	0.98678035	886333	4	Да, эффект был, кисты рассосались.
INF	NEUTRAL	0.9961898	886333	9	Сказать, что толку не было - не сказать ничего.
INF	NEUTRAL	0.99650997	265385	4	В общем сижу полный нос соплей в горле говня и смотрит на меня этот баллончик злощастный ( Общее впечатление : а меня не впечатлил
NEUTRAL	EF	0.9629686	265385	3	А если и чудо образом проникает в глубь носа, то в горле появляется наипротивнейший.
NEUTRAL	EF	0.9545728	2421166	6	Почему я так предполагаю, а потому что для детского носика на тюбике пипетка не подходит однозначно, она слишком толстая, и без того малыш вырывается, а такой пипеткой просто не попасть, тем более очень сложно отсчитать нужное колличество капель, обычной отдельной пипеткой тоже затруднено, так как придется вскрывать флакон и его потом ни как не закроешь
NEUTRAL	INF	0.9939079	2430254	6	Какие-либо неприятные ощущения при использовании отсутствуют, нет привычного чувства горечи.
EF	INF	0.6014198	2738039	13	Не значительно снять чувство тревоги.
EF	INF	0.9010262	882269	8	Так вот, тогда я пила Анаферон для профилактики всю зиму кажется даже ни разу не заболела тогда.
INF	EF	0.99422824	2438387	6	Так вот, после того, как одна свечка была использована, я почувствовала общее недомогание, еще хуже, чем было.
NEUTRAL	EF	0.86159456	1730783	2	Якобы это поможет избежать постоянных болезней.
INF	EF	0.9952141	2388099	7	Когда к третьему дню я уже с дивана встать не мог, мама сильно удивилась, что мне не легче.
INF	EF	0.9941543	76765	5	Стало не то, что лучше и спокойней, а наоборот все бесило.
NEUTRAL	INF	0.9786401	76765	12	Я не хочу сказать, что это плохое средство, но мне оно категорически противопоказано.
EF	INF	0.966284	2662915	7	Так что в моем случае препарат оказался эффективным, результатом я довольна.
INF	NEUTRAL	0.71901286	2418485	7	Мне кажется, что он самый бесполезный из опробованных нами противовирусных препаратов (виферон, кипферон, эргоферон).
NEUTRAL	INF	0.88947606	2399213	9	Я начинала с 15 капель, а потом пришлось пить уже 20 и больше... Мне такой эффект совсем не по душе.
INF	EF	0.8111107	646265	6	Начала принимать по инструкции, но улучшения через сутки никакого не настало, стало только хуже.
INF	EF	0.94554	589250	4	После первого брызга произошло чудо-наши сопельки исчезли, я подумала-надо же, какой чудо спрей, за одно применение сопли прошли... НО не тут то было... после второго брызга и последующих сопли начали литься в двойном обьеме, я в шоке, вместо того чтоб сопли прошли они начали течь еще намного больше... Ерунда в общем дорогая, и бестолковая... Больше никогда не куплюэтот препарат.
NEUTRAL	EF	0.91277164	589250	1	Дочка (1.2года) заболела, кашель, сопли желто-зеленые ручьем текут, только вытру, а они опять до рта дотекли... Вызвали врача, та там помимо кучи лекарств выписала ИРС 19... Пошла купила, дорогой, 450 рублей за него отдала, думала что раз такой дорогой, то точно должен вылечить мне дочку.
EF	INF	0.974207	2514396	4	Таблетки в течении трех дней оказали очень хорошее, впечатляющее действие, чего я от них первоначально никак не ожидала.
INF	EF	0.99485683	655105	6	Пришел ребенок со школы с вирусными признаками, а вскоре и заболел, заразил и младшего, но позвольте, где же результат лечения и профилактики препаратом Анаферон?!
NEUTRAL	EF	0.9837853	655105	1	Анаферон уже стал очень популярным препаратом для всех у кого есть маленькие дети.
EF	NEUTRAL	0.9316896	2542614	6	действие правда через недельку видно, но нам понравилось!
NEUTRAL	EF	0.9952518	2542614	2	испробывали много разных средств, но т. к. сейчас по ценам особо не разгонишься, неного начали сами вникать и выискивать, что же всё таки пропить ребёнку.
EF	INF	0.91769975	2695134	6	была удивлена что моя простуда прошла к концу 4-х суток, при этом пропал извечный насморк, который так и не успел развиться в полноценный гайморит (как обычно).
NEUTRAL	EF	0.9607158	2695134	7	Неделю назад снова началась старая песня, но я уже как опытный болящий, в первую очередь купила кагоцел и по сути спаслась ним одним (витамины и чаи не в счет).
EF	INF	0.9926783	594103	2	Не дает подняться температуре.
EF	NEUTRAL	0.9946115	884467	11	Общее впечатление : Похоже, и правда помогает от вирусов RATING 3 NOTE
NEUTRAL	INF	0.9971342	884467	6	Среднего даже с садика сняли, невозможно просто.
EF	NEUTRAL	0.9988953	893239	11	А карандаш для ингаляций очень удобный: и небольшой тоже по размеру, и понюхал, нос пробило.
INF	EF	0.85321414	2537356	5	И каково было мое разочарование, когда лечила я герпес около 10 дней.
NEUTRAL	EF	0.99364364	2537356	2	К сожалению полностью избавиться от нее невозможно, поэтому борюсь как могу.
INF	EF	0.9993886	609507	16	Наверно пошло привыкание к препарату и он мне перестал помогать.
EF	INF	0.99903643	800450	5	( Вечером выпила но-шпа как все прошло, пью два дня у меня не кружится голова и не болит)))если бы не но-шпа я не знаю что было со мной!
INF	EF	0.9947935	2653333	5	Толком не расслабляет, сплю плохо, но при этом появилась дикая раздражительность, агрессия, и такое чувство, как будто я выпил несколько банок энергетика и меня "прет", то есть чрезмерная активность, раздражает каждый звук.
NEUTRAL	EF	0.6308763	2653333	1	В первый раз мне его выписали как вспомогательный (успокаивающее средство при лечении гастродуоденита).
NEUTRAL	EF	0.9992742	646909	3	Поэтому я очень довольна, теперь всегда этот спрей буду брать при затяжном насморке.
EF	INF	0.9941081	612803	5	Первый раз когда я заболела и начала его принимать в 2011 году, мне в принципе хватило одной таблетке, почувствовав симптомы простуды я выпила таблетку и на следующий день симптомов уже не было, но я все равно пропила курс как положено.
NEUTRAL	EF	0.99901724	612803	1	Лавомакс применяется как противовирусное и иммуномоделирующее средство.
EF	INF	0.99907553	2534526	7	А вот в плане успокоения - не скажу, что не было эффекта.
INF	EF	0.99934345	2551330	7	Головокружение вернулось и оно стало сильнее чем было, головная боль появилась, давление на месте не стояло.
EF	NEUTRAL	0.90610754	916237	2	Я уже точно знаю, что если успеть при первых признаках заболевания принять порошочек, то с большей вероятностью заболеть не получиться!
NEUTRAL	EF	0.95743304	2390194	6	Конечно эта мазь не панацея, но как говорится на войне все средства хороши, в данном случае война с микробами.
INF	EF	0.72450155	3188437	4	Я сразу заметила, что с препарат мне не подходит - появилась сильная отечность и заложенность носа.
INF	EF	0.9991565	3188437	6	Что ж, врачам, наверно, стоит верить, в особенности докторам наук ) Но, ситуация отечности носа усугублялась и чувствовала себя мелким гнусавым слоненком.
NEUTRAL	EF	0.5619901	3188437	11	Интересно, до какой степени Полиоксидоний разбодяжен сейчас.
INF	EF	0.99846256	942554	3	Температура сохраняется, сопли ручьем, горло режет ножами, голова раскалывается.
NEUTRAL	INF	0.99908316	942554	1	Начала пить с первых симптомов заболевания строго по инструкции, но толку ни какого!!!
NEUTRAL	EF	0.9897193	271739	4	Иногда всё вместе и сразу.
INF	EF	0.99066025	2427129	2	По инструкции сделала, как написано, расслабилась, и жду... жду... сон не спешит ко мне... настроение спокойное... пролежала, заснула поздно.
INF	EF	0.9570905	2427129	5	Все повторилось, никакого спокойного обволакивающего засыпания.
EF	NEUTRAL	0.9956053	2755968	2	Знаю лично людей, которые лечились этим препаратом и успешно избавились от гепатита с. Чтобы лечение было эффективным к этому лекарству еще назначают таблетки рибавирин.
INF	EF	0.9993585	2550136	8	Этим средством температуру ребенку я сбить не смогла.
EF	NEUTRAL	0.9988538	2818054	4	А именно грип и ангина (ОРЗ) прошли после приёма Лавомакса, но потом ВЫСЫПАЛО сыпь, о которой я написала выше .
NEUTRAL	EF	0.9993789	271761	12	Ещё есть побочный эффект - нарушение сна, сонливость.
INF	EF	0.99937505	895731	6	Общее впечатление : Амиксин дорогое, неэффективное средство с эффективным побочным действием
EF	INF	0.8708554	2407197	5	Но все же, даже не смотря на то, что мы не закончили курс лечения (8 недель), хочу отметить, что изменения к лучшему произошли, это точно.
NEUTRAL	EF	0.99863726	647288	1	Настойка валерианы предназначена, как указано в инструкции, для уменьшения процессов возбуждения в центральной нервной системе.
NEUTRAL	EF	0.999385	2527424	2	слишком сильный муколитический эффект, препарат всасывается в кровь, не травите детей и не тратьте деньги.
INF	EF	0.9285774	828556	4	Выпила вторую таблетку, как прописано через сутки-На меня сразу напали все болезни мира-Глаза изнутри выдавливало, кашель сорвал всё горло, я себя буквально по частям отрывала от дивана, что бы подняться, лицо отекло, слабость ужасная.
NEUTRAL	INF	0.66525817	828556	3	По истечении 24часов стало полегче-думала болезнь пошла на спад... АГА!
NEUTRAL	EF	0.89518774	643275	2	От больного горла сразу начинается трахеит.
NEUTRAL	EF	0.99904734	2710914	4	Да и вкус и запах очень противны.
INF	NEUTRAL	0.999008	2410173	7	Потом все таки озноб, боли в горле и носовых пазухах возвращаются.
EF	INF	0.9989472	616736	4	Мне понравился Донормил тем, что он не вызывает привыкания, сонливости на весь день, человек избавляется от бессонницы и днём прекрасно себя чувствует.
EF	INF	0.9912101	616736	8	Общее впечатление : Быстродействующее средство RATING 4 NOTE
EF	NEUTRAL	0.99805766	878817	5	Общее впечатление : помог, но в комплексе!
INF	NEUTRAL	0.9940859	2533836	9	Поэтому я и вам тоже не советую его.
EF	NEUTRAL	0.99770516	1086939	11	Уже после первой таблетки зуб прошел.
EF	NEUTRAL	0.99620503	1086939	13	Выделения прекратились.
EF	INF	0.68601096	2653511	2	Первым было Аллокин проколола 3 укола и на 6 месяцев про герпес забыла.
NEUTRAL	EF	0.99932754	2653511	5	Но как в дальнейшем мне объяснила врач, пропить его надо курсом 3-6 месяцев, в этом случае наступить устойчива ремиссия, да и простуд меньше будет.
NEUTRAL	EF	0.999014	598445	3	А сейчас можно выпить таблетку корвалола и получить тот же эффект.
EF	INF	0.88322604	87095	2	Поэтому на данный момент, от этих таблеток я решила отказаться, хотя знаю людей которым они очень помогают успокиться и быстро заснуть, среди таких людей и моя родная тетя, она эти таблетки принимает на ночь по три-четыре штуки за один раз и на утро свеженькая и бодрая как огурчик, я же выпиваю одну и следующий день хожу как варенная, наверное этот препарат мне просто не подходит.
NEUTRAL	EF	0.64398926	87095	1	Вот сколько не пробовала пить на ночь таблетки валерианы, всегда на утро результат один и тот же тяжелая как после похмелья голова и уже к обеду хорошая мигрень.
INF	EF	0.9981482	877405	6	Через три дня, когда насморк усилился, аквалор уже не стал справляться с вымыванием сопелек.
NEUTRAL	EF	0.72278166	877405	4	А вот с аквалором все стало намного проще.
NEUTRAL	EF	0.99892324	2706079	3	Дело в том, что таблетка должна проходить через желудок не растворившись в нем и попадать в свободную от еды тонкую кишку в достаточном количестве и неизмененном состоянии.
INF	EF	0.9993674	901487	2	Парацетомол помогал на час и очень долго ждала его действия.
NEUTRAL	INF	0.9987311	792635	3	И мои руки не успевали заживать.
INF	EF	0.99900156	641485	6	Препарат только на один раз, организму он поможет, но дальше смысла нет деньги палить впустую.
NEUTRAL	EF	0.99183226	641485	2	Так произошло и у нас.
EF	NEUTRAL	0.99859565	594839	1	Добрый день, начали у меня проблемы со сном, около месяца мучилась не могла долго заснуть, если с трудом засыпала то проснувшись часа в 3-4 ночи уже не засыпала., решила сходить к врачу, порекомендовал вот это лекарство, в аптеке строго потребовали рецепт, прочитав нотацию, там столько было написано побочных явлений, как и в любом другом препарате, Ну вот при наступление ночи, выпила я свою назначенную дозу препарата, и уснула, впервые за месяц я уснула в течение как мне показалось 10-18 минут.
EF	NEUTRAL	0.99886984	822720	3	Я скажу, что результат есть, если принимать четко по схеме, а именно до еды.
EF	NEUTRAL	0.9987973	2452343	11	Она эффективна если например в эпидемию посещать какие то людные места, в течении пару часов.
NEUTRAL	EF	0.9986614	2452343	10	Ведь мазь действует всего несколько часов, а ребенок находится в саду намного больше.
EF	INF	0.9988066	2547762	8	к счастью, никаких клещевых инфекций у нас не было обнаружено.
NEUTRAL	INF	0.9985713	2414358	6	Испытывать препарат на себе не приходилось.
NEUTRAL	INF	0.99835217	2523468	4	На основании всего вышеперечисленного сделала вывод что переплачивать не имеет смысла.
NEUTRAL	INF	0.9964797	2665872	10	Не нервничайте!
NEUTRAL	INF	0.77963215	873342	5	Так вот о самом нитроксолине.
INF	NEUTRAL	0.9979997	929986	11	сна не в одном глазу.
INF	NEUTRAL	0.9989976	929986	12	очередная бессонная ночь.
NEUTRAL	EF	0.9037862	929986	21	зря только организм травила((( может кто-нибудь подскажет хорошее средство от бессонницы???
NEUTRAL	EF	0.9857109	811769	1	Являясь ноотропным средством, Пирацетам, оказывает положительное влияние на обменные процессы мозга.
NEUTRAL	INF	0.9977186	2535409	3	Этим средством является "Амизон", которое хорошо прорекламировано, однако такого эффекта как говорят нет.
INF	NEUTRAL	0.96847165	2733509	11	Оно еще больше стало раздраженным.
NEUTRAL	EF	0.9955766	2733509	7	У меня все это было кроме температуры и было слезотечение.
EF	INF	0.9988869	2718482	10	Эффект ощущаем, но сказать, что эффект именно от мексикора не могу.
NEUTRAL	EF	0.99788195	2718482	11	Хорошо подействовал весь комплекс лечения.
INF	EF	0.997517	644737	10	Капали мы 3 дня по 5 раз на день, а уже на четвертый день у нас появилась температура и кашель.
NEUTRAL	INF	0.96992797	644737	4	Упаковочка такая маленькая, а стоит недешево.
NEUTRAL	EF	0.99898	2541923	5	После одной дозы в 2.5 мл ребенок плакал -еле успокоила.
INF	EF	0.9977367	151880	7	У ОБЕИХ: до 3х ни в одном глазу, примерно в 2 ночи началось сильное сердцебиение и лихорадка, к 5 ночи удалось заснуть, но было ощущение, что в полусне и были жуткие кошмары.
NEUTRAL	EF	0.99536973	151880	9	Весь следующий день у мамы болело сердце, а я была разбитая-хуже чем при гриппе.
EF	INF	0.981875	942280	7	После применения донормила у мужа исчезли такие явления как чиханье, насморк, зуд кожи.
INF	EF	0.9989398	614513	6	Мне легче ни стало даже на 3 день приема Ингавирина, хотя принимать начала при первых симптомах.
NEUTRAL	EF	0.99508977	2424525	5	К вечеру вымотанный, ложился спать.
EF	NEUTRAL	0.891485	2397861	7	Что я увидела уже, это то что дочка стала лучше спать, нет криков сквозь сон, вечных расставаний в туалет и т. д В упаковке находится 15 пакетиков.
INF	EF	0.9984055	1979075	1	Малоэффективен, вызывает диарею, которая может продолжаться 2-3 дня.
EF	NEUTRAL	0.9943627	2703065	6	Лучше уж просто пить Ринзу Сип, она хоть симптомы постуды хорошо снимает и стоит недорого.
EF	INF	0.6340062	885404	7	Пропив одну коробку(10 флаконов) мы перестали болеть и ребёнок отходил в сад два месяца.
NEUTRAL	EF	0.98763216	885375	1	Наступила опять весна и вновь эти простудные заболевания начали действовать с новой силой.
EF	NEUTRAL	0.9849761	2705356	8	Начинаю его использовать как только появляется зуд, все проходит в течение 3-4 дней.
EF	NEUTRAL	0.9968395	2540419	7	Пробивает заложенность носа и фиксирует данный эффект надолго.
NEUTRAL	EF	0.9989089	747352	6	Несколько дней все было хорошо, затем проявилось подавленное состояние, раздражительность.
