,id,comment_id,drug_id,sentence_index,sentences,ADR,WD,EF,INF,SSI,DI,Findings,others,rating,category
4696,237.0,37.0,EffexorXR.37,3.0,"I wish I would have never started taking this horrible, horrible drug.",0,0.0,0,1,0.0,0,0.0,0,1.0,snri
4577,118.0,18.0,EffexorXR.18,12.0,My daughter did not leave for work until my husband had returned home.,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
533,534.0,83.0,lexapro.83,4.0,Most generics are made overseas in India or China.,0,0.0,0,0,0.0,0,0.0,1,3.0,ssri
800,801.0,120.0,lexapro.120,8.0,Libido is low but orgasm is possible.,1,0.0,0,0,0.0,0,0.0,0,4.0,ssri
1620,129.0,21.0,zoloft.21,2.0,ended up physch primary care with it.,1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
4278,1526.0,210.0,cymbalta.210,10.0,"I have my appetite back, but have not gained any weight at all.",0,0.0,0,0,0.0,0,0.0,1,5.0,snri
2398,907.0,160.0,zoloft.160,1.0,little dry mouth.,1,0.0,0,0,0.0,0,0.0,0,5.0,ssri
5913,1454.0,218.0,effexorXR.218,3.0,"I'd read up on the mechanisms a bit, so I wasn't surprised that it was a bit like a mild acid trip from my youth.",0,0.0,0,0,0.0,0,0.0,1,5.0,snri
5314,855.0,135.0,effexorXR.135,7.0,Often get restless legs syndrome with Effexor.,1,0.0,0,0,0.0,0,0.0,0,4.0,snri
1393,1394.0,205.0,lexapro.205,6.0,so I take Trazadone at night to help me fall and stay asleep.,0,0.0,0,0,0.0,0,0.0,1,5.0,ssri
5435,976.0,154.0,effexorXR.154,9.0,Could barely function and was in danger of losing my job.,0,0.0,0,0,1.0,0,0.0,0,4.0,snri
120,121.0,19.0,lexapro.19,3.0,"if you are an othewise phyically healthy human you may risk compromising the proper functioning of the T-cells which may have UKNOWN consequences, the worst being autoimmunce disease which will make you very sick with flu-like symptoms and unable to get better,please beware.",1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
3690,938.0,124.0,cymbalta.124,1.0,"didnt want to eat first two weeks, cant sleep, felt sick when working out/shaking.",1,0.0,0,0,0.0,0,0.0,0,3.0,snri
1024,1025.0,154.0,lexapro.154,1.0,"Initial-brain zaps, headache, fatigue: all went away after 2 weeks Later-Weight gain.",1,0.0,0,0,0.0,0,0.0,0,4.0,ssri
5903,1444.0,217.0,effexorXR.217,1.0,Insomnia for the first few days.,1,0.0,0,0,0.0,0,0.0,0,5.0,snri
1566,75.0,12.0,zoloft.12,6.0,I was carrying out 'risky' behaviours and after 4 weeks of taking it I ended up in the emergency department of the hospital twice in 4 days for over-dosing.,1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
134,135.0,21.0,lexapro.21,9.0,I hope and pray it subsides.,0,0.0,0,0,0.0,0,0.0,1,1.0,ssri
5699,1240.0,189.0,effexorXR.189,8.0,I would like to get off but the withdrawl symptoms stop me.,0,1.0,0,0,0.0,0,0.0,0,5.0,snri
5892,1433.0,214.0,effexorXR.214,8.0,For quality of life & my family i have decided to stay on it .,0,0.0,1,0,0.0,0,0.0,0,5.0,snri
4168,1416.0,191.0,cymbalta.191,3.0,Still have a night or two during the week when I can't sleep or wake up @ 2 a. m. I feel better than I have in a very long time!,1,0.0,0,0,0.0,0,0.0,0,5.0,snri
1522,31.0,7.0,zoloft.7,1.0,"suicidal thoughts, no sexual satisfaction, horrible drug.",1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
1456,1457.0,213.0,lexapro.213,7.0,"I feel with feelings (not ""numbed""), can cry, laugh and enjoy life.",0,0.0,1,0,0.0,0,0.0,0,5.0,ssri
511,512.0,80.0,lexapro.80,7.0,so I quit and decided to take a cognitive approach (listening to self-help tapes with positive messaging) and exercise.,0,0.0,0,0,0.0,0,0.0,1,3.0,ssri
4976,517.0,79.0,EffexorXR.79,3.0,It has been a nightmare.,0,0.0,0,0,0.0,0,0.0,1,2.0,snri
4131,1379.0,185.0,cymbalta.185,4.0,"It only takes 1-2 weeks to work By the way, if you want to quit this med there is only one way: Opening pills and removing a few micro-capsules every 2 weeks (let's say 20 micro-capsules).",0,0.0,0,0,0.0,0,0.0,1,5.0,snri
3699,947.0,125.0,cymbalta.125,3.0,"In 3 weeks it was gone, as was my anger and inability to focus.",0,0.0,1,0,0.0,0,0.0,0,3.0,snri
4660,201.0,29.0,EffexorXR.29,4.0,"Dont ever take it,it is not worth it, o",0,0.0,0,0,0.0,0,0.0,1,1.0,snri
251,252.0,41.0,lexapro.41,6.0,Some good results.,0,0.0,1,0,0.0,0,0.0,0,2.0,ssri
4767,308.0,47.0,EffexorXR.47,5.0,I experienced weight gain and loss of sex drive.,1,0.0,0,0,0.0,0,0.0,0,1.0,snri
1335,1336.0,194.0,lexapro.194,9.0,I gained ten pounds.,0,0.0,0,0,0.0,0,0.0,1,5.0,ssri
122,123.0,19.0,lexapro.19,5.0,"The risks of such dangerous and hidden physiological side effects are in NO WAY worth the potential positive effects of so-called subjective ""mental stability"" which is merely illusory and masks the hidden danger.",1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
1512,21.0,4.0,zoloft.4,11.0,I hate this so much sometimes i don't know how long i can go on.,0,0.0,0,0,0.0,0,0.0,1,1.0,ssri
2210,719.0,124.0,zoloft.124,16.0,"Otherwise, it's a 5.",0,0.0,0,0,0.0,0,0.0,1,4.0,ssri
3899,1147.0,153.0,cymbalta.153,1.0,"HOrrible migraines but i have had migraines since early childhood,This medicine just caused more frequency and higher degree of pain with headaches,Best medicine for depression that i had ever taken and worked instantly.",1,0.0,1,0,1.0,1,0.0,0,4.0,snri
4176,1424.0,192.0,cymbalta.192,1.0,Not many.,0,0.0,0,0,0.0,0,0.0,1,5.0,snri
589,590.0,92.0,lexapro.92,7.0,It saved my life!,0,0.0,0,0,0.0,0,0.0,1,3.0,ssri
2312,821.0,142.0,zoloft.142,2.0,Zoloft has helped me a great deal since I began taking it 10 years ago.,0,0.0,1,0,0.0,0,0.0,0,4.0,ssri
805,806.0,121.0,lexapro.121,3.0,"Overall feelling of ""numb brain"" as I call it, Trouble concentrating.",1,0.0,0,0,0.0,0,0.0,0,4.0,ssri
810,811.0,121.0,lexapro.121,8.0,"I worried less about things and was able to cope with issues and problems much better, Overall, I felt much better.",0,0.0,1,0,0.0,0,0.0,0,4.0,ssri
598,599.0,93.0,lexapro.93,7.0,"Apparently I refused help because I thought they (my parents, and later, the nurses at ER) were trying to poison me.",0,0.0,0,0,0.0,0,0.0,1,3.0,ssri
3737,985.0,131.0,cymbalta.131,8.0,"- I quit Cymbalta two weeks ago and I must comment that I didn't experience the horror withdrawal symptoms that everyone talks about, but perhaps because I slowly reduced my dosages.",0,0.0,0,0,0.0,0,0.0,1,3.0,snri
5379,920.0,144.0,effexorXR.144,3.0,"My moods are stable, but I'm now mildly and continuously depressed because of the two main side effects - lack of libido and bad night sweats.",1,0.0,1,1,0.0,0,0.0,0,4.0,snri
5228,769.0,121.0,effexorXR.121,9.0,"It helps me immensely, and the side affects are tolerable, as long as i don't provoke them by missing a dose.",1,1.0,1,0,0.0,0,0.0,0,4.0,snri
4048,1296.0,173.0,cymbalta.173,7.0,This is the 4th antidepressant I've tried in the past 6 months & the first to give me any relief from my depression.,0,0.0,1,0,1.0,1,0.0,0,4.0,snri
318,319.0,51.0,lexapro.51,1.0,Problems with memory.,1,0.0,0,0,0.0,0,0.0,0,2.0,ssri
3685,933.0,123.0,cymbalta.123,1.0,"insomnia, loss of appetite*.",1,0.0,0,0,0.0,0,0.0,0,3.0,snri
1684,193.0,37.0,zoloft.37,2.0,A week after the commencement of my treatment I took a razor blade and cut my wrists.,1,0.0,0,0,0.0,0,0.0,0,2.0,ssri
274,275.0,43.0,lexapro.43,6.0,I disagree.,0,0.0,0,0,0.0,0,0.0,1,2.0,ssri
1864,373.0,66.0,zoloft.66,7.0,i came off this drug successfully 2 years ago.,0,0.0,0,0,0.0,0,0.0,1,3.0,ssri
1720,229.0,43.0,zoloft.43,3.0,I'm too worried about the side effects I'm having.,1,0.0,0,0,0.0,0,0.0,0,2.0,ssri
5151,692.0,110.0,effexorXR.110,1.0,"Confusion, inability to concentrate, lack of motivation, no sex drive, agitation, incresed blood pressure, chronic constipation, vivid dreams, severe sweating.",1,0.0,0,0,0.0,0,0.0,0,3.0,snri
3944,1192.0,160.0,cymbalta.160,1.0,"SEVERE night sweats and increased sweating during the day, and somewhat difficult (but not impossible) to reach orgasm.",1,0.0,0,0,0.0,0,0.0,0,4.0,snri
4541,82.0,14.0,EffexorXR.14,4.0,Of course my own research proved her theory patently untrue.,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
5641,1182.0,179.0,effexorXR.179,11.0,Had hysterectomy due to cervical cancer in Dec 04 and stopped taking my progesterone.,0,0.0,0,0,0.0,0,1.0,0,5.0,snri
4858,399.0,62.0,EffexorXR.62,1.0,Hypertension.,1,0.0,0,0,0.0,0,0.0,0,1.0,snri
5170,711.0,113.0,effexorXR.113,1.0,"Brief headache, increased sweating at night.",1,0.0,0,0,0.0,0,0.0,0,3.0,snri
2264,773.0,134.0,zoloft.134,3.0,Really very few side effects-I think it's great.,1,0.0,0,0,0.0,0,0.0,0,4.0,ssri
4711,252.0,39.0,EffexorXR.39,3.0,BETTER TAKE NATURAL MEDICATIONS,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
5844,1385.0,209.0,effexorXR.209,3.0,This has been the best.,0,0.0,1,0,0.0,0,0.0,0,5.0,snri
4640,181.0,27.0,EffexorXR.27,1.0, continued.,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
298,299.0,46.0,lexapro.46,1.0,"No sex drive, dull mood.",1,0.0,0,0,0.0,0,0.0,0,2.0,ssri
721,722.0,110.0,lexapro.110,2.0,"the following side effects continue, sometimes more markedly than at other times: night sweats, excessive yawning, decreased sex drive, weight gain, vivid dreams, insomnia.",1,0.0,0,0,0.0,0,0.0,0,4.0,ssri
5953,1494.0,222.0,effexorXR.222,4.0,I'm really glad I did.,0,0.0,1,0,0.0,0,0.0,0,5.0,snri
2225,734.0,128.0,zoloft.128,6.0,Then i had to increase the dosage (up from 50 mg).,0,0.0,0,0,0.0,0,0.0,1,4.0,ssri
1921,430.0,80.0,zoloft.80,1.0,"Lack of sex drive, weight gain, sleep problems.",1,0.0,0,0,0.0,0,0.0,0,3.0,ssri
833,834.0,125.0,lexapro.125,1.0,"low sex drive, weight gain, headache, irritable bowel, fatigue, spaciness.",1,0.0,0,0,0.0,0,0.0,0,4.0,ssri
3901,1149.0,153.0,cymbalta.153,3.0,I did suffer some withdrawl depressive symptoms after stopping the medicines but felt better in about two weeks,0,1.0,0,0,0.0,0,0.0,0,4.0,snri
1047,1048.0,157.0,lexapro.157,4.0,I was beginning to think I'd stopped dreaming!,0,0.0,0,0,0.0,0,0.0,1,4.0,ssri
2298,807.0,139.0,zoloft.139,11.0,But they came back after that - as colorful as before.,1,0.0,0,0,0.0,0,0.0,0,4.0,ssri
2388,897.0,156.0,zoloft.156,6.0,(and leave this forum to those who want to help themselves & others),0,0.0,0,0,0.0,0,0.0,1,5.0,ssri
4888,429.0,66.0,EffexorXR.66,6.0,"Bad head ache next day, but after that OK. After 4 more days on 3/4 dose, took 1/2 beads out and had no side effects.",0,1.0,0,0,0.0,0,0.0,0,2.0,snri
2101,610.0,111.0,zoloft.111,3.0,"However, I have tried to taper and quit several times and CAN'T.",0,1.0,0,0,0.0,0,0.0,0,4.0,ssri
4285,1533.0,211.0,cymbalta.211,3.0,"In that time I had been prescribed: Seroxat, Efexor, Prosac, Prothiadin, and another whose's name I no longer recall.",0,0.0,0,0,0.0,0,0.0,1,5.0,snri
1293,1294.0,188.0,lexapro.188,3.0,Other than an initial difficulty reaching orgasm I've had no problems achieving orgasm after the first 4-6 weeks of being on Lexapro.,1,0.0,0,0,0.0,0,0.0,0,5.0,ssri
2314,823.0,142.0,zoloft.142,4.0,I tapered down from 75mg very carefully and slowly.,0,0.0,0,0,0.0,0,0.0,1,4.0,ssri
376,377.0,61.0,lexapro.61,4.0,"that was ok for about 3 days then i started having constant panic/anxiety, as well as crying a lot at innappropriate times.",1,0.0,0,0,0.0,0,0.0,0,2.0,ssri
4061,1309.0,176.0,cymbalta.176,2.0,"Overall, I really feel positive about this drug, at least for myself.",0,0.0,1,0,0.0,0,0.0,0,4.0,snri
4339,1587.0,216.0,cymbalta.216,22.0,Everyone who reads this if you have any suggestions on how to get samples or discount on meds please email me at  Pray for me and everyone in that can not afford there meds.,0,0.0,0,0,0.0,0,0.0,1,5.0,snri
4076,1324.0,177.0,cymbalta.177,9.0,It has not helped my hypersomnia - I can still sleep for up to 14 hours a day.,0,0.0,0,1,1.0,0,0.0,0,4.0,snri
1666,175.0,32.0,zoloft.32,1.0,"Sexual dysfunction, no orgasm, very low libido, persistent brain fog.",1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
1723,232.0,44.0,zoloft.44,1.0,increased anxiety during the afternoon which i dread.,1,0.0,0,1,1.0,0,0.0,0,2.0,ssri
2347,856.0,147.0,zoloft.147,8.0,even though zoloft worked well for so long i have wanted to go off for years due to trendyness/social stigma and belief that i should be able to handle this w/o meds but have had much trouble with the withdrawal the 2 times i tried.,0,1.0,0,0,0.0,0,0.0,0,4.0,ssri
1545,54.0,10.0,zoloft.10,11.0,"developed Shortness of breath, fibromyalgia type pain, arthritis pain.",1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
4713,254.0,40.0,EffexorXR.40,2.0,I felt weird on this medicine and wanted to die.,1,0.0,0,0,0.0,0,0.0,0,1.0,snri
5653,1194.0,181.0,effexorXR.181,3.0,"I felt like I was on speed, but after my body adjusted it gave me my life back.",1,0.0,1,0,0.0,0,0.0,0,5.0,snri
1437,1438.0,209.0,lexapro.209,2.0,"At 20 mg, depression was completely under control, but had weight gain and mild insomnia, o",1,0.0,1,0,1.0,1,0.0,0,5.0,ssri
4669,210.0,31.0,EffexorXR.31,4.0,I don't recommend this pill,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
1483,1484.0,218.0,lexapro.218,1.0,None.,0,0.0,0,0,0.0,0,0.0,1,5.0,ssri
4336,1584.0,216.0,cymbalta.216,19.0,My happy pill.,0,0.0,1,0,0.0,0,0.0,0,5.0,snri
4988,529.0,79.0,EffexorXR.79,15.0,let alone take effexor again.,0,0.0,0,0,0.0,0,0.0,1,2.0,snri
175,176.0,28.0,lexapro.28,2.0,"It was brilliant for 2 weeks, except for some queasiness.",1,0.0,1,0,0.0,0,0.0,0,1.0,ssri
3863,1111.0,147.0,cymbalta.147,10.0,"I insisted that 30mg was working wonders, and he reluctantly prescribed a 2 week course at 30mg Well, that's where I've remained for 3 months now.",0,0.0,0,0,0.0,0,0.0,1,4.0,snri
45,46.0,5.0,lexapro.5,6.0,I was unable to hold my body vertical.,1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
3778,1026.0,137.0,cymbalta.137,6.0,"However, remember that everyone is different and out of ALL those taking this medication only 20-30% end up with severe side effects if any at all.",0,0.0,0,0,0.0,0,0.0,1,4.0,snri
1360,1361.0,198.0,lexapro.198,3.0,Now I take a small dose of Lexapro and feel much happier and normal than I used to in addition to having little to no side effects.,0,0.0,1,0,0.0,0,0.0,0,5.0,ssri
5937,1478.0,221.0,effexorXR.221,1.0,no seriously noticeable side effects at 300 mg daily several years.,0,0.0,0,0,0.0,0,0.0,1,5.0,snri
5012,553.0,89.0,effexorXR.89,2.0,"Cry, irritable, then I start to have untimely jerkiness.",0,1.0,0,0,0.0,0,0.0,0,3.0,snri
1779,288.0,52.0,zoloft.52,2.0,I was on Zoloft for about a year.,0,0.0,0,0,0.0,0,0.0,1,2.0,ssri
1041,1042.0,156.0,lexapro.156,5.0,"My anxiety is much calmer, although still present.",0,0.0,1,0,1.0,1,0.0,0,4.0,ssri
1551,60.0,10.0,zoloft.10,17.0,Maybe I can return to work when I get the cast off of my leg.,0,0.0,0,0,0.0,0,0.0,1,1.0,ssri
1485,1486.0,218.0,lexapro.218,3.0,I highly recommend and am so thankful for this medication.,0,0.0,0,0,0.0,0,0.0,1,5.0,ssri
4095,1343.0,182.0,cymbalta.182,4.0,It has worked wonders for me.,0,0.0,1,0,0.0,0,0.0,0,4.0,snri
2276,785.0,135.0,zoloft.135,12.0,"Unfortunately, the side effects began to be too much for it to be worth it.",1,0.0,0,0,0.0,0,0.0,0,4.0,ssri
1894,403.0,75.0,zoloft.75,3.0,Sweats.,1,0.0,0,0,0.0,0,0.0,0,3.0,ssri
1665,174.0,31.0,zoloft.31,3.0,I had to quit taking them because of all the side effects that just wouldn't pass.,1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
841,842.0,126.0,lexapro.126,6.0,A very good drug to try,0,0.0,1,0,0.0,0,0.0,0,4.0,ssri
4479,20.0,4.0,EffexorXR.4,1.0,I tried to kill myself witch mad no sense since I LOVE MY LIFE!,1,0.0,0,0,0.0,0,0.0,0,1.0,snri
911,912.0,138.0,lexapro.138,6.0,:(,0,0.0,0,0,0.0,0,0.0,1,4.0,ssri
3662,910.0,120.0,cymbalta.120,7.0,"I become very irritable, not to mention I experience brain zaps similar to paxil withdrawal.",0,1.0,0,0,0.0,0,0.0,0,3.0,snri
2303,812.0,139.0,zoloft.139,16.0,In a few months my doctor and I hav,0,0.0,0,0,0.0,0,0.0,1,4.0,ssri
5997,1538.0,228.0,effexorXR.228,7.0,My advice to anyone considering taking the drug is don't stress out when reading the side effects.,0,0.0,0,0,0.0,0,0.0,1,5.0,snri
4162,1410.0,190.0,cymbalta.190,11.0,I highly recomment it to anyone.,0,0.0,0,0,0.0,0,0.0,1,5.0,snri
4729,270.0,42.0,EffexorXR.42,11.0,"before i knew it, i was dependent on sleep meds, and was being prescribed tranquilizer type meds too .",0,0.0,0,0,0.0,0,0.0,1,1.0,snri
4614,155.0,23.0,EffexorXR.23,8.0,I opened the capsual and removed most of the medication.,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
1705,214.0,41.0,zoloft.41,2.0,"I have only been on this for five days, after coming off of Prozac.",0,0.0,0,0,0.0,0,0.0,1,2.0,ssri
4670,211.0,32.0,EffexorXR.32,1.0,"tremors,dizziness,headaches,anger,fits of rage, electrical shocks throughout whole body.",1,0.0,0,0,0.0,0,0.0,0,1.0,snri
5587,1128.0,175.0,effexorXR.175,1.0,"dry mouth, insomnia if taken late in the day, However.",1,0.0,0,0,0.0,0,0.0,0,5.0,snri
1598,107.0,17.0,zoloft.17,7.0,"I just felt so weird all the time, I HAD to come off it.",1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
4747,288.0,45.0,EffexorXR.45,4.0,Obviously I see this is a very addictive drug as far as withdrawl symptoms.,0,1.0,0,0,0.0,0,0.0,0,1.0,snri
4811,352.0,52.0,EffexorXR.52,1.0,"severe constipation, weight gain, nightmares, hypothyroidism, and another.",1,0.0,0,0,0.0,0,0.0,0,1.0,snri
5696,1237.0,189.0,effexorXR.189,5.0,I wanted to die.,0,1.0,0,0,0.0,0,0.0,0,5.0,snri
4213,1461.0,199.0,cymbalta.199,2.0,"been on 120mg for 12 months, from being suicidal am now back at work full time, feeling normal again other than the side effects.",0,0.0,1,0,1.0,1,0.0,0,5.0,snri
5275,816.0,128.0,effexorXR.128,1.0,"At first, side effects were pretty numerous.",0,0.0,0,0,0.0,0,0.0,1,4.0,snri
3966,1214.0,164.0,cymbalta.164,2.0,My doctor suggested I try taking the Cymbalta at night instead of the morning because he thought that was what may be making me tired.,0,0.0,0,0,0.0,0,0.0,1,4.0,snri
351,352.0,57.0,lexapro.57,1.0,"Extreme fatigue, difficulty waking up, emotional numbness/detachment, inability to concentrate, forgetfulness, lack of interest in ANYTHING except sleep, inability to reach orgasm with a partner, weakness, excessive urination, dizziness.",1,0.0,0,0,0.0,0,0.0,0,2.0,ssri
5785,1326.0,201.0,effexorXR.201,14.0,but I was debating suicide at the time.,0,0.0,0,0,1.0,0,0.0,0,5.0,snri
802,803.0,120.0,lexapro.120,10.0,My mood is definitely lifted although my energy is really low.,0,0.0,1,1,1.0,1,0.0,0,4.0,ssri
4531,72.0,12.0,EffexorXR.12,1.0,"vision problems, the more I took it there would be vibration in my eyes, confusion.",1,0.0,0,0,0.0,0,0.0,0,1.0,snri
3729,977.0,130.0,cymbalta.130,4.0,Pain in minimal though and I feel less anxious and depressed.,0,0.0,1,0,1.0,1,0.0,0,3.0,snri
308,309.0,49.0,lexapro.49,3.0,I don't even know if I did sleep!,1,0.0,0,0,0.0,0,0.0,0,2.0,ssri
1338,1339.0,194.0,lexapro.194,12.0,I don't recommend it.,0,0.0,0,0,0.0,0,0.0,1,5.0,ssri
4690,231.0,36.0,EffexorXR.36,4.0,Close monitoring of patient during initial phase of taking drug is vital.,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
759,760.0,115.0,lexapro.115,3.0,"My life is easier, lighter, I'm capable of working out the issues that lead me to depression, when before all I could do was cry.",0,0.0,1,0,1.0,1,0.0,0,4.0,ssri
2078,587.0,105.0,zoloft.105,11.0,"On the positive side, I'm much more relaxed in tense situations.",0,0.0,1,0,0.0,0,0.0,0,4.0,ssri
