sentences,EF,INF,ADR,DI,Finding
"My doctor told me it was an easily tolerated medication, Well, not for me, o",0,0,0,0,0
This medication has turned my life around; I'd been suffering from moderate to severe depression for decades and was afraid to take antidepressents until my doctor convinced me to at least try Zoloft for a while.,1,0,0,1,0
"I had a terrible depression and on the advice of a friend, I tried to take these pills, drank them for almost a month, daily 3 times a day, but unfortunately I did not find any effect... No relief at all!",0,1,0,1,0
Then the doctor increased it to 150 mg which made the head pressure worse so I slowly got back down to 100mg.,0,0,1,0,0
"In General, my friend is very hooked on her child on imunostimulators, like ""Viferon"", only they start sneezing immediately her candle in the ass.",0,0,0,1,0
I don't like it.,0,1,0,0,0
Saved my life.,1,0,0,0,0
Overall impression: Helps with viral diseases RATING 4 NOTE,0,0,0,1,0
I took zoloft for years with no problems.,0,0,0,0,0
"It has made my life bearable, but introduced new problems which I never had before.",1,0,1,0,0
Less is more.,0,0,0,0,0
"After a week, maybe a little more, I felt a clear improvement in health.",1,0,0,0,0
I took Lexapro once and it majorly screwed me up.,0,0,0,0,0
"I have tried being on Effexor for a while, however, that drug caused nausea and increased suicidal thoughts.",0,0,0,0,0
"I also suffered from mosquito bites in the summer, also smeared and also itched and itched.",0,1,0,0,0
That is good!,0,0,0,0,0
I honestly could not function as I do without it.,1,0,0,0,0
Phoned the doctor to report the symptoms; the dose was then increased to 20mg per day.,0,0,0,0,0
is this typical?,0,0,0,0,0
"I have been on Prozac (loved it but I got migranes), Effexor, Wellbutrin, Lexapro, and mood stabilizers Depakote and Lamictal.",0,0,0,0,0
I have since discovered that I have osteoarthritis in my hands and every joint in my body hurts.,0,0,0,0,0
"I also had dizziness and exhaustion, but those went away in a couple of days.",0,0,1,0,0
A good tool-I recommend it!,1,0,0,0,0
I only take 50mg and life is a lot nicer.,1,0,0,0,0
This drug should not be given to anyone.,0,0,0,0,0
My boss is checking on me.,0,0,0,0,0
I don't intend to escalate.,0,0,0,0,0
Cost is too high.,0,0,0,0,0
This tool is positioned as a super-tool at the first signs of a cold.,0,0,0,1,0
I am so miserable at this stage that I'm worse off than when I started taking this by far.,0,1,0,0,0
"I was social, but that night woke up at 2:15 sweating and in a terrible panic attack(not from a dream) but heart racing, swallowed breath, felt emotionally traumatized.",0,0,1,0,0
"I tried to replace it with lozenges, it seemed to me that the drops help better.",1,0,0,0,0
Maybe for me it is the combination of the two but I have not experienced any of the negative side effects others have described.,0,0,0,0,0
"What the average citizen calls herpes """" is a virus of the second type.""",0,0,0,1,0
Relieves symptoms and fights viruses.,0,0,0,0,0
"BUT OH MY GOD , THE HEAD ACHES .SENCEITIVITY TO LIGHT AND MOVEMENT.",0,0,0,0,0
I'm taking 10mg at night before I go to bed.,0,0,0,0,0
"dry mouth, anorgasmic At first, strange dreams, meaning very vivid and colorful.",0,0,1,0,0
I think thier needs to be more Studies done on this medication before giving it to certain people.,0,0,0,0,0
I have had no sexual side effects.,0,0,0,0,0
I constantly felt like the room was spinning.,0,0,0,0,0
"complete indifference towards sex, inability to get an erection, severe pain in my right jaw, headache, nausea, an odd gag reflex when I yawned, insomnia, feeling of being ""strung out"".",0,0,1,0,0
"I have vivid dreams, but I always had them & I enjoy them.",0,0,1,0,0
It just isn't for me. ,0,0,0,0,0
"Headaches, mood swings, grinding teeth, feeling low, loss of concentration,anger, suicidal and omicidal thoughts.",0,0,1,0,0
A few hours later that seems to cease and I become really tired.,0,0,1,0,0
On the second day of admission notice in the hands of a small red rash.,0,0,1,0,0
"When the reception scheme is followed, it really helps.",1,0,0,0,0
"The ""speed"" side effect was very unusual, and I could see it casuing addiction in some people.",0,0,1,0,0
Totally horse tranq knocked out for 12hrs within 2hrs of tasking it couldn't focus on anything laid down and stayed there all day apart from running to the toilet with diarrhoea a few times.,0,0,1,0,0
Often can't stop yawning about 3:30 PM daily for about an hour.,0,0,1,0,0
Because I thought that I might have a blood clot.,0,0,0,0,0
"I really wanted this to work and I do think it mellowed me out a bit, I wasn't so on edge, so jumpy and moody and irritable.",0,0,1,0,0
"But the effectiveness seems to have disappead, too!  ",1,1,0,0,0
I am afraid of withdrawl.,0,0,0,0,0
I started at 10mg.,0,0,0,0,0
This drug has helped me a great deal.,1,0,0,0,0
"Plus, in the last year, I experienced anxiety attacks more frequently which slowly created phobias I never had before.",0,1,1,0,0
"I had attempted suicide (had been on Prozac for 12 years when it quit working, which I found out is not unusual).",0,0,0,0,0
I am going to switch back to celexa if possible since I took that before and the side effects were minimal and also to try and avoid zoloft withdrawl .,0,0,0,0,0
"In the end, I drank POLYSORB to wash myself.",0,0,0,0,0
Finally I was put on this and felt like my old self for the first time in 12 years.,1,0,0,0,0
It also greatly lessened what I have heard called the 'Lizzy Borden' complex ( extreme anger and outbursts).,0,0,0,1,0
Before I would have had a STROKE!,0,0,0,0,0
"Of the side effects, I had a headache and drowsiness.",0,0,1,0,0
"not that I'd want to be cry often but it is a good stress relief and now, nothing.",0,0,1,0,0
"After having it on my nightstand for about a week, I finally started taking the first weeks 25mg and then upped it to 50mg the following week, which I am on now.",0,0,0,0,0
"Before after the drops, the smell of sage at least another half-hour could stay around me, giving relatives and friends that something is wrong with me, and now tablets for my anxiety less noticeable to others.",1,0,0,1,0
"Due to her daughter's restless behavior, these pills were prescribed to her by a neurologist about a year ago.",0,0,0,1,0
"The first injection, I suffered normally, in the evening the child was replaced... Wild screaming, throwing toys, tears.",0,0,1,0,0
I'm amazed that I have not been fired from my job.,0,0,0,0,0
"Poor short term memory, Low motivation.",0,0,1,0,0
so have a med for that.,0,0,0,0,0
A terrible ineffective drug!,0,0,0,0,0
My legs were the worst and my left leg felt like it was on fire!,0,0,1,0,0
Was just taken off Celexa because it did not do anything for me except for the horrible side effects.,0,0,0,0,0
And I noticed positive effects from day one.,1,0,0,0,0
"I started at 5 mg and worked slowly up to 20 mg. After 2 years at 20 mg, my thoughts became bitchy and impatient again.",0,1,0,0,0
"I also got my appetite back and managed to put on the weight I had lost as a result of my anxiety, Overall.",1,0,0,1,0
It is only recently I am trying to change to Wellbutrin because of the weight gain.,0,0,1,0,0
"The doctor I was even embarrassed when I, as a child, asked what I wonder (I have itched all below the waist), if I have never had a yeast infection.",0,0,1,0,0
"But overall am happy with it, much better than Zoloft.",1,0,0,0,0
I felt like I was going through heroin withdrawls (not like I know what that is like).,0,0,0,0,0
It's potency and side effects can be a nasty surprise for anyone who is taking it for mild depression.,0,0,1,1,0
Ingavirin didn't help me much.,0,1,0,0,0
It is now 12 hours later and it still feels like LSD but I'm getting more flu like symptoms now.,0,0,1,0,0
So I figure in my mind that having one tablet to take and only pay for just one lot of medication ($34.20Aud) has to have a plus and only one set of side effects and withdrawal symptoms to cope with is even more a plus.,0,0,0,0,0
"This winter, we got sick with the entire family of SARS.",0,0,0,1,0
Is it worth it?,0,0,0,0,0
Take 150mg in the am.,0,0,0,0,0
"turned into a raging maniac, i had nausea, cold/hot flashes.",0,0,1,0,0
I just feel like my self (something I never expected to return fully).,1,0,0,0,0
I started taking this for my Post Partum.,0,0,0,1,0
This is the most frightening experience I have ever had with an anti-depressant.,0,0,0,0,0
"I've also gained about 60 pounds because I became more depressed and freaked out, leading me to just give up on a healthy lifestyle as well as failing an entire semester at my university.",0,1,1,0,0
Overall impression: FAST-acting rating 4 NOTE tool,1,0,0,0,0
"It was prescribed after eye surgery, I had retinal dystrophy and impaired blood circulation in the vessels of the eyes.",0,0,0,1,0
But I will NEVER give it up.,1,0,0,0,0
Very anxious (duh!),0,0,0,0,0
I love it.,1,0,0,0,0
"""Herbal PLUS"" is a well publicized way to protect against SARS, barrier.",0,0,0,1,0
"I was only on 20MG and it worked mentally but to this day, my gastro-intestinal system is screwed up.",1,0,1,0,0
"The baby's severe runny nose stopped in 2 days, I'm in shock.",1,0,0,1,0
"Of course, there are contraindications, including bronchial asthma.",0,0,0,0,1
"And also sometimes I just can't sleep, I don't feel tired at bedtime (even though I was tired an hour before).",0,0,1,0,0
This is an excellent medication for anyone who has a depressiv or anxiety disorder.,1,0,0,1,0
"These pills we have prescribed the pediatrician at the next SARS, but not immediately, and after the third period of the disease, that is, the child was sick three times in the last two months.",0,0,0,1,0
I HATED THIS PRODUCT.,0,0,0,0,0
VERy very slight twtch in my hand or arm sometimes.,0,0,1,0,0
I wanted to make a positive comment about Cymbalta as there is a lot of negative out there on the internet.,0,0,0,0,0
I started investigating/researching Cymbalta and I noticed a common denominator.,0,0,0,0,0
I took 10mg for the first time last night before bed and I could barely sleep.,0,0,1,0,0
"I came back out into the world, and started to see my friends again.",1,0,0,0,0
It's called PSSD: post-SSRI sexual dysfunction.,0,0,1,0,0
"But in comparison with Viferon, the candle itself is too big and rough for a child's ass.",0,0,0,0,0
"The nose does not breathe, it was hard to breathe the air lacked.",0,0,0,1,0
Saved both myself and my daughter from deep depression pretty quickly.,1,0,0,1,0
"Mild withdrawal symptoms are dizziness, irritability, and upset stomach.",0,0,0,0,0
"After the first 3 weeks, the nightmares began, and became increasingly gorey and horrific, to the point I would become paranoid.",0,0,1,0,0
"The only side effect I have noticed is it makes me sleepy, so I take it at night and sleep well.",0,0,1,0,0
I wish it didn't make me sweat more but it's a side effect I'll live with.,0,0,1,0,0
Did not work at all.,0,1,0,0,0
"Unfortunately, the weight gain and sex drive issue is driving me crazy, and I am considering switching to another drug because of this, but it appears that the other SSRIs have the same issues.",0,0,1,0,0
"I was on Lexapro before going into remission, but since I didnt have insurance and Lexapro cost moe than $100 per month my Dr. put me on Zoloft as a cheap alternative.",0,0,0,0,0
"When I wake up sad, I don't spiral into a full blown depression.",1,0,0,1,0
This medicine has saved my life.,1,0,0,0,0
It is a godsend for me.,1,0,0,0,0
In the beginning I felt rather numb not happier.,0,0,1,0,0
I feel like myself and don't get upset or angry as easily.,1,0,0,1,0
God bless,0,0,0,0,0
I have been taking 75mg dosage for a year now and it has greatly improved my depression.,1,0,0,1,0
"Extremely tired, low motivation and energy.",0,0,1,0,0
still very depressed.,0,1,0,0,0
"I have to say, as I said one friend was a doctor in Ukraine there is no epidemic of polio, she personally read the documents and reports.",0,0,0,1,0
I love it!,1,0,0,0,0
My daily dosage is 60mg ,0,0,0,0,0
"I guess that's always better than feeling suicidal, right?",0,0,0,1,0
"if you drink regularly, at least 2 weeks and in principle, try not to be nervous, it helps, although not immediately... Overall impression: Calming, but not always...",1,0,1,1,0
"More than once this ointment helped out in such periods, and of course during a cold helped to stop the course of the disease and the spread of infection, which is especially important for me, as a person with a weak immune system.",1,0,0,1,0
"After a week of admission, there were unfounded fears, lethargy, apathy and at the same time aggression.",0,0,1,0,0
"Since I am very allergic, I expected something terrible, but thank God, there were no noticeable adverse reactions.",0,0,0,0,1
"jittery, can't sleep, no sex drive.",0,0,1,0,0
"I have been having terrible withdrawl symtoms almost immedatly after stopping the med, dizziness, headache, nausea, sweating, I went back to the doctor today and got Cymbalta 30 mg tabs (I had been on 60mg) and now are being weened gradually while still continuing the Wellbutrin XL.",0,0,0,0,0
My heart was racing I was cold and hot at the same time.,0,0,1,0,0
"I had some fatigue when first starting the prescription, but I no longer notice it.",0,0,1,0,0
"I have had a lot of side effects with both of the medications, but it has been a life savor for me.",1,0,0,0,0
I am very worried about this.,0,0,0,0,0
"I'm currently being weaned off this drug, while on Prozac.",0,0,0,0,0
"So you can safely buy a package of Cycloferon tablets before the cold season, if you do not have time to take care of strengthening the immune system, they are great help in the process of getting rid of viral diseases.",1,0,0,1,1
"The first month is somewhat an experience, with varing degrees of dizziness, nausea, headaches and a feeling of not-being-right.",0,0,1,0,0
then i was given 60 mg and i have been taking that for about 3 weeks now and i have highs and lows all the time.,0,0,1,0,0
"No effect Tenoten I didn't notice, he can appear over time, don't know.",0,1,0,0,0
"Also, a marked reduction in sexual response and sensation.",0,0,1,0,0
can be  dangerous to those who are manic depressive.,0,0,0,0,0
"sleeplessness, 'fuzzy thinking', lack of concentration, lack of memory, unrational behvaviour, extreme anger/agitation, oh ya, sweats too .",0,0,1,0,0
Did not help my depression and caused me to have suicidal thoughts.,0,1,1,0,0
Other than an initial difficulty reaching orgasm I've had no problems achieving orgasm after the first 4-6 weeks of being on Lexapro.,0,0,1,0,0
First time I got a flu shot.,0,0,0,1,0
I would NOT recommend this drug.,0,0,0,0,0
Be healthy:),0,0,0,0,0
"Needless to day, I won't take another one & I hope it wears off soon, o",0,0,0,0,0
"somewhere, I don't even remember exactly, but it helps well.",1,0,0,0,0
Did not help me.,0,1,0,0,0
No bad side effects.,0,0,0,0,0
"But no matter how many times we bought it, I didn't notice the effect, although we did everything according to the instructions.",0,1,0,0,0
"I mostly took this drug in the evening, since Barboval has a special smell, you can not drive while using this drug, I had impaired movement and coordination functions, it seems that I was drunk, and in this state it is scary to get behind the wheel of a car.",0,0,1,0,0
Ended up having to have a pacemaker put in because of the heart fibrillation.,0,0,1,0,0
It seemed to make me worse rather than better.,0,1,0,0,0
"Loose stool, loss of sex drive, headaches.",0,0,1,0,0
"There are also more mild effects on my sleep - Night sweats, and vivid dreaming.",0,0,1,0,0
"I am managing much better, and I can stay awake longer now.",1,0,0,0,0
Would not take again.,0,0,0,0,0
(and leave this forum to those who want to help themselves & others),0,0,0,0,0
There was no time to go to the hospital.,0,0,0,0,0
"10 lb weight gain, increased amt panic attacks, anxiety. ",0,1,1,0,0
"Started w/ 50MG to build up to 100/day and during first week period experienced horrible side effects; tremors, nausea, etc After that week, no side effects whatsoever.",0,0,1,0,0
but this is the one i choose since i have to.,0,0,0,0,0
"I'm no doctor, but it seems like there are some combinations that would explain much of the issues above.",0,0,0,0,0
"The draw back is sometimes my life is so dream-like, while my dreams are so life-like, that I constantly confuse what I dreamed & what I lived.",0,0,1,0,0
the baby is 1.3 months old.,0,0,0,0,0
"We got a cough, a runny nose, and a little fever.",0,0,1,0,0
This drug really didn't help either of my problems at all.,0,1,0,0,0
"unable to have orgasm, loss of all emotion, insomnia, forgetfulness, loss of appetite which I don't need.",0,0,1,0,0
Numbness diminished after stopping the medicine & starting a new anti-depressant.,0,0,0,0,0
"It was getting quite debilitating because my work requires driving to different places at times, Now, for the 10 months I've been taking Lexapro, I've only had three instances where I could feel myself going into a panic attack .",1,0,0,1,0
Weird dreams is honestly the only good thing about this drug for me.,0,0,1,0,0
"Hard to be motivated, Increased appetite.",0,0,1,0,0
So I began to take these sedatives and began to notice irritability.,0,0,1,0,0
not many at all!,0,0,0,0,0
In the garden refuses to eat and sleep.,0,0,0,1,0
I have to take Xanax 3 times a day and I don't think this drug is worth it.,0,0,0,0,0
"no desire to have sex, cannot orgasim, currently hurts to have sex.",0,0,1,0,0
"I can't seem to focus, my eyes are blurred and sensitive to the light.",0,0,1,0,0
I saw my doctor today and am going to switch drugs.,0,0,0,0,0
I would like to say to people that are thinking about taking this med. to really look at the side effects of withdrawal.,0,0,0,0,0
I had a very bad experience with Celexa so my Dr suggested Lexapro as it's better tolerated.,0,0,0,0,0
Think I'm gonna call my pshyc.,0,0,0,0,0
"Nausea on the first day, nightmares, racing heart, unable to have orgasm.",0,0,1,0,0
"I had pretty mild side effects at first, nothing severe enough to make me want to quit taking it and nothing out of the ordinary.",0,0,1,0,0
I was surprised because I had just stopped taking Sertaline and expected to be suffering some withdrawal from that so was pleased with how i felt.,0,0,0,0,0
Libido is decreased.,0,0,1,0,0
"The sweating stopped, I still have diarreha, and nausea and pain all over my body.",0,0,1,0,0
I am much more enjoyable to be around and work well at my job now.,1,0,0,0,0
"It tool about 6 weeks to work, Now I'am driving,shopping,back in church it has really worked.",1,0,0,0,0
It should not be tried before other anti-depressants have been tried.,0,0,0,0,0
I now switched to XR 150 mg for the past six months.,0,0,0,0,0
I have been off work for 8 months.,0,0,1,0,0
"I AM WEENING MYSELF OFF NOW AND IT IS HELL I HAD TO QUIT MY JOB AND I HOPE TO GET THIS CRAP OUT OF MY SYSTEM, BEWARE!",0,0,0,0,0
insomnia!,0,0,1,0,0
Took my first pill at night went to sleep not thinking about it at all because I knew it could take weeks before it started working.,0,0,0,0,0
I screamed at her when the microwave oven blasted the scrambled egg!,0,0,0,0,0
I have a long history of depression and anxiety.,0,0,0,0,0
"Kasatelno vaccine against chickenpox does not see the point, since this disease poses no danger to the child's life.",0,0,0,1,0
"The doctor still claims that 30mg is not even considered a therapeutic dose, but I know what works.",0,0,0,0,0
"extreme nausea, migraines, lethargy, loss of libido, flu-like symptoms.",0,0,1,0,0
"Since last November my tendons on both arms started hurting by the elbow, then came extreme fatigue, and heaviness And pain in the calves of my legs came.",0,0,1,0,0
I practically had a nervous breakdown on it.,0,0,1,0,0
Saw this drug to increase immunity 5 years ago.,0,0,0,1,0
I had to quit taking them because of all the side effects that just wouldn't pass.,0,0,1,0,0
"I used to be very nervous at work, but my work is related to people, so stress was not appropriate for me.",0,0,0,1,0
"This drug has ruined mine and my partners life, as soon as she got past the withdrawal symtoms",0,0,0,0,0
"Tablets ""Ergoferon "" in addition to the therapeutic effect, are an excellent preventive tool.",1,0,0,0,1
"The neurologist assigned a child of 3.7 years to drink encefabol, 1H.",0,0,0,0,0
I was actually able to overcome a long-standing fear of flying.,1,0,0,1,0
I did feel that I needed to slow down and take it easy due a general sense of instability.,1,0,0,0,0
Decrease in Libido.,0,0,1,0,0
I never knew in a million years that I would be afraid of myself.,0,0,1,0,0
Some mental fogginess in school.,0,0,1,0,0
I would go along a few days without one and then be so disappointed to have another one.,0,0,0,0,0
None.,0,0,0,0,0
I have aches and pains as if I have the flu.,0,0,1,0,0
Cymbalta has been literally a miracle drug for me.,1,0,0,0,0
"Plus, there are side effects, like allergies, so I think I got it, but money is wasted.",0,0,1,0,0
I continued having the listed side effects at week 5)  Doctors are unable to explain the numbness and think it is not associated with cymbalta.,0,0,0,0,0
It really works great on depression.,0,0,0,1,0
Keep record of your weight when starting.,0,0,0,0,0
"At first it was okay because I didn't feel as anxious as I usually did, Eventually, I began to have hand shakes and once in a while my body feels out of sync.",1,0,1,1,0
She did not want to leave me alone for fear of me causing myself harm.,0,0,0,0,0
When I first started Cymbalta (30mg) I had a major decrease in my appetite and a lot of trouble sleeping.,0,0,1,0,0
I hope this goes away.,0,0,0,0,0
"To sum it up, Cymbalta is a good medicine to try if nothing else is helping and especially if you have fibro and depression.",0,0,0,1,0
"It took me a long time to admit to myself, and my doctor, that I was a little ""off"" (I am talking about 20+ years here).",0,0,0,0,0
"Combined with therapy it helped me live my life again, not just get through it!",1,0,0,0,0
I was going through a divorce and asked my doctor for something.,0,0,0,0,0
Made my drinking into raging alcoholism.,0,0,1,0,0
"After a few days, insomnia and headaches.",0,0,1,0,0
"Thank you for your attention, I hope you liked my review of this drug.",0,0,0,0,0
Cough runny nose.,0,0,0,1,0
I forgot to call in my prescription once and had to skip for a whole weekend (this was the first time).,0,0,0,0,0
Now after continued therapy and Effexor I look forward to living. ,1,0,0,0,0
I was like a new person!,1,0,0,0,0
Orvirem has already helped us several times.,1,0,0,0,0
I wanted to die.,0,0,0,0,0
This is consistent every month.,0,0,0,0,0
"In addition to treatment, I drink medications that relieve the symptoms of a cold.",0,0,0,1,0
Generally very mild.,0,0,0,0,0
"I had to go back to the pharmacy to buy Nasivin, helped immediately.",1,0,0,0,0
"That's just this drug is good when you just started getting sick, then its effect decreases.",0,0,0,0,0
This has worked very well for me.,1,0,0,0,0
"I close my eyes, and I'm so scared that I don't know where to put myself.",0,0,1,0,0
The side effects were tough to take and it no longer seemed like a good tradeoff.,0,0,1,0,0
"I did, the first time my throat got red, I was dripping Nasoferon.",0,0,0,1,0
"During the evening, I constantly smeared them and in the morning the redness was less.",1,0,0,1,0
Drowsiness.,0,0,1,0,0
took away all the depression I was experiencing for three months.,1,0,0,1,0
"They say that after taking nootropic drugs, they act on the nerve endings for another month.",0,0,0,0,0
"On return, the doctor recommended a tincture of motherwort (then-without alcohol).",0,0,0,0,0
This drug is specially designed for children who often suffer from colds and inflammatory diseases.,0,0,0,1,0
I would never recommend this medication to anyone.,0,0,0,0,0
Gave me a,0,0,0,0,0
"I don't recommend cyclopheron to you, because I don't know if it helped me or not.",0,1,0,0,0
I've gained 15 pounds.,0,0,1,0,0
It shouldn't be.,0,0,0,0,0
"After eight weeks of the above I sincerely doubt that anybody taking lexapro can know which way is up, much less notice a decrease in depression.",0,1,0,0,0
Works great other than side effects,1,0,0,0,0
"I didn't take Lexapro long enough to evaluate it for its intended purpose, because I found the sexual side effects intolerable.",0,0,1,0,0
"It both cures and can be taken for prevention, and it increases immunity.",1,0,0,1,0
"But the temperature didn't go down, they gave me an injection, and it got better.",0,1,0,1,0
BEWARE!,0,0,0,0,0
"The first year was great, other than a decreased sex drive.",1,0,1,0,0
Absolutely no libido!  ,0,0,1,0,0
"nausea (at first), constipation, dizziness, NEVER sleep, always yawning and tired, very mean, hostile and aggressive when upset about something, very very bad night sweats.",0,0,1,0,0
I feel like a junkie.,0,0,1,0,0
Maybe I can return to work when I get the cast off of my leg.,0,0,0,0,0
I have been taking antidepressants for 17 years.,0,0,0,0,0
"I like that the child got sick, the twisted is antiviral, thought new, must act.",0,0,0,0,0
"That at work, something is not going well, the family is not in order, children do not listen, etc. I've been looking for a good remedy to calm down.",0,0,0,1,0
"There was some initial loss of sexual drive and difficulty achieving orgasm, which I attributed to menopause.",0,0,0,0,0
"During the divorce, I was very worried and nervous.",0,0,0,1,0
Fatigue.,0,0,1,0,0
"I also have no health insurance at the moment, and it's pretty expensive, so I decided to quit taking it.",0,0,0,0,0
"Constapation, vivid dreams.",0,0,1,0,0
"The second and third days, the same, plus dizziness, but there was no doubt that this was a side effect of Remantadine.",0,0,1,0,0
Increasing the dose only increased the side effects.,0,0,0,0,0
I feel SO much better.,1,0,0,0,0
Now I am on my second interview thanks to Cymbalta,0,0,0,0,0
I feel less needy and fearful of abandonment.,1,0,0,1,0
i never liked the idea of being on zoloft but i can't deny that it worked brilliantly for years.,1,0,0,0,0
