synset_id	sense_id	sense_term
5390-V	5390-V-200789	сделать операция
5390-V	5390-V-215837	оперировать больной
5390-V	5390-V-215838	оперировать пациент
5390-V	5390-V-744373	перенести операция
5390-V	5390-V-744374	переносить операция
5390-V	5390-V-747722	лечь под нож
5390-V	5390-V-200788	делать операция
5390-V	5390-V-187541	соперировать
5390-V	5390-V-108095	оперировать
5390-V	5390-V-187540	прооперировать
9444-V	9444-V-743183	вколоть лекарство
9444-V	9444-V-721316	ввести раствор
9444-V	9444-V-726655	сделать укол
9444-V	9444-V-726654	делать укол
9444-V	9444-V-155859	укалывать
9444-V	9444-V-155882	уколоть
9444-V	9444-V-743184	вкалывать лекарство
5137-V	5137-V-714425	производить аборт
5137-V	5137-V-714422	прерывать беременность
5137-V	5137-V-714426	произвести аборт
5137-V	5137-V-714424	сделать аборт
5137-V	5137-V-714423	делать аборт
4780-V	4780-V-145663	отравиться
4780-V	4780-V-145666	отравляться
111428-V	111428-V-752056	перевязать рана
111428-V	111428-V-752057	перевязывать рана
111428-V	111428-V-146385	перевязывать
111428-V	111428-V-146380	перевязать
111428-V	111428-V-683980	наложить повязка
111615-V	111615-V-702349	подхватывать болезнь
111615-V	111615-V-743790	скрутить болезнь
111615-V	111615-V-687877	получить болезнь
111615-V	111615-V-737529	заболеть болезнь
111615-V	111615-V-137718	заболеть
111615-V	111615-V-137717	заболевать
111615-V	111615-V-172119	занемочь
111615-V	111615-V-172120	захворать
111615-V	111615-V-201539	подхватить болезнь
137126-V	137126-V-714222	установить катетер
137126-V	137126-V-714223	устанавливать катетер
137126-V	137126-V-199924	ввести катетер
137126-V	137126-V-199925	вводить катетер
131335-V	131335-V-182691	заикаться
148860-V	148860-V-722704	останавливать кровь
148860-V	148860-V-722700	остановить кровотечение
148860-V	148860-V-722701	останавливать кровотечение
148860-V	148860-V-722702	остановить кровь
125041-V	125041-V-165819	замораживать
125041-V	125041-V-165818	заморозить
119526-V	119526-V-140400	кольнуть
119526-V	119526-V-712019	покалывать
119526-V	119526-V-138039	заколоть
119526-V	119526-V-140378	колоть
118096-V	118096-V-182991	зарубцовываться
118096-V	118096-V-152000	рубцеваться
118096-V	118096-V-138407	зарубцеваться
153162-V	153162-V-747060	наложить гипс
153162-V	153162-V-747057	гипсовать
153162-V	153162-V-747061	накладывать гипс
153162-V	153162-V-747059	загипсовать
4779-V	4779-V-215881	вставлять зуб
4779-V	4779-V-215880	вставить зуб
133567-V	133567-V-155868	укачивать
133567-V	133567-V-155865	укачать
2635-V	2635-V-753522	употреблять наркотик
146536-V	146536-V-707949	накладывать шина
146536-V	146536-V-707946	наложить шина
7514-V	7514-V-139213	иммунизировать
109860-V	109860-V-144349	обсыпать
5177-V	5177-V-166039	реанимировать
5177-V	5177-V-750099	реанимировать пострадавший
137794-V	137794-V-744874	голова раскалываться
137794-V	137794-V-208215	голова трещать
137794-V	137794-V-208214	голова болеть
118812-V	118812-V-149744	прогрессировать
124454-V	124454-V-135701	высыпать
128285-V	128285-V-195933	впадать в беспамятство
128285-V	128285-V-759355	вырубиться
128285-V	128285-V-698385	помутиться
128285-V	128285-V-195934	впасть в беспамятство
128285-V	128285-V-195931	впасть в забытье
128285-V	128285-V-176143	терять сознание
128285-V	128285-V-211567	провалиться в беспамятство
128285-V	128285-V-176145	потерять сознание
128285-V	128285-V-195932	впадать в забытье
128285-V	128285-V-749538	помутиться в голова
128285-V	128285-V-749536	голова помутиться
128285-V	128285-V-749537	помутиться сознание
9767-V	9767-V-673648	делать рентген
9767-V	9767-V-673649	сделать рентген
6962-V	6962-V-182490	пониженный острота слух
7000-V	7000-V-209449	работать сверхурочно
140415-V	140415-V-725654	болезнь осложняться
140415-V	140415-V-719780	осложняться
140415-V	140415-V-719781	осложниться
151774-V	151774-V-745428	привязать к постель
136951-V	136951-V-722313	эвтаназировать
4521-V	4521-V-134133	вакцинировать
4521-V	4521-V-189399	привиться
4521-V	4521-V-149056	привить
4521-V	4521-V-149049	прививать
4521-V	4521-V-189400	прививаться
6961-V	6961-V-182491	пониженный острота зрение
116668-V	116668-V-119544	кашлять
116668-V	116668-V-707673	кашлянуть
116668-V	116668-V-137999	закашлять
9457-N	9457-N-121613	кожный заболевание
9457-N	9457-N-133774	болезнь кожа
9457-N	9457-N-119820	кожный болезнь
6129-N	6129-N-211915	заболевание сердечно-сосудистый система
6129-N	6129-N-111792	сосудистый заболевание
6129-N	6129-N-122050	сосудистый болезнь
6129-N	6129-N-111460	сердечно-сосудистый заболевание
6129-N	6129-N-182523	болезнь система кровообращение
6129-N	6129-N-187201	болезнь система орган кровообращение
110638-N	110638-N-141561	лихорадка
110638-N	110638-N-729064	лихорадочный состояние
110638-N	110638-N-181311	горячка
150611-N	150611-N-732886	пластика нос
9670-N	9670-N-120668	грибковый заболевание
125041-N	125041-N-165820	замораживание
125041-N	125041-N-120981	местный обезболивание
125041-N	125041-N-120979	местный анестетика
125041-N	125041-N-182719	заморозка
2635-N	2635-N-753521	употребление наркотик
2635-N	2635-N-125353	потребление наркотик
2635-N	2635-N-125365	наркотоксикомания
2635-N	2635-N-125332	наркозависимость
2635-N	2635-N-202717	наркоманизация
2635-N	2635-N-125361	наркотический зависимость
2635-N	2635-N-107204	наркомания
2635-N	2635-N-756702	зависимость от наркотик
2635-N	2635-N-119091	злоупотребление наркотический средство
144833-N	144833-N-686857	вегето-сосудистый дистония
126757-N	126757-N-119846	цирроз
129454-N	129454-N-160289	свищ
6481-N	6481-N-215146	врожденный нарушение
6481-N	6481-N-123570	врожденный патология
118096-N	118096-N-734877	рубцевание рана
136989-N	136989-N-199355	климатолечение
140415-N	140415-N-719788	осложненный течение
140415-N	140415-N-162543	осложнение
140415-N	140415-N-209744	осложнение болезнь
5414-N	5414-N-117532	профилактика беременность
5414-N	5414-N-109611	предупреждение беременность
10085-N	10085-N-122190	мануальный терапия
9767-N	9767-N-704546	рентгеновский просвечивание
9767-N	9767-N-704539	рентгеновский диагностика
9767-N	9767-N-704547	радиография
9767-N	9767-N-191031	рентген
9767-N	9767-N-704542	радиодиагностика
9767-N	9767-N-704543	рентгенографирование
9767-N	9767-N-121422	рентгенодиагностика
9767-N	9767-N-704541	рентгенологический диагностика
9767-N	9767-N-124282	рентгенологический исследование
9767-N	9767-N-121424	рентгеноскопия
9767-N	9767-N-704545	радиографический исследование
9767-N	9767-N-121785	лучевой диагностика
9767-N	9767-N-704544	рентгеносъемка
112643-N	112643-N-139869	катар желудок
130761-N	130761-N-181508	олигофрен
130761-N	130761-N-181509	даун
130761-N	130761-N-181510	дебил
130761-N	130761-N-191268	дебилка
10199-N	10199-N-123831	болезнь печень
144031-N	144031-N-714685	аутистический мышление
3949-N	3949-N-188706	психический нездоровье
3949-N	3949-N-110238	психический заболевание
3949-N	3949-N-188707	психический недуг
3949-N	3949-N-188704	психический недостаток
3949-N	3949-N-188709	психический отклонение
3949-N	3949-N-122221	психический болезнь
3949-N	3949-N-165265	психзаболевание
3949-N	3949-N-679012	отклонение в психика
3949-N	3949-N-107564	нервно-психический расстройство
3949-N	3949-N-118804	нервно-психический отклонение
3949-N	3949-N-118991	нервный расстройство
3949-N	3949-N-760473	душевный расстройство
3949-N	3949-N-103477	душевный заболевание
3949-N	3949-N-103475	душевный болезнь
3949-N	3949-N-688926	психопатология
3949-N	3949-N-669629	расстройство психика
3949-N	3949-N-105825	психоневрологический расстройство
3949-N	3949-N-110256	психоневрологический заболевание
3949-N	3949-N-110241	психический расстройство
5801-N	5801-N-113380	умственный расстройство
5802-N	5802-N-213471	проблема в развитие
5802-N	5802-N-213472	отклонение в развитие
5802-N	5802-N-115581	нарушение умственный развитие
5802-N	5802-N-213983	малоумие
5802-N	5802-N-756031	задержка в развитие
5390-N	5390-N-144786	операция
5390-N	5390-N-113988	хирургический операция
5390-N	5390-N-113990	хирургический лечение
5390-N	5390-N-749313	оперирование
5390-N	5390-N-120094	хирургический метод
5390-N	5390-N-170749	оперативный вмешательство
5390-N	5390-N-122245	хирургический коррекция
5390-N	5390-N-120121	хирургический помощь
7506-N	7506-N-102018	воспаление мозг
110392-N	110392-N-188705	психический неполноценность
110392-N	110392-N-188708	психический невменяемость
153162-N	153162-N-115814	гипсование
142973-N	142973-N-103452	дренаж
142973-N	142973-N-670595	медицинский дренаж
108134-N	108134-N-721406	шоковый состояние
108134-N	108134-N-721408	нервный шок
108134-N	108134-N-153775	состояние шок
8802-N	8802-N-119723	почечный колика
5137-N	5137-N-714427	производство аборт
111256-N	111256-N-121272	невротический состояние
111256-N	111256-N-118805	невротический срыв
111256-N	111256-N-120096	невротический расстройство
137126-N	137126-N-199923	введение катетер
137126-N	137126-N-199922	катетеризация
6004-N	6004-N-206091	детский паралич
141542-N	141542-N-213980	старческий маразм
141542-N	141542-N-213979	старческий слабоумие
141542-N	141542-N-676760	старческий деменция
4277-N	4277-N-108266	острый облучение
4277-N	4277-N-106042	лучевой болезнь
7393-N	7393-N-119840	артеросклероз
6041-N	6041-N-215714	воспаление мозговой оболочка
135771-N	135771-N-732524	провал память
135771-N	135771-N-732525	расстройство память
8187-N	8187-N-138926	иглоукалывание
8187-N	8187-N-167945	иглорефлексотерапия
8187-N	8187-N-104081	иглотерапия
143084-N	143084-N-671701	искривление спина
7390-N	7390-N-724936	кардиологический заболевание
7390-N	7390-N-707709	заболевание сердце
7390-N	7390-N-709292	сердечный болезнь
7390-N	7390-N-709293	сердечный заболевание
9337-N	9337-N-199564	заболевание желудочно-кишечный тракт
9337-N	9337-N-118923	желудочно-кишечный заболевание
9337-N	9337-N-209644	заболевание орган пищеварение
9337-N	9337-N-182524	болезнь орган пищеварение
9337-N	9337-N-125007	желудочный заболевание
9337-N	9337-N-140059	кишечный заболевание
1054-N	1054-N-104372	инфекционный заболевание
1054-N	1054-N-101345	карантинный болезнь
1054-N	1054-N-124151	карантинный инфекция
1054-N	1054-N-121924	эпидемиологический заболевание
1054-N	1054-N-121927	эпидемический заболевание
1054-N	1054-N-138380	зараза
1054-N	1054-N-103858	заразный болезнь
1054-N	1054-N-120135	заразный заболевание
1054-N	1054-N-104371	инфекционный болезнь
144269-N	144269-N-681197	желтушность
110165-N	110165-N-147005	пилюля
110165-N	110165-N-710667	таблеточка
9677-N	9677-N-121896	лекарственный коррекция
9677-N	9677-N-121808	медикаментозный коррекция
9677-N	9677-N-105722	лекарственный помощь
9677-N	9677-N-724956	фармакотерапия
146388-N	146388-N-112091	стафилококк
146388-N	146388-N-705475	патогенный стафилококк
5627-N	5627-N-116546	легочный патология
8658-N	8658-N-115939	наследственный патология
8658-N	8658-N-107277	наследственный генез
8658-N	8658-N-116965	генетический нарушение
8658-N	8658-N-118850	генетический порок
8658-N	8658-N-102069	врожденный заболевание
8658-N	8658-N-120057	наследственный предрасположенность
8658-N	8658-N-121759	медико-генетический нарушение
110393-N	110393-N-685166	психопатический расстройство
110393-N	110393-N-150493	психопатия
110398-N	110398-N-721631	истерический расстройство
9484-N	9484-N-119354	кровоизлияние в мозг
133567-N	133567-N-188049	синдром укачивание
133567-N	133567-N-155867	укачивание
133567-N	133567-N-188047	вестибуло-вегетативный неустойчивость
133567-N	133567-N-188048	нарушение вестибулярный аппарат
133567-N	133567-N-188051	расстройство вестибулярный функция
133567-N	133567-N-188046	болезнь передвижение
118812-N	118812-N-671672	прогрессирование болезнь
118812-N	118812-N-149743	прогрессирование
132005-N	132005-N-213298	запор кишечник
132005-N	132005-N-184216	задержка стул
9483-N	9483-N-159970	бесплодность
9612-N	9612-N-685010	искусственный вентиляция легкое
6961-N	6961-N-123489	дефект зрение
6961-N	6961-N-120863	снижение зрение
6961-N	6961-N-107251	нарушение зрение
137435-N	137435-N-118477	иммунопатология
137435-N	137435-N-201290	болезнь иммунный система
120996-N	120996-N-719388	кровяной тромб
5882-N	5882-N-202399	инвазионный болезнь
5882-N	5882-N-116847	паразитоз
5882-N	5882-N-108463	паразитарный болезнь
5882-N	5882-N-202401	заражение паразит
5882-N	5882-N-108464	паразитный болезнь
10054-N	10054-N-120205	дцп
112698-N	112698-N-205605	паршивость
112698-N	112698-N-205611	шелудивость
9856-N	9856-N-139796	кардиограмма
140373-N	140373-N-741510	фенамин
114990-N	114990-N-148077	половой стерилизация
109728-N	109728-N-138379	заражение кровь
116984-N	116984-N-729852	дергующий боль
9635-N	9635-N-121689	трансфузионный терапия
9635-N	9635-N-121753	трансфузия
5177-N	5177-N-692024	интенсивный терапия
5177-N	5177-N-750100	реанимация больной
5177-N	5177-N-173466	реанимирование
5177-N	5177-N-750098	реанимация пострадавший
5177-N	5177-N-750097	реанимация пациент
5177-N	5177-N-142041	медицинский реанимация
5177-N	5177-N-750096	курс интенсивный терапия
6044-N	6044-N-692031	ревматологический заболевание
9014-N	9014-N-143182	нарыв
9014-N	9014-N-136121	гнойник
9014-N	9014-N-117512	гнойный воспаление
9014-N	9014-N-117523	гнойно-септический заболевание
616-N	616-N-156837	хворь
616-N	616-N-106281	медицинский патология
616-N	616-N-103680	заболевание человек
616-N	616-N-107470	недуг
616-N	616-N-174280	нездоровье
616-N	616-N-737136	болячка
616-N	616-N-118922	общесоматический заболевание
616-N	616-N-156832	хвороба
616-N	616-N-156836	хворость
133167-N	133167-N-187072	медицинский анализ
133167-N	133167-N-187070	клинический анализ
4046-N	4046-N-105856	лечебно-профилактический помощь
4046-N	4046-N-179841	профилактический осмотр
4046-N	4046-N-120775	лечебно-профилактический услуга
4046-N	4046-N-753406	профилактика заболевание
4046-N	4046-N-753404	профилактика болезнь
4046-N	4046-N-106285	медицинский профилактика
4046-N	4046-N-124062	медико-профилактический дело
4046-N	4046-N-120923	медико-профилактический мероприятие
4046-N	4046-N-120773	лечебно-профилактический обслуживание
4046-N	4046-N-120774	лечебно-профилактический деятельность
4046-N	4046-N-105857	лечебно-профилактический работа
4046-N	4046-N-117001	лечебно-профилактический мероприятие
4046-N	4046-N-110195	профилактический медицина
4046-N	4046-N-120771	лечебно-оздоровительный работа
4046-N	4046-N-120770	лечебно-оздоровительный мероприятие
4521-N	4521-N-101283	вакцинопрофилактика
4521-N	4521-N-109737	прививка
4521-N	4521-N-110196	профилактический прививка
4780-N	4780-N-720006	отравление ядовитый вещество
4780-N	4780-N-702249	токсикация
122264-N	122264-N-140321	колики
2046-N	2046-N-122047	инфекционно-вирусный болезнь
2046-N	2046-N-691499	инфекционно-вирусный заболевание
2046-N	2046-N-134544	вирусный заболевание
2046-N	2046-N-101551	вирусный болезнь
109636-N	109636-N-149452	приступ болезнь
109636-N	109636-N-687695	пароксизм
7782-N	7782-N-684524	искусственный инсеминация
7782-N	7782-N-710870	пробирочный оплодотворение
7782-N	7782-N-116328	трансплантация эмбрион
7782-N	7782-N-684523	перенос эмбрион в полость матка
7782-N	7782-N-104199	имплантация эмбрион
7782-N	7782-N-115752	зачатие в пробирка
7782-N	7782-N-710871	оплодотворение в пробирка
4740-N	4740-N-121789	диабет
4740-N	4740-N-211899	сахарный болезнь
146536-N	146536-N-707952	шинный повязка
9415-N	9415-N-726677	воспаление почка
9725-N	9725-N-124071	медицинский манипуляция
9725-N	9725-N-165794	процедура
9725-N	9725-N-122219	амбулаторный процедура
9725-N	9725-N-121766	лечебный манипуляция
9725-N	9725-N-121799	лечебный процедура
111475-N	111475-N-673698	обменный нарушение
111475-N	111475-N-673699	нарушение обмен
9402-N	9402-N-122415	астматический состояние
9608-N	9608-N-182521	полный потеря зрение
151334-N	151334-N-744019	сахароснижающий препарат
151334-N	151334-N-735837	инсулиновый препарат
135768-N	135768-N-726166	навязчивый страх
4845-N	4845-N-132880	алкоголичка
4845-N	4845-N-758342	забулдыга
4845-N	4845-N-685189	пропойца
4845-N	4845-N-169280	алкаш
4845-N	4845-N-194769	алконавт
4845-N	4845-N-191153	пьянчужка
4845-N	4845-N-176854	пьянчуга
4845-N	4845-N-715079	больной алкоголизм
4845-N	4845-N-110309	пьяница
4845-N	4845-N-191152	алкашка
4845-N	4845-N-715163	лицо с алкогольный зависимость
9905-N	9905-N-155223	траволечение
123981-N	123981-N-707477	язвочка
142000-N	142000-N-215404	лечение минеральный вода
142000-N	142000-N-118426	бальнеолечение
113571-N	113571-N-134695	водолечение
4391-N	4391-N-165384	раковый образование
4391-N	4391-N-115388	раковый опухоль
4391-N	4391-N-720090	недоброкачественный образование
4391-N	4391-N-720089	недоброкачественный опухоль
4391-N	4391-N-115278	злокачественный образование
4391-N	4391-N-690810	раковый новообразование
136064-N	136064-N-195311	блевота
136064-N	136064-N-722161	сташнивать
136064-N	136064-N-195309	блевать
136064-N	136064-N-195310	блевание
136064-N	136064-N-726090	рвотный акт
10192-N	10192-N-196586	воспаление предстательный железа
10192-N	10192-N-688401	воспаление простата
144943-N	144943-N-688627	воспаление вена
125387-N	125387-N-744516	бородавка на кожа
3338-N	3338-N-104883	клещевой энцефалит
110367-N	110367-N-148244	понос
110367-N	110367-N-722697	расстройство стул
114938-N	114938-N-141726	лунатизм
124613-N	124613-N-189827	мышечный некроз
124613-N	124613-N-187794	отмирание
124613-N	124613-N-168847	омертвение
124613-N	124613-N-189826	некроз ткань
4779-N	4779-N-104076	зубопротезный помощь
4779-N	4779-N-122308	зуботехнический работа
4779-N	4779-N-215883	вставление зуб
4779-N	4779-N-104074	зубной протезирование
4779-N	4779-N-104075	зубопротезирование
4779-N	4779-N-705429	протезирование зуб
114870-N	114870-N-150283	простукивание
114870-N	114870-N-196330	выстукивание
4392-N	4392-N-108141	опухоль
142357-N	142357-N-181600	депрессивность
142357-N	142357-N-719530	нервный депрессия
1056-N	1056-N-104190	иммунодефицит человек
1056-N	1056-N-712038	вич спид
1056-N	1056-N-117578	синдром приобрести иммунодефицит
110237-N	110237-N-720070	чувство боль
110237-N	110237-N-122787	физический боль
110237-N	110237-N-720073	ощущение боль
110237-N	110237-N-123143	физический страдание
9489-N	9489-N-679757	воспаление поджелудочный железа
8804-N	8804-N-116327	простудный заболевание
9023-N	9023-N-118905	малярийный инфекция
125067-N	125067-N-746531	перебой в ритм сердце
125067-N	125067-N-746533	перебой в работа сердце
