sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"Первая реакция соответствовала инструкции: недомогание, мышечная боль, боль в суставах, озноб, повышение температуры.",0,0,1,0,0,ADR[1],1417439,3,0.04393164813518524,0.05060965195298195,0.3988807797431946,0.3798144459724426,0.18084481358528137
"Затем последовали сильный насморк, чиханье, першение в горле, осиплость голоса, кашель, температура.",0,0,1,0,0,ADR[2],1417439,4,0.0035189094487577677,0.004645559936761856,0.9504653811454773,0.0906643494963646,0.025245612487196922
"В предыдущие годы применяла инфлювак, побочных действий не было, но гриппом болела, не могу сказать, что в легкой форме, но если сравнивать с теми, кто не прививался, то легче.",0,0,0,1,0,DI[3],1417439,7,0.04760748893022537,0.0448831282556057,0.15381695330142975,0.3704220652580261,0.3402862250804901
Сделала эту прививку в сезоне 2014/2015 при хорошем самочувствии.,0,0,0,0,0,NEUTRAL,1417439,1,0.023098697885870934,0.023336319252848625,0.2071848064661026,0.33057212829589844,0.19713585078716278
"Тенотен должен был оказать успокаивающее и противотревожное действие, но при этом не вызывая сонливости и заторможенности.",0,0,0,0,1,Finding[6],2729929,4,0.029337437823414803,0.03805748373270035,0.4425448179244995,0.3587566912174225,0.1470986008644104
"К сожалению, никакого эффекта от этих таблеток я не увидела.",0,1,0,0,0,INF[3],2729929,5,0.10966256260871887,0.11059724539518356,0.35627269744873047,0.37025290727615356,0.28220799565315247
"Да, сонливость они действительно не дают, но и тревожность не снимают.",0,1,0,1,1,INF[2]|DI[4]|Finding[5],2729929,6,0.09790584444999695,0.10977616161108017,0.4222981035709381,0.4141051769256592,0.25472763180732727
"По мне, так это пустышка, которая может обладать только эффектом плацебо.",0,1,0,0,0,INF[1],2729929,7,0.12707650661468506,0.1322452276945114,0.3478764295578003,0.42447465658187866,0.2908547520637512
В период адаптации детей к детскому саду невролог порекомендовала им успокоительное лекарственное средство Тенотен детский.,0,0,0,0,0,NEUTRAL,2729929,1,0.06229151412844658,0.06689402461051941,0.31950560212135315,0.36434125900268555,0.3065420687198639
"После него на 4 день с 37,3 у ребенка 4 лет поднялась температура до 38,00, лучше инфлюцид, который действительно помогает!!!",0,1,1,0,0,INF[1]|ADR[2],807762,1,0.0065762633457779884,0.007049488369375467,0.12121104449033737,0.34675708413124084,0.1612117439508438
Общее впечатление : отвратительный RATING 1 NOTE,0,0,0,0,0,NEUTRAL,807762,2,0.05102913826704025,0.04937651753425598,0.23919333517551422,0.3383103311061859,0.24703101813793182
"Перед тем, как отдать ребенка в детский сад, решила немного укрепить его здоровье и иммунитет, так как всем известно, ""пошел в сад - начал болеть"".",0,0,0,0,1,Finding[4],804874,1,0.06345809996128082,0.06728244572877884,0.2791982591152191,0.38994377851486206,0.27562060952186584
"Пропили август, сентябрь, а 5 октября мы попадаем в больницу (пневмония с обструкцией).",0,0,0,0,1,Finding[1],804874,4,0.006221371702849865,0.006924704648554325,0.19347622990608215,0.3731684684753418,0.11777999997138977
Причем пневмония у нас образовалась за одну ночь.,0,0,0,0,1,Finding[2],804874,5,0.035649772733449936,0.041851166635751724,0.27445682883262634,0.4092820882797241,0.19290868937969208
"Утром ребенок проснулся здоровым, веселым, никаких предпосылок на болезнь, а к вечеру появился слабый кашель, поднялась температура, а на следующий день снимок показал диагноз.",0,0,0,0,1,Finding[3],804874,6,0.04441098868846893,0.05149887502193451,0.4558136761188507,0.3366656005382538,0.2110472470521927
"Первое посещение в саду на 27 августа, пить Анаферон начали в первых числах (почти за месяц, что бы помогло наверняка).",0,0,0,0,0,NEUTRAL,804874,3,0.005313762463629246,0.00532634649425745,0.14560066163539886,0.2842988967895508,0.11302095651626587
"Прививку против туляремии решила сделать, т. к. в прошлом году в области была вспышка туляремии.",0,0,0,1,0,DI[1],1033114,1,0.023442279547452927,0.02371254190802574,0.10897649824619293,0.43060964345932007,0.326383113861084
"В понедельник поставили пробу на правое плечо, скарификатором сделали 2 царапины и накапали каплю тулярина.",0,0,0,0,1,Finding[3],1033114,4,0.01310870610177517,0.015440107323229313,0.2952864468097687,0.4150073230266571,0.15460707247257233
"Через 48 часов в среду проба была отрицательная, то есть без покраснения и отека.",0,0,0,0,1,Finding[2],1033114,6,0.0032824822701513767,0.0035444246605038643,0.6054406762123108,0.14104659855365753,0.061094000935554504
"Через 2 дня появилось покраснение и отечность, была небольшая болезненность.",0,0,1,0,0,ADR[5],1033114,10,0.047569677233695984,0.058249372988939285,0.5081525444984436,0.3636859357357025,0.16797921061515808
"Когда корочка отпала, остался маленький рубчик.",0,0,1,0,0,ADR[4],1033114,13,0.020178884267807007,0.024218222126364708,0.48488447070121765,0.30386966466903687,0.12736715376377106
Перенесла я вакцинацию хорошо.,0,0,0,0,0,NEUTRAL,1033114,14,0.015422792173922062,0.015881383791565895,0.15353332459926605,0.3207490146160126,0.15773262083530426
В 1 год на очередном осмотре неврологом у ребенка обнаружен тонус в одной ножке.,0,0,0,1,0,DI[6],619561,1,0.03292233869433403,0.04194903001189232,0.23635511100292206,0.531466543674469,0.21671263873577118
При ходьбе он заворачивал ножку внутрь.,0,0,0,1,0,DI[5],619561,2,0.034333907067775726,0.047539010643959045,0.6486459970474243,0.35380035638809204,0.134100079536438
На нейросонограмме врач увидела небольшой гидроцефальный синдром.,0,0,0,1,0,DI[3],619561,3,0.030020171776413918,0.03980129212141037,0.15328344702720642,0.622344970703125,0.2189614325761795
До годика тонус лечили исключительно массажем.,0,0,0,1,0,DI[2],619561,4,0.011668546125292778,0.014667830429971218,0.10262231528759003,0.5230334997177124,0.1883106380701065
"Уколы относительно безболезненные, ребенок плакал только при проколе, но быстро успокаивался.",0,0,0,0,1,Finding[7],619561,6,0.10796204954385757,0.11723342537879944,0.36035192012786865,0.37884023785591125,0.27807167172431946
"Мне показалось, что эффект был.",1,0,0,0,0,EF[8],619561,7,0.1946100890636444,0.20955117046833038,0.4503013491630554,0.38188526034355164,0.3206145465373993
"После 3 укола малыш стал чаще опираться на эту ножку, вскоре почти перестал ее заворачивать.",1,0,0,1,0,EF[4]|DI[1],619561,8,0.06330196559429169,0.07748711109161377,0.5473995804786682,0.3629813492298126,0.20100417733192444
"Несмотря на прочитанные мною отрицательные отзывы на медицинском форуме, я не жалею, эффектом довольна.",1,0,0,0,0,EF[9],619561,9,0.1173522099852562,0.1261148303747177,0.4140586853027344,0.3899845778942108,0.25677797198295593
Но тут прописали 10 уколов контексина по 5 млг.,0,0,0,0,0,NEUTRAL,619561,5,0.011873142793774605,0.0136733902618289,0.10316415131092072,0.5010838508605957,0.16395004093647003
"Препарат ""Ликопид"" покупала для лечения герпеса.",0,0,0,1,0,DI[3],2397151,2,0.01570758782327175,0.018585216253995895,0.0692567452788353,0.5673537850379944,0.2545243203639984
"Очаг высыпания на спине, практически всегда в одном месте.",0,0,0,1,0,DI[1],2397151,4,0.005897335708141327,0.007683468516916037,0.918718159198761,0.10605766624212265,0.03279455751180649
"Температура выше субфибрильной 37,2 не поднимается, но самочувствие при этом- полная дрянь.",0,0,0,1,0,DI[2],2397151,5,0.007794275879859924,0.009854856878519058,0.8281186819076538,0.18599365651607513,0.04725298658013344
"Вообще сложилось впечатление, что это всё плацеба, не помог ни разу ни один препарат.",0,0,0,0,0,NEUTRAL,2397151,12,0.07786998897790909,0.0835767537355423,0.3017989993095398,0.4309372007846832,0.2810523808002472
Профилактика и лечение гриппа и ОРВИ у детей и взрослых.,0,0,0,1,0,DI[1],2419250,1,0.00806349329650402,0.009598993696272373,0.09292634576559067,0.45554786920547485,0.16646477580070496
"Да я соглашусь, что для профилактики он подходит может быть я не пробовала, но ни как ни для лечения.",0,0,0,1,0,DI[3],2419250,2,0.09874502569437027,0.09932824224233627,0.25686803460121155,0.36468324065208435,0.3423409163951874
"Решила купить, закапала в нос, вообще ни каких изменений, как заложенность была, так и осталась, да и на улучшения ни как ни по действовало.",0,1,0,1,0,INF[6]|DI[4],2419250,4,0.09017429500818253,0.09045182913541794,0.2982461452484131,0.3390061855316162,0.3504772186279297
"Плюс к тому есть побочны действия, как аллергия, так что я считаю у меня вышло, только деньги на ветер.",0,0,1,0,0,ADR[2],2419250,5,0.0346626341342926,0.036811862140893936,0.21863840520381927,0.38890933990478516,0.23052531480789185
"Может быть кому то и понравился, помог препарат, утверждать и спорить не буду, но на моем примере оказался не эффективный.",0,1,0,0,0,INF[5],2419250,6,0.09920298308134079,0.10290582478046417,0.2659837305545807,0.40334123373031616,0.3305816948413849
"У меня как то заболел ребенок, по телевизору все крутили рекламу противовирусного средства, думала новинка, должно действовать.",0,0,0,0,0,NEUTRAL,2419250,3,0.10451819747686386,0.09931325167417526,0.2553917169570923,0.35068604350090027,0.4064024090766907
"""Генферон лайт"" из холодильника не выводится, хотя его положительного действия я тоже не вижу.",0,1,0,0,0,INF[3],824781,3,0.017871037125587463,0.018844066187739372,0.10066115856170654,0.411163866519928,0.21793021261692047
"Как только заболевает дочь, я начинаю ставить ""Генферон"" и сыну тоже, что бы повысить его иммунитет, но он все равно заражается от дочери через несколько дней.",0,0,0,1,0,DI[2],824781,5,0.052212681621313095,0.05065544322133064,0.19408288598060608,0.36455780267715454,0.3287813067436218
Дети болеют тяжело и подолгу и своего предназначения эти свечи явно не выполняют.,0,1,0,0,0,INF[1],824781,8,0.0179461557418108,0.018969373777508736,0.14878319203853607,0.3789662718772888,0.18522867560386658
Время использования: 3 месяца,0,0,0,0,0,NEUTRAL,824781,9,0.06113936007022858,0.048465482890605927,0.6778103709220886,0.10668779909610748,0.49228307604789734
"Ребенок пошел в детский сад, а это постоянные сопли, кашель, постоянные больничные (2-4 дня ходим, 2 недели болеем), и вот в аптеке мне посоветовали препарат ""Иммунал"", как прекрасное средство для повышения иммунитета.",0,0,0,1,1,DI[3]|Finding[4],2501951,2,0.08401971310377121,0.07884368300437927,0.20484894514083862,0.4041878283023834,0.41433072090148926
"Пропили курс, но пока никакого результата не увидела, сопли и кашель как были, так и есть.",0,1,0,1,0,INF[1]|DI[5],2501951,3,0.08180519193410873,0.08534014970064163,0.2733951807022095,0.3894616365432739,0.3141478896141052
"Рекомендовать его не стану, так как нам он не помогает и покупать его тоже не буду, скорее всего будем пробовать что-то другое!",0,1,0,0,0,INF[2],2501951,6,0.05879001319408417,0.05921120569109917,0.2851000428199768,0.328796923160553,0.2870599329471588
У него отвратительный вкус и высокая цена для простой настойки эхинацеи.,0,0,0,0,0,NEUTRAL,2501951,5,0.059319011867046356,0.06352030485868454,0.23063461482524872,0.4352853298187256,0.2582246959209442
Все началось банально - дочка принесла из детского садика ветряную оспу.,0,0,0,1,0,DI[9],2177673,1,0.03018147684633732,0.03455767780542374,0.24476878345012665,0.42251697182655334,0.1968875378370285
Переболела в легкой форме с небольшой температурой 37 и 1 и незначительным высыпанием.,0,0,0,1,0,DI[6],2177673,2,0.029732471331954002,0.03587231785058975,0.47745469212532043,0.32780131697654724,0.14020241796970367
"И вот уже наступил 10 день болезни дочи - чувствую, со мной что-то не то-знобит, температура 38 и выкручивает все суставы, как на грипп.",0,0,0,1,1,DI[3]|Finding[2],2177673,3,0.020695459097623825,0.02378719113767147,0.543526291847229,0.370369017124176,0.20656894147396088
"Утром все стало ясно - теперь эта ""радость"" под названием ветрянка есть и у меня.",0,0,0,1,0,DI[4],2177673,4,0.03645743429660797,0.04153170809149742,0.35675036907196045,0.386042058467865,0.1985131800174713
"Через пару дней высыпания усилились-посоветовали мне Ацикловир (хорошо помогает, недорогой).",0,0,0,1,0,DI[8],2177673,5,0.016083333641290665,0.019100580364465714,0.14315597712993622,0.45733824372291565,0.21478119492530823
"Да, действительно корочки стали образовываться быстрее, но появился странный зуд в области шеи и груди.",1,0,1,0,0,EF[7]|ADR[5],2177673,6,0.10892698913812637,0.12695951759815216,0.5329874753952026,0.35634762048721313,0.251336008310318
Перечитала внимательнее побочные эффекты и-вот она-крапивница.,0,0,1,0,0,ADR[1],2177673,7,0.032295871526002884,0.03677114471793175,0.2244008481502533,0.4337250292301178,0.19453562796115875
"Зуд усиливался несмотря на то, что параллельно принимала Эдем.",0,0,1,0,0,ADR[10],2177673,9,0.05912863090634346,0.07339219748973846,0.39096352458000183,0.4183987081050873,0.20004166662693024
Прием Ацикловира прекратила и вот уже 4 дня безуспешно борюсь с крапивницей,0,0,1,0,0,ADR[11],2177673,10,0.09133325517177582,0.0842568576335907,0.19813360273838043,0.29405099153518677,0.5986878275871277
Препарат в общей сложности пила 6 дней.,0,0,0,0,0,NEUTRAL,2177673,8,0.06051332503557205,0.06330227106809616,0.2583618462085724,0.391471803188324,0.24369509518146515
"Амиксин мне прописывал врач для лечения простуды, для меня вообще не очень понятно, зачем стимулировать иммунитет, если организм болеет.",0,0,0,1,0,DI[4],2984622,1,0.043329376727342606,0.039543505758047104,0.09434498101472855,0.4276514947414398,0.39214178919792175
"Приняла я всего три таблетки, как начался ужасный зуд, а затем пошла мелкая сыпь по всему телу.",0,0,1,0,0,ADR[2],2984622,2,0.11078301817178726,0.12252183258533478,0.4015171229839325,0.4061838388442993,0.2777966856956482
"Я не аллергик и с таким явлением столкнулась впервые, симптомы не приятные, мало того, что простуда свалила с ног, еще и зуд начался.",0,0,1,1,1,ADR[1]|DI[3]|Finding[5],2984622,3,0.134994238615036,0.14586859941482544,0.39644038677215576,0.4336378574371338,0.3367801308631897
"Думала, не будет этому ни конца ни края.",0,0,0,0,0,NEUTRAL,2984622,4,0.009665555320680141,0.01083152461796999,0.23862847685813904,0.2667262554168701,0.1403885930776596
"Сказала, что с ним простуда проходит очень легко и быстро.",0,0,0,1,0,DI[4],636267,2,0.1140139177441597,0.11696963012218475,0.28492000699043274,0.3839675784111023,0.3571048974990845
"Также его нельзя использовать часто так как, иммунитет привыкает и в дальнейшем без посторонней помощи не борится с простудой.",0,0,0,1,0,DI[2],636267,7,0.04536641389131546,0.04684242233633995,0.24674147367477417,0.3662097156047821,0.24019519984722137
